Package,Module,Class,Smell,Function/Method,Line no,File,Details
AaronWard_covidify,setup,,Long statement,,2,/Volumes/BrokeExt/NICHE/AaronWard_covidify/setup.py,A line with 258 chars in setup exceeds the maximum length of 120 characters.
AaronWard_covidify,setup,,Long statement,,33,/Volumes/BrokeExt/NICHE/AaronWard_covidify/setup.py,A line with 397 chars in setup exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,cli,,Long statement,cli,89,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/cli.py,A line with 135 chars in cli exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,cli,,Long statement,run,108,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/cli.py,A line with 147 chars in run exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,cli,,Long statement,run,110,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/cli.py,A line with 133 chars in run exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,cli,,Long statement,run,111,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/cli.py,A line with 141 chars in run exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,cli,,Long statement,run,113,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/cli.py,A line with 150 chars in run exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,data_prep,,Long statement,,1,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_prep.py,A line with 486 chars in data_prep exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,data_prep,,Long statement,,150,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_prep.py,A line with 164 chars in data_prep exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,data_prep,,Long statement,,157,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_prep.py,A line with 165 chars in data_prep exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,data_prep,,Long statement,,199,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_prep.py,A line with 139 chars in data_prep exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,data_prep,,Magic number,check_specified_country,92,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_prep.py,Magic number 2 used in check_specified_country.
AaronWard_covidify.src.covidify,data_prep,,Magic number,get_day_counts,192,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_prep.py,Magic number 500 used in get_day_counts.
AaronWard_covidify.src.covidify,data_visualization,,Long parameter list,create_trend_line,94 - 99,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_visualization.py,"create_trend_line has 7 parameters, exceeding the max of 5."
AaronWard_covidify.src.covidify,data_visualization,,Long statement,,1,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_visualization.py,A line with 431 chars in data_visualization exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,data_visualization,,Long statement,,163,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_visualization.py,A line with 126 chars in data_visualization exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,data_visualization,,Long statement,,167,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/data_visualization.py,A line with 150 chars in data_visualization exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,forecast,,Long statement,plot_forecast,65,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/forecast.py,A line with 133 chars in plot_forecast exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,forecast,,Long statement,,1,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/forecast.py,A line with 315 chars in forecast exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify,list_countries,,Long statement,,1,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/list_countries.py,A line with 141 chars in list_countries exceeds the maximum length of 120 characters.
AaronWard_covidify.src.covidify.sources,github,,Complex method,clean_data,80 - 111,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/sources/github.py,"Method 'clean_data' has a cyclomatic complexity of 9, exceeding the max of 6."
AaronWard_covidify.src.covidify.utils,utils,,Long statement,,1,/Volumes/BrokeExt/NICHE/AaronWard_covidify/src/covidify/utils/utils.py,A line with 165 chars in utils exceeds the maximum length of 120 characters.
