Package,Module,Class,Smell,Function/Method,Line no,File,Details
AntonMu_TrainYourOwnYOLO,Minimal_Example,,Long statement,,31,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/Minimal_Example.py,A line with 127 chars in Minimal_Example exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO,Minimal_Example,,Long statement,,59,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/Minimal_Example.py,A line with 209 chars in Minimal_Example exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.1_Image_Annotation,Convert_to_YOLO_format,,Long statement,,38,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/1_Image_Annotation/Convert_to_YOLO_format.py,A line with 178 chars in Convert_to_YOLO_format exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.1_Image_Annotation,Convert_to_YOLO_format,,Long statement,,46,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/1_Image_Annotation/Convert_to_YOLO_format.py,A line with 146 chars in Convert_to_YOLO_format exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.1_Image_Annotation,Convert_to_YOLO_format,,Long statement,,53,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/1_Image_Annotation/Convert_to_YOLO_format.py,A line with 189 chars in Convert_to_YOLO_format exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Download_and_Convert_YOLO_weights,,Long statement,,19,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Download_and_Convert_YOLO_weights.py,A line with 146 chars in Download_and_Convert_YOLO_weights exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Download_and_Convert_YOLO_weights,,Long statement,,26,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Download_and_Convert_YOLO_weights.py,A line with 162 chars in Download_and_Convert_YOLO_weights exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Download_and_Convert_YOLO_weights,,Long statement,,52,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Download_and_Convert_YOLO_weights.py,A line with 124 chars in Download_and_Convert_YOLO_weights exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,1,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 125 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,84,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 145 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,90,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 135 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,97,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 144 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,105,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 128 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,112,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 140 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,118,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 137 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,124,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 162 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,130,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 161 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,136,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 163 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,142,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 121 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,208,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 143 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,256,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 386 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training,Train_YOLO,,Long statement,,293,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/Train_YOLO.py,A line with 400 chars in Train_YOLO exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Complex method,_main,69 - 282,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,"Method '_main' has a cyclomatic complexity of 24, exceeding the max of 6."
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Long method,_main,69 - 282,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,Method '_main' is too long (203 lines).
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Long statement,unique_config_sections,50,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,A line with 139 chars in unique_config_sections exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Long statement,_main,188,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,A line with 207 chars in _main exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Long statement,,41,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,A line with 122 chars in convert exceeds the maximum length of 120 characters.
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Magic number,_main,108,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,Magic number 0.0005 used in _main.
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Magic number,_main,272,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,Magic number 4 used in _main.
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Magic number,_main,89,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,Magic number 2 used in _main.
AntonMu_TrainYourOwnYOLO.2_Training.src.keras_yolo3,convert,,Magic number,_main,89,/Volumes/BrokeExt/NICHE/AntonMu_TrainYourOwnYOLO/2_Training/src/keras_yolo3/convert.py,Magic number 1000 used in _main.
