Package,Module,Class,Function,LOC,CC,PC
BachiLi_redner,setup,RemoveOldRednerBeforeInstall,run,12,3,0
BachiLi_redner,setup,CMakeExtension,__init__,4,1,3
BachiLi_redner,setup,CopyExtension,__init__,3,1,2
BachiLi_redner,setup,Build,run,7,2,0
BachiLi_redner,setup,Build,build_extension,40,8,1
BachiLi_redner.examples,joint_material_envmap_sh,,deringing,10,1,2
BachiLi_redner.pyredner,area_light,AreaLight,__init__,5,1,4
BachiLi_redner.pyredner,area_light,AreaLight,state_dict,7,1,0
BachiLi_redner.pyredner,area_light,AreaLight,load_state_dict,6,1,2
BachiLi_redner.pyredner,camera,Camera,__init__,49,19,12
BachiLi_redner.pyredner,camera,Camera,fov,2,1,0
BachiLi_redner.pyredner,camera,Camera,fov,7,1,1
BachiLi_redner.pyredner,camera,Camera,intrinsic_mat,2,1,0
BachiLi_redner.pyredner,camera,Camera,intrinsic_mat,7,2,1
BachiLi_redner.pyredner,camera,Camera,cam_to_world,2,1,0
BachiLi_redner.pyredner,camera,Camera,cam_to_world,7,2,1
BachiLi_redner.pyredner,camera,Camera,state_dict,12,1,0
BachiLi_redner.pyredner,camera,Camera,load_state_dict,12,1,2
BachiLi_redner.pyredner,camera,,automatic_camera_placement,23,3,2
BachiLi_redner.pyredner,camera,,generate_intrinsic_mat,9,1,5
BachiLi_redner.pyredner,camera_type,CameraType,__init__,5,1,0
BachiLi_redner.pyredner,channels,Channel,__init__,17,1,0
BachiLi_redner.pyredner,device,,set_use_gpu,11,2,1
BachiLi_redner.pyredner,device,,get_use_gpu,5,1,0
BachiLi_redner.pyredner,device,,set_device,7,1,1
BachiLi_redner.pyredner,device,,get_device,5,1,0
BachiLi_redner.pyredner,envmap,EnvironmentMap,__init__,10,2,3
BachiLi_redner.pyredner,envmap,EnvironmentMap,generate_envmap_pdf,21,1,0
BachiLi_redner.pyredner,envmap,EnvironmentMap,values,2,1,0
BachiLi_redner.pyredner,envmap,EnvironmentMap,values,3,1,1
BachiLi_redner.pyredner,envmap,EnvironmentMap,env_to_world,2,1,0
BachiLi_redner.pyredner,envmap,EnvironmentMap,env_to_world,3,1,1
BachiLi_redner.pyredner,envmap,EnvironmentMap,state_dict,10,1,0
BachiLi_redner.pyredner,envmap,EnvironmentMap,load_state_dict,10,1,2
BachiLi_redner.pyredner,geometry_images,,generate_geometry_image,127,36,2
BachiLi_redner.pyredner,image,,imwrite,17,6,4
BachiLi_redner.pyredner,image,,imread,14,3,2
BachiLi_redner.pyredner,load_mitsuba,,parse_transform,51,7,1
BachiLi_redner.pyredner,load_mitsuba,,parse_vector,6,2,1
BachiLi_redner.pyredner,load_mitsuba,,parse_camera,35,13,1
BachiLi_redner.pyredner,load_mitsuba,,parse_material,118,40,3
BachiLi_redner.pyredner,load_mitsuba,,parse_shape,185,44,5
BachiLi_redner.pyredner,load_mitsuba,,parse_scene,46,17,2
BachiLi_redner.pyredner,load_mitsuba,,load_mitsuba,12,2,2
BachiLi_redner.pyredner,load_obj,WavefrontMaterial,__init__,9,1,0
BachiLi_redner.pyredner,load_obj,TriangleMesh,__init__,7,1,6
BachiLi_redner.pyredner,load_obj,,load_mtl,28,12,1
BachiLi_redner.pyredner,load_obj,,load_obj,224,40,6
BachiLi_redner.pyredner,material,Material,__init__,52,33,7
BachiLi_redner.pyredner,material,Material,specular_reflectance,2,1,0
BachiLi_redner.pyredner,material,Material,specular_reflectance,8,2,1
BachiLi_redner.pyredner,material,Material,state_dict,10,1,0
BachiLi_redner.pyredner,material,Material,load_state_dict,11,1,2
BachiLi_redner.pyredner,object,Object,__init__,12,1,11
BachiLi_redner.pyredner,render_pytorch,RenderFunction,serialize_scene,131,34,9
BachiLi_redner.pyredner,render_pytorch,RenderFunction,unpack_args,359,28,4
BachiLi_redner.pyredner,render_pytorch,RenderFunction,forward,50,5,2
BachiLi_redner.pyredner,render_pytorch,RenderFunction,create_gradient_buffers,265,27,1
BachiLi_redner.pyredner,render_pytorch,RenderFunction,visualize_screen_gradient,43,3,10
BachiLi_redner.pyredner,render_pytorch,RenderFunction,backward,117,17,2
BachiLi_redner.pyredner,render_pytorch,,set_use_correlated_random_number,5,1,1
BachiLi_redner.pyredner,render_pytorch,,get_use_correlated_random_number,5,1,0
BachiLi_redner.pyredner,render_pytorch,,set_print_timing,5,1,1
BachiLi_redner.pyredner,render_pytorch,,get_print_timing,5,1,0
BachiLi_redner.pyredner,render_pytorch,,serialize_texture,13,4,3
BachiLi_redner.pyredner,render_utils,AmbientLight,__init__,2,1,1
BachiLi_redner.pyredner,render_utils,AmbientLight,render,2,1,3
