Package,Module,Class,Function,LOC,CC,PC
Calamari-OCR_calamari.calamari_ocr.ocr,evaluator,Evaluator,__init__,5,1,2
Calamari-OCR_calamari.calamari_ocr.ocr,evaluator,Evaluator,preload_gt,16,2,2
Calamari-OCR_calamari.calamari_ocr.ocr,evaluator,Evaluator,run,28,2,0
Calamari-OCR_calamari.calamari_ocr.ocr,evaluator,Evaluator,evaluate_single_args,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr,evaluator,Evaluator,evaluate_single,19,5,4
Calamari-OCR_calamari.calamari_ocr.ocr,evaluator,Evaluator,evaluate_single_list,29,5,2
Calamari-OCR_calamari.calamari_ocr.ocr,evaluator,Evaluator,evaluate,41,8,0
Calamari-OCR_calamari.calamari_ocr.ocr,scenario,CalamariScenarioBase,trainer_cls,3,1,1
Calamari-OCR_calamari.calamari_ocr.ocr,scenario,CalamariScenarioBase,default_params,8,1,1
Calamari-OCR_calamari.calamari_ocr.ocr,scenario,CalamariScenarioBase,default_trainer_params,15,1,1
Calamari-OCR_calamari.calamari_ocr.ocr,scenario,CalamariEnsembleScenario,default_params,4,1,1
Calamari-OCR_calamari.calamari_ocr.ocr,scenario,CalamariEnsembleScenario,trainer_pipeline_params_cls,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr,scenario_params,CalamariScenarioBaseParams,__post_init__,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr,scenario_params,CalamariEnsembleScenarioParams,__post_init__,3,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DataAugmenterParams,cls,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DataAugmenterParams,create,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DataAugmenterBase,__init__,3,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DataAugmenterBase,augment_single,2,1,2
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DataAugmenterBase,augment_data,4,1,3
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DataAugmenterBase,augment_data_tuple,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DataAugmenterBase,augment_datas,17,4,5
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DefaultDataAugmenterParams,cls,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,data_augmenter,DefaultDataAugmenter,augment_single,13,2,2
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,dataaugmentationparams,DataAugmentationAmount,from_dict,6,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,dataaugmentationparams,DataAugmentationAmount,to_dict,6,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,dataaugmentationparams,DataAugmentationAmount,from_factor,9,2,1
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,dataaugmentationparams,DataAugmentationAmount,__init__,4,1,3
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,dataaugmentationparams,DataAugmentationAmount,no_augs,2,2,0
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,dataaugmentationparams,DataAugmentationAmount,to_abs,5,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,dataaugmentationparams,DataAugmentationAmount,to_rel,5,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.augmentation,dataaugmentationparams,DataAugmentationAmount,epoch_size,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,CodecConstructionParams,__post_init__,9,3,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,from_input_dataset,16,4,3
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,from_texts,7,3,2
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,__post_init__,14,4,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,__len__,3,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,size,3,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,encode,3,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,decode,3,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,extend,12,3,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,shrink,16,4,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,Codec,align,5,1,3
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,codec,,ascii_codec,4,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,data,Data,data_pipeline_cls,3,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,data,Data,default_params,20,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,data,Data,_input_layer_specs,8,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,data,Data,_target_layer_specs,6,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,data,Data,element_length_fn,4,0,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,data,Data,create_pipeline,8,3,2
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,data,,to_tuple,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,params,DataParams,cls,3,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,params,DataParams,__post_init__,12,4,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,pipeline,CalamariPipeline,__init__,14,3,5
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,pipeline,CalamariPipeline,reader,4,2,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset,pipeline,CalamariPipeline,create_data_generator,21,-1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,InputSample,__post_init__,9,4,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,InputSample,to_input_target_sample,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGeneratorParams,__len__,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGeneratorParams,to_prediction,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGeneratorParams,select,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGeneratorParams,prepare_for_mode,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGeneratorParams,create,6,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGeneratorParams,image_loader,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,__init__,4,1,2
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,_load_image,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,post_init,7,3,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,__len__,3,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,sample_by_id,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,samples,4,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,add_sample,9,4,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,store_text_prediction,2,1,3
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,store_extended_prediction,10,3,4
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,prepare_store,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,store,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,generate,6,3,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,_generate_epoch,5,3,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,_sample_iterator,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,base,CalamariDataGenerator,_load_sample,2,1,2
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,ExtendedPredictionDataParams,__len__,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,ExtendedPredictionDataParams,to_prediction,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,ExtendedPredictionDataParams,select,2,1,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,ExtendedPredictionDataParams,cls,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,ExtendedPredictionDataParams,__post_init__,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,ExtendedPredictionDataSet,__init__,11,2,2
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,ExtendedPredictionDataSet,store_text_prediction,2,1,3
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,extended_prediction,ExtendedPredictionDataSet,_load_sample,19,5,2
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataParams,cls,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataParams,__len__,2,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataParams,to_prediction,5,1,0
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataParams,select,5,3,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataParams,prepare_for_mode,26,8,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataGenerator,__init__,51,18,5
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataGenerator,_load_sample,13,2,2
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataGenerator,_load_gt_txt,13,3,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataGenerator,_load_line,13,2,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,file,FileDataGenerator,store_text_prediction,6,1,3
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,raw,RawDataReader,__init__,31,13,4
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,raw,RawDataReader,populate_folds,4,2,1
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader,raw,RawDataReader,_load_sample,4,2,2
Calamari-OCR_calamari.calamari_ocr.ocr.dataset.datareader.abbyy,reader,Abbyy,__len__,2,1,0
