Package,Module,Class,Function,LOC,CC,PC
Ciphey_Ciphey,noxfile,,install_with_constraints,11,1,1
Ciphey_Ciphey,noxfile,,black,4,2,1
Ciphey_Ciphey,noxfile,,coverage,5,1,1
Ciphey_Ciphey,noxfile,,docs,3,1,1
Ciphey_Ciphey,noxfile,,tests,4,1,1
Ciphey_Ciphey.ciphey,ciphey,,decrypt,8,1,2
Ciphey_Ciphey.ciphey,ciphey,,get_name,6,2,3
Ciphey_Ciphey.ciphey,ciphey,,print_help,3,1,1
Ciphey_Ciphey.ciphey,ciphey,,main,93,21,0
Ciphey_Ciphey.ciphey,common,,id_lambda,4,1,1
Ciphey_Ciphey.ciphey,common,,fix_case,13,1,2
Ciphey_Ciphey.ciphey,mathsHelper,mathsHelper,__init__,3,1,0
Ciphey_Ciphey.ciphey,mathsHelper,mathsHelper,gcd,6,2,2
Ciphey_Ciphey.ciphey,mathsHelper,mathsHelper,mod_inv,7,2,2
Ciphey_Ciphey.ciphey,mathsHelper,mathsHelper,percentage,6,2,2
Ciphey_Ciphey.ciphey,mathsHelper,mathsHelper,sort_prob_table,53,6,1
Ciphey_Ciphey.ciphey,mathsHelper,mathsHelper,new_sort,9,1,1
Ciphey_Ciphey.ciphey,mathsHelper,mathsHelper,is_ascii,4,1,1
Ciphey_Ciphey.ciphey,mathsHelper,mathsHelper,strip_punctuation,6,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,any,Any,getExpectedRuntime,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,any,Any,__init__,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,any,Any,check,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,any,Any,getParams,2,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,brandon,Brandon,getExpectedRuntime,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,brandon,Brandon,clean_text,9,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,brandon,Brandon,checker,42,4,4
Ciphey_Ciphey.ciphey.basemods.Checkers,brandon,Brandon,__init__,11,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,brandon,Brandon,check,42,4,1
Ciphey_Ciphey.ciphey.basemods.Checkers,brandon,Brandon,calculateWhatChecker,12,4,2
Ciphey_Ciphey.ciphey.basemods.Checkers,brandon,Brandon,getParams,28,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,entropy,Entropy,check,3,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,entropy,Entropy,getExpectedRuntime,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,entropy,Entropy,__init__,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,entropy,Entropy,getParams,2,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,ezcheck,EzCheck,check,9,4,1
Ciphey_Ciphey.ciphey.basemods.Checkers,ezcheck,EzCheck,getExpectedRuntime,4,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,ezcheck,EzCheck,__init__,11,2,1
Ciphey_Ciphey.ciphey.basemods.Checkers,ezcheck,EzCheck,getParams,2,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,format,JsonChecker,check,9,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,format,JsonChecker,getExpectedRuntime,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,format,JsonChecker,__init__,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,format,JsonChecker,getParams,2,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,gtest,GTestChecker,check,3,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,gtest,GTestChecker,getExpectedRuntime,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,gtest,GTestChecker,__init__,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,gtest,GTestChecker,getParams,2,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,human,HumanChecker,check,11,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,human,HumanChecker,getExpectedRuntime,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,human,HumanChecker,getParams,2,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,human,HumanChecker,__init__,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,quadgrams,Quadgrams,check,22,5,1
Ciphey_Ciphey.ciphey.basemods.Checkers,quadgrams,Quadgrams,getExpectedRuntime,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,quadgrams,Quadgrams,getParams,13,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,quadgrams,Quadgrams,__init__,4,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,quorum,Quorum,check,11,4,1
Ciphey_Ciphey.ciphey.basemods.Checkers,quorum,Quorum,__init__,12,5,1
Ciphey_Ciphey.ciphey.basemods.Checkers,quorum,Quorum,getParams,10,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,regex,Regex,getExpectedRuntime,2,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,regex,Regex,__init__,4,1,1
Ciphey_Ciphey.ciphey.basemods.Checkers,regex,Regex,check,7,3,1
Ciphey_Ciphey.ciphey.basemods.Checkers,regex,Regex,getParams,8,1,0
Ciphey_Ciphey.ciphey.basemods.Checkers,regex,RegexList,getExpectedRuntime,2,1,1
