Package,Module,Class,Smell,Function/Method,Line no,File,Details
ClementPinard_SfmLearner-Pytorch,custom_transforms,,Long statement,,7,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/custom_transforms.py,A line with 128 chars in custom_transforms exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,custom_transforms,RandomHorizontalFlip,Magic number,__call__,51,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/custom_transforms.py,Magic number 0.5 used in __call__.
ClementPinard_SfmLearner-Pytorch,custom_transforms,RandomHorizontalFlip,Magic number,__call__,55,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/custom_transforms.py,Magic number 2 used in __call__.
ClementPinard_SfmLearner-Pytorch,custom_transforms,RandomHorizontalFlip,Magic number,__call__,55,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/custom_transforms.py,Magic number 2 used in __call__.
ClementPinard_SfmLearner-Pytorch,custom_transforms,RandomScaleCrop,Magic number,__call__,81,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/custom_transforms.py,Magic number 2 used in __call__.
ClementPinard_SfmLearner-Pytorch,custom_transforms,RandomScaleCrop,Magic number,__call__,82,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/custom_transforms.py,Magic number 2 used in __call__.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long parameter list,inverse_warp,155 - 188,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,"inverse_warp has 6 parameters, exceeding the max of 5."
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long statement,check_sizes,23,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,A line with 123 chars in check_sizes exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long statement,pixel2cam,28,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,A line with 278 chars in pixel2cam exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long statement,cam2pixel,44,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,A line with 378 chars in cam2pixel exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long statement,euler2mat,73,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,A line with 319 chars in euler2mat exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long statement,quat2mat,113,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,A line with 284 chars in quat2mat exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long statement,quat2mat,130,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,A line with 259 chars in quat2mat exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long statement,pose_vec2mat,137,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,A line with 216 chars in pose_vec2mat exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Long statement,inverse_warp,156,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,A line with 485 chars in inverse_warp exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Magic number,cam2pixel,65,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,Magic number 2 used in cam2pixel.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Magic number,cam2pixel,66,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,Magic number 2 used in cam2pixel.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Magic number,euler2mat,83,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,Magic number 2 used in euler2mat.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Magic number,quat2mat,122,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,Magic number 2 used in quat2mat.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Magic number,quat2mat,122,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,Magic number 3 used in quat2mat.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Magic number,pose_vec2mat,146,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,Magic number 3 used in pose_vec2mat.
ClementPinard_SfmLearner-Pytorch,inverse_warp,,Magic number,inverse_warp,182,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/inverse_warp.py,Magic number 3 used in inverse_warp.
ClementPinard_SfmLearner-Pytorch,logger,TermLogger,Long statement,reset_train_bar,32,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/logger.py,A line with 139 chars in reset_train_bar exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,logger,Writer,Long statement,__init__,47,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/logger.py,A line with 126 chars in __init__ exceeds the maximum length of 120 characters.
ClementPinard_SfmLearner-Pytorch,logger,TermLogger,Magic number,__init__,12,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/logger.py,Magic number 10 used in __init__.
ClementPinard_SfmLearner-Pytorch,logger,TermLogger,Magic number,__init__,14,/Volumes/BrokeExt/NICHE/ClementPinard_SfmLearner-Pytorch/logger.py,Magic number 3 used in __init__.
