Package,Module,Class,Smell,Function/Method,Line no,File,Details
DSE-MSU_DeepRobust,conf,,Long statement,,35,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/conf.py,A line with 126 chars in conf exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust,get-pip,,Complex method,bootstrap,80 - 180,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/get-pip.py,"Method 'bootstrap' has a cyclomatic complexity of 24, exceeding the max of 6."
DSE-MSU_DeepRobust,get-pip,,Empty catch block,bootstrap,122,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/get-pip.py,Empty catch block found in bootstrap.
DSE-MSU_DeepRobust,get-pip,,Empty catch block,bootstrap,128,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/get-pip.py,Empty catch block found in bootstrap.
DSE-MSU_DeepRobust,get-pip,,Long method,bootstrap,80 - 180,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/get-pip.py,Method 'bootstrap' is too long (77 lines).
DSE-MSU_DeepRobust,get-pip,,Long statement,,40,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/get-pip.py,A line with 1175 chars in get-pip exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust,get-pip,,Long statement,,205,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/get-pip.py,A line with 1822561 chars in get-pip exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust,setup,,Long statement,,8,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/setup.py,A line with 1098 chars in setup exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust,setup_empty,,Long statement,,4,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/setup_empty.py,A line with 133 chars in setup_empty exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Complex method,universal_adversarial_perturbation,78 - 142,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,"Method 'universal_adversarial_perturbation' has a cyclomatic complexity of 7, exceeding the max of 6."
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Long identifier,universal_adversarial_perturbation,78,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Identifier'universal_adversarial_perturbation' exceeds the maximum length of 30 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Long parameter list,universal_adversarial_perturbation,78 - 142,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,"universal_adversarial_perturbation has 11 parameters, exceeding the max of 5."
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Long statement,data_input_init,37,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,A line with 149 chars in data_input_init exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Long statement,universal_adversarial_perturbation,80,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,A line with 845 chars in universal_adversarial_perturbation exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Long statement,,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,A line with 146 chars in Universal_20240318211159 exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,data_input_init,35,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.485 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,data_input_init,35,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.456 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,data_input_init,35,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.406 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,data_input_init,36,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.229 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,data_input_init,36,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.224 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,data_input_init,36,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.225 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,get_fooling_rate,55,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 2 used in get_fooling_rate.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,universal_adversarial_perturbation,78,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,universal_adversarial_perturbation,78,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.2 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,universal_adversarial_perturbation,78,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,universal_adversarial_perturbation,79,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,universal_adversarial_perturbation,79,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.02 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,universal_adversarial_perturbation,79,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,universal_adversarial_perturbation,79,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 0.2 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211159,,Magic number,universal_adversarial_perturbation,136,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211159.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Complex method,universal_adversarial_perturbation,78 - 142,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,"Method 'universal_adversarial_perturbation' has a cyclomatic complexity of 7, exceeding the max of 6."
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Long identifier,universal_adversarial_perturbation,78,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Identifier'universal_adversarial_perturbation' exceeds the maximum length of 30 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Long parameter list,universal_adversarial_perturbation,78 - 142,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,"universal_adversarial_perturbation has 11 parameters, exceeding the max of 5."
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Long statement,data_input_init,37,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,A line with 149 chars in data_input_init exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Long statement,universal_adversarial_perturbation,80,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,A line with 845 chars in universal_adversarial_perturbation exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Long statement,,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,A line with 146 chars in Universal_20240318211807 exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,data_input_init,35,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.485 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,data_input_init,35,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.456 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,data_input_init,35,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.406 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,data_input_init,36,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.229 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,data_input_init,36,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.224 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,data_input_init,36,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.225 used in data_input_init.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,get_fooling_rate,55,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 2 used in get_fooling_rate.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,universal_adversarial_perturbation,78,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,universal_adversarial_perturbation,78,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.2 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,universal_adversarial_perturbation,78,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,universal_adversarial_perturbation,79,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,universal_adversarial_perturbation,79,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.02 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,universal_adversarial_perturbation,79,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,universal_adversarial_perturbation,79,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 0.2 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318211807,,Magic number,universal_adversarial_perturbation,136,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318211807.py,Magic number 10 used in universal_adversarial_perturbation.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318212542,,Complex method,universal_adversarial_perturbation,86 - 150,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318212542.py,"Method 'universal_adversarial_perturbation' has a cyclomatic complexity of 7, exceeding the max of 6."
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318212542,,Long identifier,universal_adversarial_perturbation,86,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318212542.py,Identifier'universal_adversarial_perturbation' exceeds the maximum length of 30 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318212542,,Long parameter list,universal_adversarial_perturbation,86 - 150,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318212542.py,"universal_adversarial_perturbation has 11 parameters, exceeding the max of 5."
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318212542,,Long statement,data_input_init,45,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318212542.py,A line with 149 chars in data_input_init exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318212542,,Long statement,universal_adversarial_perturbation,88,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318212542.py,A line with 845 chars in universal_adversarial_perturbation exceeds the maximum length of 120 characters.
DSE-MSU_DeepRobust..history.deeprobust.image.attack,Universal_20240318212542,,Long statement,,1,/Volumes/BrokeExt/NICHE/DSE-MSU_DeepRobust/.history/deeprobust/image/attack/Universal_20240318212542.py,A line with 146 chars in Universal_20240318212542 exceeds the maximum length of 120 characters.
