Package,Module,Class,Smell,Function/Method,Line no,File,Details
DongjunLee_kino-bot.dashboard,app,,Long identifier,make_daily_task_stacked_bar_fig,192,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,Identifier'make_daily_task_stacked_bar_fig' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,app,,Long identifier,make_weekly_task_stacked_bar_fig,222,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,Identifier'make_weekly_task_stacked_bar_fig' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,app,,Long identifier,make_summary_exercise_chart_fig,270,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,Identifier'make_summary_exercise_chart_fig' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,app,,Long identifier,make_task_working_hour_chart_fig,280,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,Identifier'make_task_working_hour_chart_fig' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,app,,Long identifier,make_task_working_hour_yearly_chart_fig,290,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,Identifier'make_task_working_hour_yearly_chart_fig' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,app,,Long identifier,make_sleep_happy_scatter_chart_fig,324,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,Identifier'make_sleep_happy_scatter_chart_fig' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,app,,Long identifier,make_sleep_attention_scatter_chart_fig,334,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,Identifier'make_sleep_attention_scatter_chart_fig' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,app,,Long statement,render_page_content,74,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,A line with 155 chars in render_page_content exceeds the maximum length of 120 characters.
DongjunLee_kino-bot.dashboard,app,,Long statement,make_task_scatter_chart_fig,308,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/app.py,A line with 130 chars in make_task_scatter_chart_fig exceeds the maximum length of 120 characters.
DongjunLee_kino-bot.dashboard,card,,Long parameter list,make_card_html,99 - 145,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,"make_card_html has 8 parameters, exceeding the max of 5."
DongjunLee_kino-bot.dashboard,card,,Long statement,date_picker_with_chart_card,15,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,A line with 227 chars in date_picker_with_chart_card exceeds the maximum length of 120 characters.
DongjunLee_kino-bot.dashboard,card,,Long statement,date_range_with_chart_card,34,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,A line with 287 chars in date_range_with_chart_card exceeds the maximum length of 120 characters.
DongjunLee_kino-bot.dashboard,card,,Long statement,simple_value_card,76,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,A line with 130 chars in simple_value_card exceeds the maximum length of 120 characters.
DongjunLee_kino-bot.dashboard,card,,Long statement,row_card,88,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,A line with 143 chars in row_card exceeds the maximum length of 120 characters.
DongjunLee_kino-bot.dashboard,card,,Magic number,chart_card,54,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,Magic number 6 used in chart_card.
DongjunLee_kino-bot.dashboard,card,,Magic number,simple_value_card,74,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,Magic number 2 used in simple_value_card.
DongjunLee_kino-bot.dashboard,card,,Magic number,make_card_html,104,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,Magic number 12 used in make_card_html.
DongjunLee_kino-bot.dashboard,card,,Magic number,make_card_html,138,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/card.py,Magic number 12 used in make_card_html.
DongjunLee_kino-bot.dashboard,chart,,Complex method,_make_daily_schedule_fig,45 - 219,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,"Method '_make_daily_schedule_fig' has a cyclomatic complexity of 18, exceeding the max of 6."
DongjunLee_kino-bot.dashboard,chart,,Complex method,_make_pie_chart_fig,275 - 360,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,"Method '_make_pie_chart_fig' has a cyclomatic complexity of 16, exceeding the max of 6."
DongjunLee_kino-bot.dashboard,chart,,Complex method,_make_calendar_heatmap_fig,416 - 479,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,"Method '_make_calendar_heatmap_fig' has a cyclomatic complexity of 8, exceeding the max of 6."
DongjunLee_kino-bot.dashboard,chart,,Long identifier,_make_summary_exercise_all_score_bar_charts,546,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Identifier'_make_summary_exercise_all_score_bar_charts' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,chart,,Long identifier,_make_task_working_hour_bar_chart,574,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Identifier'_make_task_working_hour_bar_chart' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,chart,,Long identifier,_make_task_scatter_chart_and_corr,677,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Identifier'_make_task_scatter_chart_and_corr' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,chart,,Long identifier,_make_sleep_happy_scatter_chart,731,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Identifier'_make_sleep_happy_scatter_chart' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,chart,,Long identifier,_make_sleep_attention_scatter_chart,767,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Identifier'_make_sleep_attention_scatter_chart' exceeds the maximum length of 30 characters.
DongjunLee_kino-bot.dashboard,chart,,Long method,_make_daily_schedule_fig,45 - 219,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Method '_make_daily_schedule_fig' is too long (138 lines).
DongjunLee_kino-bot.dashboard,chart,,Long method,_make_task_stacked_bar_fig,222 - 272,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Method '_make_task_stacked_bar_fig' is too long (48 lines).
DongjunLee_kino-bot.dashboard,chart,,Long method,_make_pie_chart_fig,275 - 360,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Method '_make_pie_chart_fig' is too long (71 lines).
DongjunLee_kino-bot.dashboard,chart,,Long method,_make_summary_line_fig,363 - 413,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Method '_make_summary_line_fig' is too long (41 lines).
DongjunLee_kino-bot.dashboard,chart,,Long method,_make_calendar_heatmap_fig,416 - 479,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Method '_make_calendar_heatmap_fig' is too long (55 lines).
DongjunLee_kino-bot.dashboard,chart,,Long method,_make_task_ranking_table_chart,618 - 674,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Method '_make_task_ranking_table_chart' is too long (52 lines).
DongjunLee_kino-bot.dashboard,chart,,Long method,_make_task_scatter_chart_and_corr,677 - 728,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,Method '_make_task_scatter_chart_and_corr' is too long (46 lines).
DongjunLee_kino-bot.dashboard,chart,,Long parameter list,_make_task_scatter_chart_and_corr,677 - 728,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,"_make_task_scatter_chart_and_corr has 6 parameters, exceeding the max of 5."
DongjunLee_kino-bot.dashboard,chart,,Long statement,_make_daily_schedule_fig,69,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,A line with 375 chars in _make_daily_schedule_fig exceeds the maximum length of 120 characters.
DongjunLee_kino-bot.dashboard,chart,,Long statement,_make_daily_schedule_fig,117,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,A line with 196 chars in _make_daily_schedule_fig exceeds the maximum length of 120 characters.
DongjunLee_kino-bot.dashboard,chart,,Long statement,_make_daily_schedule_fig,137,/Volumes/BrokeExt/NICHE/DongjunLee_kino-bot/dashboard/chart.py,A line with 137 chars in _make_daily_schedule_fig exceeds the maximum length of 120 characters.
