Package,Module,Class,Smell,Function/Method,Line no,File,Details
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Complex method,run_changed_notebooks,115 - 248,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,"Method 'run_changed_notebooks' has a cyclomatic complexity of 7, exceeding the max of 6."
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long method,run_changed_notebooks,115 - 248,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,Method 'run_changed_notebooks' is too long (85 lines).
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long parameter list,execute_notebook,71 - 112,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,"execute_notebook has 6 parameters, exceeding the max of 5."
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long parameter list,run_changed_notebooks,115 - 248,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,"run_changed_notebooks has 7 parameters, exceeding the max of 5."
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,execute_notebook,81,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 126 chars in execute_notebook exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,execute_notebook,91,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 258 chars in execute_notebook exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,run_changed_notebooks,124,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 1451 chars in run_changed_notebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,run_changed_notebooks,197,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 185 chars in run_changed_notebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,run_changed_notebooks,211,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 272 chars in run_changed_notebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,run_changed_notebooks,233,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 263 chars in run_changed_notebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,,252,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 172 chars in ExecuteChangedNotebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,,263,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 132 chars in ExecuteChangedNotebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,,269,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 171 chars in ExecuteChangedNotebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,,275,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 163 chars in ExecuteChangedNotebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,,283,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 138 chars in ExecuteChangedNotebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,,294,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 204 chars in ExecuteChangedNotebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Long statement,,304,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,A line with 313 chars in ExecuteChangedNotebooks exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Magic number,format_timedelta,46,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,Magic number 86400 used in format_timedelta.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Magic number,format_timedelta,47,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,Magic number 3600 used in format_timedelta.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteChangedNotebooks,,Magic number,format_timedelta,48,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteChangedNotebooks.py,Magic number 60 used in format_timedelta.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteNotebook,,Complex method,execute_notebook,79 - 175,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteNotebook.py,"Method 'execute_notebook' has a cyclomatic complexity of 13, exceeding the max of 6."
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteNotebook,,Long identifier,,122,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteNotebook.py,Identifier'remove_no_execute_cells_preprocessor' exceeds the maximum length of 30 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteNotebook,,Long method,execute_notebook,79 - 175,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteNotebook.py,Method 'execute_notebook' is too long (80 lines).
GoogleCloudPlatform_ai-platform-samples..cloud-build,ExecuteNotebook,,Long statement,execute_notebook,140,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/ExecuteNotebook.py,A line with 329 chars in execute_notebook exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,NotebookProcessors,UpdateVariablesPreprocessor,Long statement,update_variables,44,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/NotebookProcessors.py,A line with 128 chars in update_variables exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,UpdateNotebookVariables,,Long identifier,test_update_value_single_quotes,57,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/UpdateNotebookVariables.py,Identifier'test_update_value_single_quotes' exceeds the maximum length of 30 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,UpdateNotebookVariables,,Long statement,test_update_value,46,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/UpdateNotebookVariables.py,A line with 173 chars in test_update_value exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,UpdateNotebookVariables,,Long statement,test_update_value_single_quotes,58,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/UpdateNotebookVariables.py,A line with 136 chars in test_update_value_single_quotes exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,UpdateNotebookVariables,,Long statement,test_update_value_avoidance,67,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/UpdateNotebookVariables.py,A line with 133 chars in test_update_value_avoidance exceeds the maximum length of 120 characters.
GoogleCloudPlatform_ai-platform-samples..cloud-build,UpdateNotebookVariables,,Long statement,test_region,76,/Volumes/BrokeExt/NICHE/GoogleCloudPlatform_ai-platform-samples/.cloud-build/UpdateNotebookVariables.py,A line with 147 chars in test_region exceeds the maximum length of 120 characters.
