Package,Module,Class,Smell,Function/Method,Line no,File,Details
HumanCompatibleAI_adversarial-policies,setup,,Long statement,,5,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/setup.py,A line with 771 chars in setup exceeds the maximum length of 120 characters.
HumanCompatibleAI_adversarial-policies.experiments.modelfree,highest_win_rate,,Empty catch block,get_final_model_path,67,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/experiments/modelfree/highest_win_rate.py,Empty catch block found in get_final_model_path.
HumanCompatibleAI_adversarial-policies.experiments.modelfree,highest_win_rate,,Long statement,main,144,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/experiments/modelfree/highest_win_rate.py,A line with 125 chars in main exceeds the maximum length of 120 characters.
HumanCompatibleAI_adversarial-policies.experiments.modelfree,highest_win_rate,,Magic number,event_files,21,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/experiments/modelfree/highest_win_rate.py,Magic number 2 used in event_files.
HumanCompatibleAI_adversarial-policies.experiments.planning,common,,Long parameter list,on_iteration,15 - 17,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/experiments/planning/common.py,"on_iteration has 6 parameters, exceeding the max of 5."
HumanCompatibleAI_adversarial-policies.experiments.planning,common,,Long parameter list,receding,48 - 63,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/experiments/planning/common.py,"receding has 6 parameters, exceeding the max of 5."
HumanCompatibleAI_adversarial-policies.scripts,grab_frame,,Long statement,get_img,20,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/scripts/grab_frame.py,A line with 133 chars in get_img exceeds the maximum length of 120 characters.
HumanCompatibleAI_adversarial-policies.scripts,grab_frame,,Long statement,,1,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/scripts/grab_frame.py,A line with 165 chars in grab_frame exceeds the maximum length of 120 characters.
HumanCompatibleAI_adversarial-policies.scripts,incomplete_experiments,,Magic number,get_stats,35,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/scripts/incomplete_experiments.py,Magic number 2 used in get_stats.
HumanCompatibleAI_adversarial-policies.scripts.aws,termination,,Magic number,run,19,/Volumes/BrokeExt/NICHE/HumanCompatibleAI_adversarial-policies/scripts/aws/termination.py,Magic number 404 used in run.
