Package,Module,Class,Function,LOC,CC,PC
KaiyangZhou_deep-person-reid,setup,,readme,4,1,0
KaiyangZhou_deep-person-reid,setup,,find_version,5,1,0
KaiyangZhou_deep-person-reid,setup,,numpy_include,6,2,0
KaiyangZhou_deep-person-reid,setup,,get_requirements,5,1,1
KaiyangZhou_deep-person-reid.projects.DML,default_config,,get_default_config,88,1,0
KaiyangZhou_deep-person-reid.projects.DML,default_config,,imagedata_kwargs,24,1,1
KaiyangZhou_deep-person-reid.projects.DML,default_config,,videodata_kwargs,22,1,1
KaiyangZhou_deep-person-reid.projects.DML,default_config,,optimizer_kwargs,15,1,1
KaiyangZhou_deep-person-reid.projects.DML,default_config,,lr_scheduler_kwargs,7,1,1
KaiyangZhou_deep-person-reid.projects.DML,default_config,,engine_run_kwargs,19,1,1
KaiyangZhou_deep-person-reid.projects.DML,dml,ImageDMLEngine,__init__,21,1,14
KaiyangZhou_deep-person-reid.projects.DML,dml,ImageDMLEngine,forward_backward,40,2,1
KaiyangZhou_deep-person-reid.projects.DML,dml,ImageDMLEngine,compute_kl_div,5,2,3
KaiyangZhou_deep-person-reid.projects.DML,dml,ImageDMLEngine,two_stepped_transfer_learning,15,3,4
KaiyangZhou_deep-person-reid.projects.DML,dml,ImageDMLEngine,extract_features,12,1,1
KaiyangZhou_deep-person-reid.projects.DML,main,,reset_config,9,5,2
KaiyangZhou_deep-person-reid.projects.DML,main,,main,115,12,0
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,default_config,,get_default_config,90,1,0
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,default_config,,imagedata_kwargs,23,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,default_config,,videodata_kwargs,22,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,default_config,,optimizer_kwargs,15,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,default_config,,lr_scheduler_kwargs,7,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,default_config,,engine_run_kwargs,19,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,main,,reset_config,9,5,2
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,main,,main,97,9,0
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,ConvLayer,__init__,16,2,7
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,ConvLayer,forward,4,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,Conv1x1,__init__,13,1,4
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,Conv1x1,forward,4,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,Conv1x1Linear,__init__,8,2,4
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,Conv1x1Linear,forward,5,2,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,Conv3x3,__init__,13,1,4
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,Conv3x3,forward,4,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,LightConv3x3,__init__,16,1,2
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,LightConv3x3,forward,5,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,LightConvStream,__init__,10,2,3
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,LightConvStream,forward,2,1,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,ChannelGate,__init__,34,6,6
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,ChannelGate,forward,13,3,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSBlock,__init__,14,4,4
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSBlock,forward,12,3,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSBlockINv1,__init__,15,4,4
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSBlockINv1,forward,13,3,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSBlockINv2,__init__,15,4,4
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSBlockINv2,forward,13,3,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSBlockINv3,__init__,16,4,4
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSBlockINv3,forward,14,3,1
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSNet,__init__,33,1,7
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSNet,_make_layer,6,2,4
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSNet,_construct_fc_layer,16,5,3
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSNet,_init_params,25,9,0
KaiyangZhou_deep-person-reid.projects.OSNet_AIN,osnet_child,OSNet,featuremaps,9,1,1
