Package,Module,Smell,Class/Module,Line no,File,Details
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.distances,dot_product_similarity,Multifaceted abstraction,DotProductSimilarity,6,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/distances/dot_product_similarity.py,"Class 'DotProductSimilarity' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.distances,snr_distance,Multifaceted abstraction,SNRDistance,7,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/distances/snr_distance.py,"Class 'SNRDistance' has a high LCOM value of 1, indicating it may have multiple responsibilities."
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,arcface_loss,Deep hierarchy,ArcFaceLoss,8,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/arcface_loss.py,Class 'ArcFaceLoss' exceeds max depth with a depth of 5.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,base_metric_loss_function,Broken hierarchy,BaseMetricLossFunction,8,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/base_metric_loss_function.py,Class 'BaseMetricLossFunction' and its superclass 'EmbeddingRegularizerMixin' may not share a proper 'IS-A' relationship.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,base_metric_loss_function,Broken hierarchy,BaseMetricLossFunction,8,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/base_metric_loss_function.py,Class 'BaseMetricLossFunction' and its superclass 'ModuleWithRecordsReducerAndDistance' may not share a proper 'IS-A' relationship.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,base_metric_loss_function,Wide hierarchy,BaseMetricLossFunction,0,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/base_metric_loss_function.py,Class 'BaseMetricLossFunction' has a wide hierarchy with 20 direct subclasses.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,circle_loss,Deep hierarchy,CircleLoss,10,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/circle_loss.py,Class 'CircleLoss' exceeds max depth with a depth of 5.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,contrastive_loss,Deep hierarchy,ContrastiveLoss,8,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/contrastive_loss.py,Class 'ContrastiveLoss' exceeds max depth with a depth of 5.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,cosface_loss,Deep hierarchy,CosFaceLoss,7,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/cosface_loss.py,Class 'CosFaceLoss' exceeds max depth with a depth of 5.
KevinMusgrave_pytorch-metric-learning.src.pytorch_metric_learning.losses,cosface_loss,Multifaceted abstraction,CosFaceLoss,7,/Volumes/BrokeExt/NICHE/KevinMusgrave_pytorch-metric-learning/src/pytorch_metric_learning/losses/cosface_loss.py,"Class 'CosFaceLoss' has a high LCOM value of 1, indicating it may have multiple responsibilities."
