Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
LiberAI_NSpM.gsoc.aman,composite_template,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,decision_tree,,0,0,0,0,12,12,-1,0,0
LiberAI_NSpM.gsoc.aman,delete_lines,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,entity_errors,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,error_analysis,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,final_formatting,,0,0,0,0,13,13,-1,0,0
LiberAI_NSpM.gsoc.aman,get_metadata,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,get_properties,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,integrate,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,range_place,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,remove_en,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,script,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,script2,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,sparql_generator,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman,temp,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.aman.test_pipeline,get_properties,,0,0,0,0,0,0,-1,0,0
LiberAI_NSpM.gsoc.anand..pipeline_2,decision_tree,,138,20,2,2,15,15,1,0,0
LiberAI_NSpM.gsoc.anand..pipeline_2,final_formatting,,74,17,1,1,22,22,0,0,0
LiberAI_NSpM.gsoc.anand..pipeline_2,get_properties,,28,5,1,1,13,13,0,0,0
LiberAI_NSpM.gsoc.anand..pipeline_2,integrate,,64,7,1,1,13,13,0,0,0
LiberAI_NSpM.gsoc.anand..pipeline_2,sparql_generator,,46,6,1,1,9,9,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,composite_template,,60,10,1,1,24,24,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,decision_tree,,65,7,1,1,13,13,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,final_formatting,,74,17,1,1,22,22,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,get_properties,,28,5,1,1,13,13,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,integrate,,64,7,1,1,13,13,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,range_place,,59,21,1,1,17,17,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_composite,sparql_generator,,46,6,1,1,9,9,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,decision_tree,,66,7,1,1,13,13,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,final_formatting,,74,17,1,1,22,22,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,get_properties,,28,5,1,1,13,13,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,integrate,,64,7,1,1,13,13,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_1.pipeline_1_simple,sparql_generator,,46,6,1,1,9,9,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,eliminator,,11,3,1,1,7,7,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,fetch_ranks_sub,,7,2,1,1,1,1,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,generate_templates,,23,3,1,1,7,7,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,generate_url,,71,24,3,3,9,9,0.33,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,get_properties,,29,5,1,1,14,14,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3..pipeline_3,sentence_and_template_generator,,116,31,3,3,16,16,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,eliminator,,16,4,1,1,5,5,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,fetch_ranks,,9,2,1,1,1,1,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,fetch_ranks_sub,,9,2,1,1,1,1,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,generate_templates,,28,4,1,1,8,8,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,generate_url,,71,24,3,3,9,9,0.33,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,get_properties,,29,5,1,1,14,14,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,question_generator,,2,1,1,1,6,6,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.pipeline_3_with_controlled_test_set,sentence_and_template_generator,,123,33,3,3,13,13,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.Test_Fixer,test_fixer,,0,0,0,0,22,22,-1,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.compare,compare,,0,0,0,0,8,8,-1,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.new_extractor_fromGraphDBpediaEmbeddings,embedding_extractor,,0,0,0,0,18,18,-1,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.new_extractor_fromGraphDBpediaEmbeddings,indexer,,0,0,0,0,5,5,-1,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.old_extractor_from_GraphDBpediaEmbeddings,en_extract_embed,,0,0,0,0,8,8,-1,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.old_extractor_from_GraphDBpediaEmbeddings,sparql_extract_embed,,0,0,0,0,11,11,-1,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.qald_json,interpreter,,7,1,1,1,2,2,0,0,0
LiberAI_NSpM.gsoc.anand.pipeline_3.utility.qald_json,qald_json_gerbil_input,,0,0,0,0,32,32,-1,0,0
