Package,Module,Class,Function,LOC,CC,PC
LoSealL_VideoSuperResolution,prepare_data,,get_input,8,2,1
LoSealL_VideoSuperResolution,prepare_data,,matches,6,2,2
LoSealL_VideoSuperResolution,prepare_data,,user_input,28,8,3
LoSealL_VideoSuperResolution,prepare_data,,download,7,2,3
LoSealL_VideoSuperResolution,prepare_data,,drive_download,4,1,3
LoSealL_VideoSuperResolution,prepare_data,,main,82,16,0
LoSealL_VideoSuperResolution.Tests,correlation_test,CorrelationTest,constant,6,1,0
LoSealL_VideoSuperResolution.Tests,correlation_test,CorrelationTest,test_correlation,12,1,0
LoSealL_VideoSuperResolution.Tests,dataset_test,DatasetTest,test_image_data,5,1,0
LoSealL_VideoSuperResolution.Tests,dataset_test,DatasetTest,test_video_data,4,1,0
LoSealL_VideoSuperResolution.Tests,dataset_test,DatasetTest,test_multi_url,4,1,0
LoSealL_VideoSuperResolution.Tests,dataset_test,DatasetTest,test_include_exclude,12,1,0
LoSealL_VideoSuperResolution.Tests,dataset_test,DatasetTest,test_dataset_desc_file,25,1,0
LoSealL_VideoSuperResolution.Tests,googledrive_test,FetchGoogleDriveTest,test_downloads,11,3,0
LoSealL_VideoSuperResolution.Tests,image_test,ImageTest,psnr,6,1,2
LoSealL_VideoSuperResolution.Tests,image_test,ImageTest,test_rgb2yuv,6,1,0
LoSealL_VideoSuperResolution.Tests,image_test,ImageTest,test_resize_upsample_tf,16,4,0
LoSealL_VideoSuperResolution.Tests,image_test,ImageTest,test_resize_downsample_tf,19,4,0
LoSealL_VideoSuperResolution.Tests,image_test,ImageTest,test_resize_upsample_torch,16,4,0
LoSealL_VideoSuperResolution.Tests,image_test,ImageTest,test_resize_downsample_torch,19,4,0
LoSealL_VideoSuperResolution.Tests,imfilter_test,ImFilter,test_torch,15,2,0
LoSealL_VideoSuperResolution.Tests,imfilter_test,ImFilter,test_tf,14,2,0
LoSealL_VideoSuperResolution.Tests,initializer_test,TestInitializer,test_torch_initializer,11,1,0
LoSealL_VideoSuperResolution.Tests,loader_test,LoaderTest,assert_psnr,7,1,1
LoSealL_VideoSuperResolution.Tests,loader_test,LoaderTest,test_simplest_loader,12,1,0
LoSealL_VideoSuperResolution.Tests,loader_test,LoaderTest,test_complex_loader,12,1,0
LoSealL_VideoSuperResolution.Tests,loader_test,LoaderTest,test_memory_limit,15,1,0
LoSealL_VideoSuperResolution.Tests,loader_test,LoaderTest,test_no_shuffle,15,2,0
LoSealL_VideoSuperResolution.Tests,loader_test,LoaderTest,test_no_shuffle_limit,17,1,0
LoSealL_VideoSuperResolution.Tests,loader_test,LoaderTest,test_auto_deduce_shape,7,1,0
LoSealL_VideoSuperResolution.Tests,loader_test,LoaderTest,test_load_empty_data,11,1,0
LoSealL_VideoSuperResolution.Tests,model_test,ModelTest,test_train_srcnn,15,2,0
LoSealL_VideoSuperResolution.Tests,model_test,ModelTest,test_infer_srcnn,7,1,0
LoSealL_VideoSuperResolution.Tests,model_test,ModelTest,test_train_vespcn,13,2,0
LoSealL_VideoSuperResolution.Tests,motion_test,MotionTest,_assert_same,7,3,3
LoSealL_VideoSuperResolution.Tests,motion_test,MotionTest,test_open_flo,5,1,0
LoSealL_VideoSuperResolution.Tests,motion_test,MotionTest,test_open_png16,7,1,0
LoSealL_VideoSuperResolution.Tests,motion_test,MotionTest,test_grid,7,1,0
LoSealL_VideoSuperResolution.Tests,motion_test,MotionTest,test_sample,10,1,0
