Package,Module,Class,Function,LOC,CC,PC
MAIF_melusine.docs.docs_src.BasicClassification,tutorial001,DissatisfactionDetector,__init__,7,1,3
MAIF_melusine.docs.docs_src.BasicClassification,tutorial001,DissatisfactionDetector,pre_detect,8,3,2
MAIF_melusine.docs.docs_src.BasicClassification,tutorial001,DissatisfactionDetector,detect,11,2,2
MAIF_melusine.docs.docs_src.BasicClassification,tutorial001,DissatisfactionDetector,post_detect,6,2,2
MAIF_melusine.docs.docs_src.BasicClassification,tutorial001,,create_dataset,14,1,0
MAIF_melusine.docs.docs_src.BasicClassification,tutorial001,,transformers_standalone,12,1,0
MAIF_melusine.docs.docs_src.BasicClassification,tutorial001,,run,12,1,0
MAIF_melusine.docs.docs_src.Configurations,tutorial001,,from_config,3,1,0
MAIF_melusine.docs.docs_src.Configurations,tutorial001,,from_config_dict,9,1,0
MAIF_melusine.docs.docs_src.Configurations,tutorial001,,print_config,3,1,0
MAIF_melusine.docs.docs_src.Configurations,tutorial001,,modify_conf_with_dict,5,1,0
MAIF_melusine.docs.docs_src.Configurations,tutorial001,,modify_conf_with_path,4,1,0
MAIF_melusine.docs.docs_src.Configurations,tutorial001,,modify_conf_with_env,5,1,0
MAIF_melusine.docs.docs_src.Configurations,tutorial001,,export_config,4,1,0
MAIF_melusine.docs.docs_src.GettingStarted,tutorial001,,run,6,1,0
MAIF_melusine.docs.docs_src.GettingStarted,tutorial002,,run,7,1,0
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial001,MyCustomDetector,transform_methods,2,1,0
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial001,MyCustomDetector,prepare,2,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial001,MyCustomDetector,run,3,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial001,,run,10,1,0
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial002,MyVirusDetector,__init__,8,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial002,MyVirusDetector,pre_detect,3,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial002,MyVirusDetector,detect,7,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial002,MyVirusDetector,post_detect,3,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial002,,run,12,1,0
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial003,MyVirusDetector,__init__,8,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial003,MyVirusDetector,pre_detect,6,2,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial003,MyVirusDetector,detect,22,2,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial003,MyVirusDetector,post_detect,6,3,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial003,,run,13,1,0
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial004,MyCustomDetector,transform_methods,2,1,0
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial004,MyCustomDetector,prepare,2,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial004,MyCustomDetector,run,3,1,2
MAIF_melusine.docs.docs_src.MelusineDetectors,tutorial004,,run,10,1,0
MAIF_melusine.melusine,_config,MelusineConfig,pop,4,1,1
MAIF_melusine.melusine,_config,MelusineConfig,popitem,4,1,1
MAIF_melusine.melusine,_config,MelusineConfig,__setitem__,4,1,2
MAIF_melusine.melusine,_config,MelusineConfig,dict,4,1,0
MAIF_melusine.melusine,_config,MelusineConfig,_load_from_path,6,1,1
MAIF_melusine.melusine,_config,MelusineConfig,reset,17,6,2
MAIF_melusine.melusine,_config,MelusineConfig,export_default_config,8,1,1
MAIF_melusine.melusine,_config,MelusineConfigError,__init__,4,1,1
MAIF_melusine.melusine,base,MelusineTransformer,__init__,7,1,3
MAIF_melusine.melusine,base,MelusineTransformer,parse_column_list,6,2,1
MAIF_melusine.melusine,base,MelusineTransformer,fit,3,1,2
MAIF_melusine.melusine,base,MelusineTransformer,transform,21,3,1
MAIF_melusine.melusine,base,BaseMelusineDetector,__init__,8,1,3
MAIF_melusine.melusine,base,BaseMelusineDetector,debug_dict_col,4,1,0
MAIF_melusine.melusine,base,BaseMelusineDetector,transform_methods,3,1,0
MAIF_melusine.melusine,base,BaseMelusineDetector,fit,3,1,2
MAIF_melusine.melusine,base,BaseMelusineDetector,transform,24,4,1
MAIF_melusine.melusine,base,BaseMelusineDetector,validate_input_fields,7,2,1
MAIF_melusine.melusine,base,MelusineDetector,transform_methods,4,1,0
MAIF_melusine.melusine,base,MelusineDetector,pre_detect,1,1,2
MAIF_melusine.melusine,base,MelusineDetector,detect,1,1,2
MAIF_melusine.melusine,base,MelusineDetector,post_detect,1,1,2
MAIF_melusine.melusine,base,MelusineRegex,__init__,8,3,2
MAIF_melusine.melusine,base,MelusineRegex,regex_name,4,1,0
MAIF_melusine.melusine,base,MelusineRegex,positive,3,1,0
MAIF_melusine.melusine,base,MelusineRegex,neutral,4,1,0
MAIF_melusine.melusine,base,MelusineRegex,negative,4,1,0
MAIF_melusine.melusine,base,MelusineRegex,match_list,3,1,0
MAIF_melusine.melusine,base,MelusineRegex,no_match_list,3,1,0
MAIF_melusine.melusine,base,MelusineRegex,_get_match,26,6,3
MAIF_melusine.melusine,base,MelusineRegex,ignore_text,11,3,2
MAIF_melusine.melusine,base,MelusineRegex,get_match_result,5,1,1
MAIF_melusine.melusine,base,MelusineRegex,__call__,26,4,1
MAIF_melusine.melusine,base,MelusineRegex,describe,39,9,2
MAIF_melusine.melusine,base,MelusineRegex,apply_paired_matching,14,6,2
MAIF_melusine.melusine,base,MelusineRegex,pre_match_hook,4,1,1
MAIF_melusine.melusine,base,MelusineRegex,post_match_hook,9,2,1
MAIF_melusine.melusine,base,MelusineRegex,test,9,3,0
MAIF_melusine.melusine,base,MelusineRegex,__repr__,2,1,0
MAIF_melusine.melusine,detectors,ThanksDetector,__init__,14,1,2
MAIF_melusine.melusine,detectors,ThanksDetector,pre_detect,16,2,2
MAIF_melusine.melusine,detectors,ThanksDetector,detect,12,2,2
MAIF_melusine.melusine,detectors,ThanksDetector,post_detect,5,2,2
MAIF_melusine.melusine,detectors,VacationReplyDetector,__init__,13,1,2
MAIF_melusine.melusine,detectors,VacationReplyDetector,pre_detect,11,2,2
MAIF_melusine.melusine,detectors,VacationReplyDetector,detect,12,2,2
MAIF_melusine.melusine,detectors,VacationReplyDetector,post_detect,4,1,2
MAIF_melusine.melusine,detectors,ReplyDetector,__init__,13,1,2
MAIF_melusine.melusine,detectors,ReplyDetector,pre_detect,10,2,2
MAIF_melusine.melusine,detectors,ReplyDetector,detect,12,2,2
MAIF_melusine.melusine,detectors,ReplyDetector,post_detect,4,1,2
MAIF_melusine.melusine,detectors,TransferDetector,__init__,14,1,3
MAIF_melusine.melusine,detectors,TransferDetector,pre_detect,10,2,2
MAIF_melusine.melusine,detectors,TransferDetector,detect,14,3,2
MAIF_melusine.melusine,detectors,TransferDetector,post_detect,4,1,2
MAIF_melusine.melusine,detectors,EmergencyDetector,__init__,14,1,3
MAIF_melusine.melusine,detectors,EmergencyDetector,pre_detect,12,2,2
MAIF_melusine.melusine,detectors,EmergencyDetector,detect,12,2,2
MAIF_melusine.melusine,detectors,EmergencyDetector,post_detect,4,1,2
MAIF_melusine.melusine,message,Message,__init__,14,1,7
MAIF_melusine.melusine,message,Message,str_tag_name_length,7,1,0
MAIF_melusine.melusine,message,Message,str_line_length,7,1,0
MAIF_melusine.melusine,message,Message,extract_parts,20,6,3
MAIF_melusine.melusine,message,Message,extract_text,7,2,5
MAIF_melusine.melusine,message,Message,extract_last_body,4,1,3
MAIF_melusine.melusine,message,Message,has_tags,22,6,3
MAIF_melusine.melusine,message,Message,format_tags,17,4,2
MAIF_melusine.melusine,message,Message,__repr__,9,2,0
MAIF_melusine.melusine,message,Message,__str__,13,2,0
MAIF_melusine.melusine,pipeline,MelusinePipeline,__init__,6,1,3
MAIF_melusine.melusine,pipeline,MelusinePipeline,input_columns,8,2,0
MAIF_melusine.melusine,pipeline,MelusinePipeline,output_columns,7,2,0
MAIF_melusine.melusine,pipeline,MelusinePipeline,get_obj_class,7,1,2
MAIF_melusine.melusine,pipeline,MelusinePipeline,import_class,8,2,2
MAIF_melusine.melusine,pipeline,MelusinePipeline,flatten_pipeline_config,12,3,2
MAIF_melusine.melusine,pipeline,MelusinePipeline,from_config,34,7,3
MAIF_melusine.melusine,pipeline,MelusinePipeline,validate_step_config,28,6,2
MAIF_melusine.melusine,pipeline,MelusinePipeline,validate_pipeline_config,13,4,2
MAIF_melusine.melusine,pipeline,MelusinePipeline,parse_pipeline_config,25,4,2
MAIF_melusine.melusine,pipeline,MelusinePipeline,get_config_from_key,4,1,2
MAIF_melusine.melusine,pipeline,MelusinePipeline,validate_input_fields,15,3,1
MAIF_melusine.melusine,pipeline,MelusinePipeline,transform,5,1,1
MAIF_melusine.melusine,processors,Normalizer,__init__,14,2,5
MAIF_melusine.melusine,processors,Normalizer,normalize_message,7,2,1
MAIF_melusine.melusine,processors,Normalizer,normalize_text,27,5,1
MAIF_melusine.melusine,processors,RegexTokenizer,__init__,15,2,6
MAIF_melusine.melusine,processors,RegexTokenizer,_text_to_tokens,5,1,1
MAIF_melusine.melusine,processors,RegexTokenizer,_remove_stopwords,4,1,1
MAIF_melusine.melusine,processors,RegexTokenizer,tokenize,10,3,1
MAIF_melusine.melusine,processors,BaseSegmenter,__init__,11,1,4
MAIF_melusine.melusine,processors,BaseSegmenter,create_segmentation_regex_list,3,1,0
MAIF_melusine.melusine,processors,BaseSegmenter,compile_regex_from_list,7,1,2
MAIF_melusine.melusine,processors,BaseSegmenter,create_messages,21,2,1
MAIF_melusine.melusine,processors,BaseSegmenter,segment_text,-1,1,1
MAIF_melusine.melusine,processors,Segmenter,__init__,8,1,3
MAIF_melusine.melusine,processors,Segmenter,create_segmentation_regex_list,56,1,0
MAIF_melusine.melusine,processors,BaseExtractor,__init__,8,1,2
MAIF_melusine.melusine,processors,BaseExtractor,extract,3,1,1
MAIF_melusine.melusine,processors,TextExtractor,__init__,14,3,7
MAIF_melusine.melusine,processors,TextExtractor,extract,32,6,1
MAIF_melusine.melusine,processors,TokensExtractor,__init__,9,1,4
MAIF_melusine.melusine,processors,TokensExtractor,extract,10,2,1
MAIF_melusine.melusine,processors,BaseContentTagger,__init__,20,3,7
MAIF_melusine.melusine,processors,BaseContentTagger,__getitem__,4,1,1
MAIF_melusine.melusine,processors,BaseContentTagger,compile_split_pattern,29,1,0
MAIF_melusine.melusine,processors,BaseContentTagger,get_tag_list,4,1,1
MAIF_melusine.melusine,processors,BaseContentTagger,tag_email,9,2,1
MAIF_melusine.melusine,processors,BaseContentTagger,compile_tag_regex,25,7,1
MAIF_melusine.melusine,processors,BaseContentTagger,tag_text,8,2,1
MAIF_melusine.melusine,processors,BaseContentTagger,split_text,7,1,1
MAIF_melusine.melusine,processors,BaseContentTagger,validate_part,4,1,1
