Package,Module,Class,Function,LOC,CC,PC
MIC-DKFZ_trixi,setup,,resolve_requirements,10,3,1
MIC-DKFZ_trixi,setup,,read_file,4,1,1
MIC-DKFZ_trixi,setup,,find_version,6,2,1
MIC-DKFZ_trixi.doc,conf,,run_apidoc,8,1,1
MIC-DKFZ_trixi.doc,conf,,setup,3,1,1
MIC-DKFZ_trixi.examples,train_net_pytorchexperiment,Net,__init__,7,1,0
MIC-DKFZ_trixi.examples,train_net_pytorchexperiment,Net,forward,8,1,1
MIC-DKFZ_trixi.examples,train_net_pytorchexperiment,MNISTExperiment,setup,22,2,0
MIC-DKFZ_trixi.examples,train_net_pytorchexperiment,MNISTExperiment,train,16,3,1
MIC-DKFZ_trixi.examples,train_net_pytorchexperiment,MNISTExperiment,validate,17,2,1
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,setUp,5,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,tearDown,3,2,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_create_folders,11,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_two_experiment_loggers_same_test_dir_no_run_number_throws_error,5,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_show_image,5,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_show_barplot,5,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_show_lineplot,9,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_show_piechart,5,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_show_scatterplot,5,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_show_value,12,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_show_text,7,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_save_and_load_config,15,5,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_save_results,15,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_save_and_load_dict,13,4,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_save_and_load_numpy_data,8,1,0
MIC-DKFZ_trixi.test,test_experimentlogger,TestExperimentLogger,test_save_and_load_pickle,8,1,0
MIC-DKFZ_trixi.test,test_numpyseabornimageplotlogger,TestNumpySearbonImagePlotLogger,setUpClass,2,1,1
MIC-DKFZ_trixi.test,test_numpyseabornimageplotlogger,TestNumpySearbonImagePlotLogger,setUp,2,1,0
MIC-DKFZ_trixi.test,test_numpyseabornimageplotlogger,TestNumpySearbonImagePlotLogger,test_show_image,4,1,0
MIC-DKFZ_trixi.test,test_numpyseabornimageplotlogger,TestNumpySearbonImagePlotLogger,test_show_barplot,4,1,0
MIC-DKFZ_trixi.test,test_numpyseabornimageplotlogger,TestNumpySearbonImagePlotLogger,test_show_lineplot,5,1,0
MIC-DKFZ_trixi.test,test_numpyseabornimageplotlogger,TestNumpySearbonImagePlotLogger,test_show_piechart,4,1,0
MIC-DKFZ_trixi.test,test_numpyseabornimageplotlogger,TestNumpySearbonImagePlotLogger,test_show_scatterplot,4,1,0
MIC-DKFZ_trixi.test,test_numpyseabornimageplotlogger,TestNumpySearbonImagePlotLogger,test_show_value,10,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,setUp,3,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,tearDown,4,2,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_train,5,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_validate,5,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_update_attributes,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_get_pytorch_modules,6,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_get_pytorch_optimizers,8,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_get_simple_vars,10,3,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_get_pytorch_vars,8,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_save_results,8,2,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_save_and_load_checkpoints,29,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_add_results,11,2,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_save_tmp_results,8,2,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_save_tmp_checkpoint,16,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_save_exp_info,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_print,5,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,TestPytorchExperiment,test_resume,22,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,Net,__init__,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperiment,Net,forward,8,1,1
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,setUp,5,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,tearDown,3,2,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_show_image,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_show_images,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_show_image_grid,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_show_image_grid_heatmap,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_show_barplot,5,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_net_save_and_load_model,11,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_net_save_and_load_checkpoint,10,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_net_save_and_load_checkpoint_with_optimizer,2,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_net_save_and_load_checkpoint_with_optimizer_with_cuda,3,2,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,_test_load_save_checkpoint,35,4,1
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_print,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_get_roc_curve,12,3,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_get_pr_curve,13,3,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,TestPytorchExperimentLogger,test_get_classification_metric,17,4,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,Net,__init__,7,1,0
MIC-DKFZ_trixi.test,test_pytorchexperimentlogger,Net,forward,8,1,1
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,setUp,3,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,tearDown,4,2,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_text,2,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_image,3,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_images,3,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_image_grid,3,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_barplot,3,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_lineplot,4,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_piechart,3,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_scatterplot,3,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_value,13,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_pr_curve,2,1,0
MIC-DKFZ_trixi.test,test_pytorchtensorboardxlogger,TestPytorchTensorboardXLogger,test_show_histogram,2,1,0
MIC-DKFZ_trixi.test,test_pytorchvisdomlogger,TestPytorchVisdomLogger,setUpClass,6,2,1
MIC-DKFZ_trixi.test,test_pytorchvisdomlogger,TestPytorchVisdomLogger,setUp,2,1,0
MIC-DKFZ_trixi.test,test_pytorchvisdomlogger,TestPytorchVisdomLogger,test_show_image,4,1,0
MIC-DKFZ_trixi.test,test_pytorchvisdomlogger,TestPytorchVisdomLogger,test_show_images,4,1,0
MIC-DKFZ_trixi.test,test_pytorchvisdomlogger,TestPytorchVisdomLogger,test_show_image_grid,4,1,0
MIC-DKFZ_trixi.test,test_pytorchvisdomlogger,TestPytorchVisdomLogger,test_show_image_grid_heatmap,3,1,0
