Package,Module,Class,Function,LOC,CC,PC
MarkUsProject_Markus.db.data.autotest_files.jupyter.script_files,test,,load_code,2,1,0
MarkUsProject_Markus.db.data.autotest_files.jupyter.script_files,test,,test_shape,2,1,0
MarkUsProject_Markus.db.data.autotest_files.jupyter.script_files,test,,test_scalar_multiply,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.script_files,test,Test1,test_passes,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.script_files,test,Test1,test_fails,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.script_files,test,Test2,test_fails_and_outputs_json,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.script_files,test2,,test_passes,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.script_files,test2,,test_fails,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.script_files,test2,,test_loops,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.script_files,test2,,test_fails_and_outputs_json,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.student_files,submission,,return_true,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.student_files,submission,,return_false,2,1,0
MarkUsProject_Markus.db.data.autotest_files.py.student_files,submission,,loop,3,2,0
MarkUsProject_Markus.db.data.autotest_files.py.student_files,submission,,return_json,2,1,0
MarkUsProject_Markus.db.data.autotest_files.pyta.student_files,submission,,return_true,2,1,0
MarkUsProject_Markus.db.data.autotest_files.pyta.student_files,submission,,return_false,2,1,0
MarkUsProject_Markus.db.data.autotest_files.pyta.student_files,submission,,loop,3,2,0
MarkUsProject_Markus.db.data.autotest_files.pyta.student_files,submission,,return_json,2,1,0
MarkUsProject_Markus.db.data.submission_files,internet,_VolatileDataService,__getstate__,6,3,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractServer,__init__,5,2,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractServer,privilegedStartService,3,1,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractServer,startService,4,2,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractServer,stopService,6,2,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractServer,_getPort,9,2,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractClient,__init__,5,2,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractClient,startService,3,1,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractClient,stopService,5,2,0
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractClient,_getConnection,9,2,0
MarkUsProject_Markus.db.data.submission_files,internet,GenericServer,__init__,6,1,0
MarkUsProject_Markus.db.data.submission_files,internet,GenericClient,__init__,6,1,0
MarkUsProject_Markus.db.data.submission_files,internet,TimerService,__init__,3,1,2
MarkUsProject_Markus.db.data.submission_files,internet,TimerService,startService,5,1,0
MarkUsProject_Markus.db.data.submission_files,internet,TimerService,_failed,3,1,1
MarkUsProject_Markus.db.data.submission_files,internet,TimerService,stopService,4,2,0
MarkUsProject_Markus.db.data.submission_files,internet,CooperatorService,__init__,2,1,0
MarkUsProject_Markus.db.data.submission_files,internet,CooperatorService,coiterate,2,1,1
MarkUsProject_Markus.db.data.submission_files,internet,CooperatorService,startService,2,1,0
MarkUsProject_Markus.db.data.submission_files,internet,CooperatorService,stopService,2,1,0
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IServiceMaker,makeService,3,1,1
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,ServiceMaker,__init__,5,1,4
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,ServiceMaker,options,4,0,0
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,ServiceMaker,makeService,4,0,0
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,setName,3,1,1
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,setServiceParent,3,1,1
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,disownServiceParent,3,1,0
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,startService,3,1,0
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,stopService,3,1,0
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,privilegedStartService,3,1,0
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,Service,__getstate__,5,2,0
