Package,Module,Class,Smell,Function/Method,Line no,File,Details
MarkUsProject_Markus.db.data.autotest_files.custom.student_files,submission,,Long statement,,3,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/autotest_files/custom/student_files/submission.py,A line with 144 chars in submission exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.autotest_files.jupyter.script_files,test,,Magic number,test_shape,11,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/autotest_files/jupyter/script_files/test.py,Magic number 100 used in test_shape.
MarkUsProject_Markus.db.data.autotest_files.jupyter.script_files,test,,Magic number,test_shape,11,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/autotest_files/jupyter/script_files/test.py,Magic number 100 used in test_shape.
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractServer,Long statement,_getPort,106,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/internet.py,A line with 205 chars in _getPort exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files,internet,_AbstractClient,Long statement,_getConnection,163,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/internet.py,A line with 203 chars in _getConnection exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files,internet,,Long statement,,5,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/internet.py,A line with 819 chars in internet exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files,internet,,Long statement,,311,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/internet.py,A line with 182 chars in internet exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,,Long statement,Application,362,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/test-files-in-inner-dirs/1.py,A line with 280 chars in Application exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,,Long statement,loadApplication,379,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/test-files-in-inner-dirs/1.py,A line with 365 chars in loadApplication exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IServiceMaker,Long statement,makeService,39,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/test-files-in-inner-dirs/1.py,A line with 288 chars in makeService exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,Long statement,setName,91,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/test-files-in-inner-dirs/1.py,A line with 154 chars in setName exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,Long statement,setServiceParent,99,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/test-files-in-inner-dirs/1.py,A line with 276 chars in setServiceParent exceeds the maximum length of 120 characters.
MarkUsProject_Markus.db.data.submission_files.test-files-in-inner-dirs,1,IService,Long statement,disownServiceParent,109,/Volumes/BrokeExt/NICHE/MarkUsProject_Markus/db/data/submission_files/test-files-in-inner-dirs/1.py,A line with 451 chars in disownServiceParent exceeds the maximum length of 120 characters.
