Package,Module,Class,Function,LOC,CC,PC
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,__init__,2,1,0
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,conv2d,49,7,11
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,relu,5,1,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,sigmoid,5,1,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,maxpooling,21,4,6
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,avgpooling,11,2,6
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,globalavgpooling,8,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,layernorm,26,5,6
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,instancenorm,25,4,5
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,dropout,12,1,5
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,fullyconnect,18,4,6
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,layerbn,6,1,5
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,layerbn_distributed,88,8,10
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,layergn,23,1,4
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,squeeze,5,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,deconv2d,25,3,12
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,dilation_conv,36,6,9
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,spatial_dropout,14,-1,5
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,lrelu,6,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,cnn_basenet_bak,CNNBaseModel,pad,6,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,__init__,19,2,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,_is_net_for_training,8,2,0
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,_conv_stage,18,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,_feature_sequence_extraction,61,1,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,_map_to_sequence,8,1,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,_sequence_label,50,2,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,_build_net,18,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,inference,11,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,CrnnNet,compute_loss,19,1,4
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,,get_model,5,1,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,,_stats_graph,8,1,1
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,,_inference_time_profile,31,2,0
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn,,_model_profile,12,1,0
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn_net,ShadowNet,__init__,13,2,4
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn_net,ShadowNet,_init_phase,5,1,0
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn_net,ShadowNet,_conv_stage,18,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn_net,ShadowNet,_feature_sequence_extraction,60,1,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn_net,ShadowNet,_map_to_sequence,9,1,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn_net,ShadowNet,_sequence_label,44,1,2
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn_net,ShadowNet,inference,20,1,3
MaybeShewill-CV_CRNN_Tensorflow.crnn_model,crnn_net,ShadowNet,compute_loss,15,1,4
MaybeShewill-CV_CRNN_Tensorflow.data_provider,shadownet_data_feed_pipline,CrnnDataProducer,__init__,27,5,4
MaybeShewill-CV_CRNN_Tensorflow.data_provider,shadownet_data_feed_pipline,CrnnDataProducer,generate_tfrecords,44,1,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,shadownet_data_feed_pipline,CrnnDataProducer,_is_source_data_complete,6,2,0
MaybeShewill-CV_CRNN_Tensorflow.data_provider,shadownet_data_feed_pipline,CrnnDataProducer,_init_dataset_sample_info,45,8,0
MaybeShewill-CV_CRNN_Tensorflow.data_provider,shadownet_data_feed_pipline,CrnnDataProducer,_generate_char_dict,13,3,0
MaybeShewill-CV_CRNN_Tensorflow.data_provider,shadownet_data_feed_pipline,CrnnDataFeeder,__init__,15,3,4
MaybeShewill-CV_CRNN_Tensorflow.data_provider,shadownet_data_feed_pipline,CrnnDataFeeder,sample_counts,8,2,0
MaybeShewill-CV_CRNN_Tensorflow.data_provider,shadownet_data_feed_pipline,CrnnDataFeeder,inputs,12,2,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,_FeatureIO,__init__,7,1,2
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,_FeatureIO,char_to_int,9,2,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,_FeatureIO,int_to_char,7,2,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,_FeatureIO,encode_labels,10,2,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,_FeatureIO,sparse_tensor_to_str,20,4,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,_FeatureIO,sparse_tensor_to_str_for_tf_serving,21,4,3
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureReader,__init__,7,1,3
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureReader,dataset_flags,5,1,0
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureReader,dataset_flags,9,3,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureReader,_augment_for_train,5,1,3
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureReader,_augment_for_validation,5,1,3
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureReader,_normalize,6,1,3
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureReader,_extract_features_batch,20,1,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureReader,inputs,22,3,3
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureWriter,__init__,13,1,7
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureWriter,_init_example_info_queue,23,4,0
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,CrnnFeatureWriter,run,23,3,0
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,,_int64_feature,14,5,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,,_float_feature,14,5,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,,_bytes_feature,11,4,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,,_is_valid_jpg_file,22,3,1
MaybeShewill-CV_CRNN_Tensorflow.data_provider,tf_io_pipline_fast_tools,,_write_tfrecords,39,6,1
MaybeShewill-CV_CRNN_Tensorflow.local_utils,establish_char_dict,CharDictBuilder,__init__,2,1,0
MaybeShewill-CV_CRNN_Tensorflow.local_utils,establish_char_dict,CharDictBuilder,_read_chars,15,4,1
MaybeShewill-CV_CRNN_Tensorflow.local_utils,establish_char_dict,CharDictBuilder,_write_json,9,2,2
MaybeShewill-CV_CRNN_Tensorflow.local_utils,establish_char_dict,CharDictBuilder,write_char_dict,5,1,2
MaybeShewill-CV_CRNN_Tensorflow.local_utils,establish_char_dict,CharDictBuilder,read_char_dict,7,1,1
MaybeShewill-CV_CRNN_Tensorflow.local_utils,establish_char_dict,CharDictBuilder,map_ord_to_index,10,1,2
MaybeShewill-CV_CRNN_Tensorflow.local_utils,establish_char_dict,CharDictBuilder,read_ord_map_dict,7,1,1
MaybeShewill-CV_CRNN_Tensorflow.local_utils,evaluation_tools,,compute_accuracy,44,14,4
MaybeShewill-CV_CRNN_Tensorflow.local_utils,evaluation_tools,,plot_confusion_matrix,24,3,5
MaybeShewill-CV_CRNN_Tensorflow.local_utils,evaluation_tools,,print_cm,24,8,5
MaybeShewill-CV_CRNN_Tensorflow.local_utils,log_utils,,init_logger,23,2,5
MaybeShewill-CV_CRNN_Tensorflow.local_utils.config_utils,parse_config_utils,Config,__init__,9,2,0
MaybeShewill-CV_CRNN_Tensorflow.local_utils.config_utils,parse_config_utils,Config,__setattr__,13,3,3
MaybeShewill-CV_CRNN_Tensorflow.local_utils.config_utils,parse_config_utils,Config,__getattr__,13,4,2
