Package,Module,Class,Smell,Function/Method,Line no,File,Details
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long identifier,_is_training_sample_index_file_complete,149,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,Identifier'_is_training_sample_index_file_complete' exceeds the maximum length of 30 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long identifier,_generate_training_example_index_file,159,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,Identifier'_generate_training_example_index_file' exceeds the maximum length of 30 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long method,generate_tfrecords,54 - 137,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,Method 'generate_tfrecords' is too long (66 lines).
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long method,_generate_training_example_index_file,159 - 218,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,Method '_generate_training_example_index_file' is too long (48 lines).
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataFeeder,Long method,next_batch,262 - 312,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,Method 'next_batch' is too long (42 lines).
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long statement,generate_tfrecords,95,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 151 chars in generate_tfrecords exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long statement,generate_tfrecords,112,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 143 chars in generate_tfrecords exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long statement,generate_tfrecords,129,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 147 chars in generate_tfrecords exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long statement,_is_source_data_complete,144,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 125 chars in _is_source_data_complete exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long statement,_is_training_sample_index_file_complete,154,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 157 chars in _is_training_sample_index_file_complete exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataProducer,Long statement,_generate_training_example_index_file,160,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 206 chars in _generate_training_example_index_file exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataFeeder,Long statement,next_batch,263,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 413 chars in next_batch exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataFeeder,Long statement,next_batch,289,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 124 chars in next_batch exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,lanenet_data_feed_pipline,LaneNetDataFeeder,Long statement,next_batch,294,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/lanenet_data_feed_pipline.py,A line with 123 chars in next_batch exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long identifier,random_horizon_flip_batch_images,275,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,Identifier'random_horizon_flip_batch_images' exceeds the maximum length of 30 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long method,write_example_tfrecords,47 - 106,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,Method 'write_example_tfrecords' is too long (50 lines).
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,write_example_tfrecords,48,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 174 chars in write_example_tfrecords exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,write_example_tfrecords,77,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 129 chars in write_example_tfrecords exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,write_example_tfrecords,88,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 133 chars in write_example_tfrecords exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,write_example_tfrecords,95,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 235 chars in write_example_tfrecords exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,decode,110,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 121 chars in decode exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,decode,115,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 234 chars in decode exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,central_crop,143,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 137 chars in central_crop exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,augment_for_train,180,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 127 chars in augment_for_train exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,augment_for_train,185,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 172 chars in augment_for_train exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,normalize,216,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 174 chars in normalize exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,random_crop_batch_images,240,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 177 chars in random_crop_batch_images exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,random_crop_batch_images,250,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 165 chars in random_crop_batch_images exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,random_horizon_flip_batch_images,276,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 159 chars in random_horizon_flip_batch_images exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Long statement,random_color_augmentation,312,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,A line with 134 chars in random_color_augmentation exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Magic number,write_example_tfrecords,66,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,Magic number 3 used in write_example_tfrecords.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Magic number,central_crop,154,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,Magic number 2 used in central_crop.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Magic number,central_crop,156,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,Magic number 2 used in central_crop.
MaybeShewill-CV_lanenet-lane-detection.data_provider,tf_io_pipline_tools,,Magic number,normalize,224,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/data_provider/tf_io_pipline_tools.py,Magic number 3 used in normalize.
MaybeShewill-CV_lanenet-lane-detection.lanenet_model,lanenet,LaneNet,Long statement,inference,47,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/lanenet_model/lanenet.py,A line with 134 chars in inference exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.lanenet_model,lanenet,LaneNet,Long statement,inference,54,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/lanenet_model/lanenet.py,A line with 281 chars in inference exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.lanenet_model,lanenet,LaneNet,Long statement,compute_loss,64,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/lanenet_model/lanenet.py,A line with 212 chars in compute_loss exceeds the maximum length of 120 characters.
MaybeShewill-CV_lanenet-lane-detection.lanenet_model,lanenet,LaneNet,Long statement,compute_loss,75,/Volumes/BrokeExt/NICHE/MaybeShewill-CV_lanenet-lane-detection/lanenet_model/lanenet.py,A line with 134 chars in compute_loss exceeds the maximum length of 120 characters.
