Package,Module,Class,Function,LOC,CC,PC
Mini-Conf_Mini-Conf,main,,main,18,7,1
Mini-Conf_Mini-Conf,main,,_data,4,1,0
Mini-Conf_Mini-Conf,main,,index,2,1,0
Mini-Conf_Mini-Conf,main,,favicon,2,1,0
Mini-Conf_Mini-Conf,main,,home,5,1,0
Mini-Conf_Mini-Conf,main,,about,4,1,0
Mini-Conf_Mini-Conf,main,,papers,4,1,0
Mini-Conf_Mini-Conf,main,,paper_vis,3,1,0
Mini-Conf_Mini-Conf,main,,schedule,9,1,0
Mini-Conf_Mini-Conf,main,,workshops,6,1,0
Mini-Conf_Mini-Conf,main,,extract_list_field,6,1,2
Mini-Conf_Mini-Conf,main,,format_paper,20,2,1
Mini-Conf_Mini-Conf,main,,format_workshop,11,2,1
Mini-Conf_Mini-Conf,main,,poster,6,1,1
Mini-Conf_Mini-Conf,main,,speaker,6,1,1
Mini-Conf_Mini-Conf,main,,workshop,6,1,1
Mini-Conf_Mini-Conf,main,,chat,3,1,0
Mini-Conf_Mini-Conf,main,,paper_json,5,2,0
Mini-Conf_Mini-Conf,main,,send_static,2,1,1
Mini-Conf_Mini-Conf,main,,serve,2,1,1
Mini-Conf_Mini-Conf,main,,generator,9,5,0
Mini-Conf_Mini-Conf,main,,parse_arguments,18,1,0
Mini-Conf_Mini-Conf.chat,make_poster_rooms,,parse_arguments,6,1,0
Mini-Conf_Mini-Conf.chat,make_poster_rooms,,read_papers,11,4,1
Mini-Conf_Mini-Conf.gather,posterList,,credentials,17,6,0
Mini-Conf_Mini-Conf.gather,posterList,,callback,3,2,3
Mini-Conf_Mini-Conf.gather,posterList,,csvToGsheetRequest,47,1,4
Mini-Conf_Mini-Conf.scripts,embeddings,,parse_arguments,4,1,0
Mini-Conf_Mini-Conf.scripts,parse_calendar,,parse_arguments,12,1,0
Mini-Conf_Mini-Conf.scripts,parse_calendar,,convert,43,4,1
Mini-Conf_Mini-Conf.scripts,reduce,,parse_arguments,5,1,0
