Package,Module,Class,Function,LOC,CC,PC
MycroftAI_mycroft-precise.precise,annoyance_estimator,AnnoyanceEstimator,__init__,4,1,3
MycroftAI_mycroft-precise.precise,annoyance_estimator,AnnoyanceEstimator,compute_nww_annoyances,15,2,3
MycroftAI_mycroft-precise.precise,annoyance_estimator,AnnoyanceEstimator,compute_ww_annoyances,12,1,1
MycroftAI_mycroft-precise.precise,annoyance_estimator,AnnoyanceEstimator,estimate,17,1,5
MycroftAI_mycroft-precise.precise,annoyance_estimator,AnnoyanceEstimator,_load_inputs,11,1,2
MycroftAI_mycroft-precise.precise,functions,,set_loss_bias,5,1,1
MycroftAI_mycroft-precise.precise,functions,,weighted_log_loss,7,1,2
MycroftAI_mycroft-precise.precise,functions,,weighted_mse_loss,6,1,2
MycroftAI_mycroft-precise.precise,functions,,false_pos,5,1,2
MycroftAI_mycroft-precise.precise,functions,,false_neg,5,1,2
MycroftAI_mycroft-precise.precise,functions,,load_keras,7,1,0
MycroftAI_mycroft-precise.precise,functions,,sigmoid,2,1,1
MycroftAI_mycroft-precise.precise,functions,,asigmoid,2,1,1
MycroftAI_mycroft-precise.precise,functions,,pdf,4,1,3
MycroftAI_mycroft-precise.precise,model,,load_precise_model,5,2,1
MycroftAI_mycroft-precise.precise,model,,create_model,26,4,2
MycroftAI_mycroft-precise.precise,network_runner,Runner,predict,2,1,1
MycroftAI_mycroft-precise.precise,network_runner,Runner,run,2,1,1
MycroftAI_mycroft-precise.precise,network_runner,TensorFlowRunner,__init__,8,2,1
MycroftAI_mycroft-precise.precise,network_runner,TensorFlowRunner,load_graph,8,1,1
MycroftAI_mycroft-precise.precise,network_runner,TensorFlowRunner,predict,2,1,1
MycroftAI_mycroft-precise.precise,network_runner,TensorFlowRunner,run,2,1,1
MycroftAI_mycroft-precise.precise,network_runner,KerasRunner,__init__,7,1,1
MycroftAI_mycroft-precise.precise,network_runner,KerasRunner,predict,5,1,1
MycroftAI_mycroft-precise.precise,network_runner,KerasRunner,run,2,1,1
MycroftAI_mycroft-precise.precise,network_runner,Listener,__init__,8,2,3
MycroftAI_mycroft-precise.precise,network_runner,Listener,find_runner,9,2,1
MycroftAI_mycroft-precise.precise,network_runner,Listener,clear,3,1,0
MycroftAI_mycroft-precise.precise,network_runner,Listener,update_vectors,19,6,1
MycroftAI_mycroft-precise.precise,network_runner,Listener,update,6,2,1
MycroftAI_mycroft-precise.precise,params,ListenerParams,buffer_samples,3,1,0
MycroftAI_mycroft-precise.precise,params,ListenerParams,n_features,2,1,0
MycroftAI_mycroft-precise.precise,params,ListenerParams,window_samples,2,1,0
MycroftAI_mycroft-precise.precise,params,ListenerParams,hop_samples,2,1,0
MycroftAI_mycroft-precise.precise,params,ListenerParams,max_samples,2,1,0
MycroftAI_mycroft-precise.precise,params,ListenerParams,feature_size,9,2,0
MycroftAI_mycroft-precise.precise,params,ListenerParams,vectorization_md5_hash,7,1,0
MycroftAI_mycroft-precise.precise,params,,inject_params,9,3,1
MycroftAI_mycroft-precise.precise,params,,save_params,3,1,1
MycroftAI_mycroft-precise.precise,stats,Stats,__init__,15,1,3
MycroftAI_mycroft-precise.precise,stats,Stats,__len__,2,1,0
MycroftAI_mycroft-precise.precise,stats,Stats,to_np_dict,7,1,0
MycroftAI_mycroft-precise.precise,stats,Stats,from_np_dict,2,1,1
MycroftAI_mycroft-precise.precise,stats,Stats,to_dict,7,1,1
MycroftAI_mycroft-precise.precise,stats,Stats,counts_str,2,1,1
MycroftAI_mycroft-precise.precise,stats,Stats,summary_str,7,1,1
MycroftAI_mycroft-precise.precise,stats,Stats,calc_filenames,6,2,3
MycroftAI_mycroft-precise.precise,stats,Stats,calc_metric,5,1,3
MycroftAI_mycroft-precise.precise,stats,Stats,matches_sample,4,2,5
MycroftAI_mycroft-precise.precise,threshold_decoder,ThresholdDecoder,__init__,6,1,5
MycroftAI_mycroft-precise.precise,threshold_decoder,ThresholdDecoder,decode,13,3,1
