Package,Module,Class,Smell,Function/Method,Line no,File,Details
NLeSC_mcfly,setup,,Long statement,,10,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/setup.py,A line with 729 chars in setup exceeds the maximum length of 120 characters.
NLeSC_mcfly.docs,conf,,Long statement,,34,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/docs/conf.py,A line with 134 chars in conf exceeds the maximum length of 120 characters.
NLeSC_mcfly.docs,conf,,Long statement,,279,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/docs/conf.py,A line with 136 chars in conf exceeds the maximum length of 120 characters.
NLeSC_mcfly.mcfly,find_architecture,,Complex method,train_models_on_samples,48 - 196,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,"Method 'train_models_on_samples' has a cyclomatic complexity of 14, exceeding the max of 6."
NLeSC_mcfly.mcfly,find_architecture,,Empty catch block,_get_metric_name,496,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,Empty catch block found in _get_metric_name.
NLeSC_mcfly.mcfly,find_architecture,,Long method,train_models_on_samples,48 - 196,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,Method 'train_models_on_samples' is too long (63 lines).
NLeSC_mcfly.mcfly,find_architecture,,Long method,find_best_architecture,340 - 470,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,Method 'find_best_architecture' is too long (43 lines).
NLeSC_mcfly.mcfly,find_architecture,,Long parameter list,train_models_on_samples,48 - 196,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,"train_models_on_samples has 14 parameters, exceeding the max of 5."
NLeSC_mcfly.mcfly,find_architecture,,Long parameter list,find_best_architecture,340 - 470,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,"find_best_architecture has 12 parameters, exceeding the max of 5."
NLeSC_mcfly.mcfly,find_architecture,,Long parameter list,kNN_performance,501 - 549,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,"kNN_performance has 6 parameters, exceeding the max of 5."
NLeSC_mcfly.mcfly,find_architecture,,Long statement,train_models_on_samples,52,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,A line with 3482 chars in train_models_on_samples exceeds the maximum length of 120 characters.
NLeSC_mcfly.mcfly,find_architecture,,Long statement,train_models_on_samples,177,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,A line with 142 chars in train_models_on_samples exceeds the maximum length of 120 characters.
NLeSC_mcfly.mcfly,find_architecture,,Long statement,_get_from_history,200,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,A line with 153 chars in _get_from_history exceeds the maximum length of 120 characters.
NLeSC_mcfly.mcfly,find_architecture,,Long statement,store_train_hist_as_json,223,/Volumes/BrokeExt/NICHE/NLeSC_mcfly/mcfly/find_architecture.py,A line with 587 chars in store_train_hist_as_json exceeds the maximum length of 120 characters.
