Package,Module,Class,Smell,Function/Method,Line no,File,Details
NVISO-BE_ee-outliers.app,outliers,,Complex conditional,run_daemon_mode,134,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,"A conditional in run_daemon_mode has 4 conditions, more than the recommended maximum 3 conditions."
NVISO-BE_ee-outliers.app,outliers,,Complex method,run_daemon_mode,103 - 198,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,"Method 'run_daemon_mode' has a cyclomatic complexity of 15, exceeding the max of 6."
NVISO-BE_ee-outliers.app,outliers,,Complex method,perform_analysis,250 - 295,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,"Method 'perform_analysis' has a cyclomatic complexity of 9, exceeding the max of 6."
NVISO-BE_ee-outliers.app,outliers,,Complex method,print_analysis_summary,298 - 373,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,"Method 'print_analysis_summary' has a cyclomatic complexity of 9, exceeding the max of 6."
NVISO-BE_ee-outliers.app,outliers,,Long identifier,print_analysis_summary,298,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,Identifier'configuration_parsing_error_models' exceeds the maximum length of 30 characters.
NVISO-BE_ee-outliers.app,outliers,,Long identifier,,347,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,Identifier'completed_models_with_events_taking_most_time' exceeds the maximum length of 30 characters.
NVISO-BE_ee-outliers.app,outliers,,Long method,run_daemon_mode,103 - 198,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,Method 'run_daemon_mode' is too long (82 lines).
NVISO-BE_ee-outliers.app,outliers,,Long method,print_analysis_summary,298 - 373,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,Method 'print_analysis_summary' is too long (65 lines).
NVISO-BE_ee-outliers.app,outliers,,Long statement,run_outliers,48,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,A line with 127 chars in run_outliers exceeds the maximum length of 120 characters.
NVISO-BE_ee-outliers.app,outliers,,Long statement,setup_logging,60,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,A line with 226 chars in setup_logging exceeds the maximum length of 120 characters.
NVISO-BE_ee-outliers.app,outliers,,Long statement,setup_logging,79,/Volumes/BrokeExt/NICHE/NVISO-BE_ee-outliers/app/outliers.py,A line with 125 chars in setup_logging exceeds the maximum length of 120 characters.
