Package,Module,Class,Function,LOC,CC,PC
OpenNMT_OpenNMT-tf,setup,,get_long_description,4,1,0
OpenNMT_OpenNMT-tf,setup,,get_project_version,5,1,0
OpenNMT_OpenNMT-tf.config.models,multi_features_transformer,MultiFeaturesTransformer,__init__,19,1,0
OpenNMT_OpenNMT-tf.config.models,multi_source_transformer,DualSourceTransformer,__init__,18,1,0
OpenNMT_OpenNMT-tf.config.models,template,,model,3,1,0
OpenNMT_OpenNMT-tf.docs,conf,,setup,2,1,1
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,document_class,15,4,4
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,document_function,7,1,2
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,module_is_public,6,2,1
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,get_module_map,13,4,2
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,get_first_public_parent,7,4,1
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,annotate_classes,13,4,1
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,document_module,72,17,4
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,train,59,5,8
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,translate,40,4,3
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,main,36,4,0
OpenNMT_OpenNMT-tf.examples.library,minimal_transformer_training,,main,34,3,0
OpenNMT_OpenNMT-tf.examples.serving.python,ende_client,EnDeTranslator,__init__,5,1,1
OpenNMT_OpenNMT-tf.examples.serving.python,ende_client,EnDeTranslator,translate,4,1,1
OpenNMT_OpenNMT-tf.examples.serving.python,ende_client,EnDeTranslator,_preprocess,18,4,1
OpenNMT_OpenNMT-tf.examples.serving.python,ende_client,EnDeTranslator,_postprocess,6,2,1
OpenNMT_OpenNMT-tf.examples.serving.python,ende_client,,main,10,2,0
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,pad_batch,7,3,1
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,extract_prediction,11,3,1
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,send_request,15,1,4
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,translate,9,1,5
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,main,20,2,0
OpenNMT_OpenNMT-tf.opennmt,config,,load_model_module,12,3,1
OpenNMT_OpenNMT-tf.opennmt,config,,load_model_from_file,9,2,2
OpenNMT_OpenNMT-tf.opennmt,config,,load_model_from_catalog,3,1,2
OpenNMT_OpenNMT-tf.opennmt,config,,load_model,30,8,5
OpenNMT_OpenNMT-tf.opennmt,config,,load_config,10,3,2
OpenNMT_OpenNMT-tf.opennmt,config,,merge_config,3,1,2
OpenNMT_OpenNMT-tf.opennmt,config,,_map_config_values,7,1,2
OpenNMT_OpenNMT-tf.opennmt,config,,try_prefix_paths,9,1,2
OpenNMT_OpenNMT-tf.opennmt,config,,convert_to_v2_config,28,7,1
OpenNMT_OpenNMT-tf.opennmt,config,,_convert_to_v2_params,25,5,1
OpenNMT_OpenNMT-tf.opennmt,config,,_convert_to_v2_optimizer,18,5,1
OpenNMT_OpenNMT-tf.opennmt,config,,_convert_to_v2_lr_schedules,21,5,1
OpenNMT_OpenNMT-tf.opennmt,config,,_convert_to_v2_step_accumulation,20,7,2
OpenNMT_OpenNMT-tf.opennmt,config,,_delete_opt,2,1,2
OpenNMT_OpenNMT-tf.opennmt,config,,_rename_opt,5,2,3
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,__init__,70,16,13
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,from_config,44,9,5
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,predictions_dir,2,1,0
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,export_dir,2,1,0
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,metrics_name,2,1,0
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,metrics_history,2,1,0
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,last_evaluated_step,4,1,0
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,_is_higher_better_for_metric,5,2,1
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,_get_metric_history,4,1,1
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,should_stop,20,2,0
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,is_best,12,1,1
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,__call__,57,15,1
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,_record_results,13,4,2
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,_maybe_export,11,3,2
OpenNMT_OpenNMT-tf.opennmt,evaluation,Evaluator,_maybe_garbage_collect_exports,9,5,0
OpenNMT_OpenNMT-tf.opennmt,evaluation,,early_stop,15,1,4
OpenNMT_OpenNMT-tf.opennmt,inference,,predict_dataset,60,13,5
OpenNMT_OpenNMT-tf.opennmt,inference,,score_dataset,21,5,4
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,__init__,28,5,6
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,model,2,1,0
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,model_dir,2,1,0
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,_finalize_config,48,8,3
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,_init_model,5,1,1
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,train,124,18,7
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,evaluate,13,1,3
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,average_checkpoints,20,1,3
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,update_vocab,36,5,3
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,infer,21,1,4
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,export,11,2,3
OpenNMT_OpenNMT-tf.opennmt,runner,Runner,score,18,1,4
OpenNMT_OpenNMT-tf.opennmt,runner,,_forward_model_description,7,3,2
OpenNMT_OpenNMT-tf.opennmt,runner,,_count_batch_accum,3,1,3
OpenNMT_OpenNMT-tf.opennmt,runner,,_auto_tune_batch_size,89,8,9
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,__init__,20,5,3
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,is_master,2,1,0
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,num_replicas,2,1,0
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,__call__,74,20,8
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_save_checkpoint,14,3,2
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_evaluate,15,2,3
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_finalize_dataset,5,2,1
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_steps,28,5,2
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_log_model_info,14,3,0
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_accumulate_loss,19,4,2
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_accumulate_gradients,11,1,1
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_apply_gradients,12,2,1
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_update_moving_average,2,1,1
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_broadcast_variables,2,1,0
OpenNMT_OpenNMT-tf.opennmt,training,Trainer,_all_reduce_sum,4,1,1
OpenNMT_OpenNMT-tf.opennmt,training,HorovodTrainer,__init__,4,1,4
OpenNMT_OpenNMT-tf.opennmt,training,HorovodTrainer,is_master,2,1,0
OpenNMT_OpenNMT-tf.opennmt,training,HorovodTrainer,num_replicas,2,1,0
OpenNMT_OpenNMT-tf.opennmt,training,HorovodTrainer,_evaluate,6,1,3
OpenNMT_OpenNMT-tf.opennmt,training,HorovodTrainer,_finalize_dataset,10,2,1
OpenNMT_OpenNMT-tf.opennmt,training,HorovodTrainer,_broadcast_variables,3,1,0
OpenNMT_OpenNMT-tf.opennmt,training,HorovodTrainer,_all_reduce_sum,2,1,1
OpenNMT_OpenNMT-tf.opennmt,training,MirroredStrategyTrainer,__init__,7,1,4
OpenNMT_OpenNMT-tf.opennmt,training,MirroredStrategyTrainer,num_replicas,2,1,0
OpenNMT_OpenNMT-tf.opennmt,training,MirroredStrategyTrainer,_finalize_dataset,3,1,1
