Package,Module,Class,Smell,Function/Method,Line no,File,Details
OpenNMT_OpenNMT-tf,setup,,Long statement,,40,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/setup.py,A line with 1860 chars in setup exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.config.models,multi_features_transformer,MultiFeaturesTransformer,Long statement,__init__,25,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/config/models/multi_features_transformer.py,A line with 447 chars in __init__ exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.config.models,multi_features_transformer,,Long statement,,1,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/config/models/multi_features_transformer.py,A line with 627 chars in multi_features_transformer exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.config.models,multi_source_transformer,DualSourceTransformer,Long statement,__init__,23,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/config/models/multi_source_transformer.py,A line with 378 chars in __init__ exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.config.models,multi_source_transformer,,Long statement,,1,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/config/models/multi_source_transformer.py,A line with 466 chars in multi_source_transformer exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.docs,conf,,Long identifier,,41,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/docs/conf.py,Identifier'napoleon_include_special_with_doc' exceeds the maximum length of 30 characters.
OpenNMT_OpenNMT-tf.docs,conf,,Long statement,,17,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/docs/conf.py,A line with 163 chars in conf exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,Complex method,document_module,83 - 155,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/docs/generate-apidoc.py,"Method 'document_module' has a cyclomatic complexity of 17, exceeding the max of 6."
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,Long method,document_module,83 - 155,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/docs/generate-apidoc.py,Method 'document_module' is too long (72 lines).
OpenNMT_OpenNMT-tf.docs,generate-apidoc,,Long statement,module_is_public,36,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/docs/generate-apidoc.py,A line with 122 chars in module_is_public exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long method,train,61 - 145,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,Method 'train' is too long (59 lines).
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long parameter list,train,61 - 145,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,"train has 8 parameters, exceeding the max of 5."
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long statement,train,71,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,A line with 505 chars in train exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long statement,train,85,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,A line with 261 chars in train exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long statement,train,114,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,A line with 167 chars in train exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long statement,translate,149,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,A line with 185 chars in translate exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long statement,translate,180,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,A line with 233 chars in translate exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long statement,,1,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,A line with 580 chars in custom_transformer_training exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Long statement,,29,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,A line with 486 chars in custom_transformer_training exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Magic number,train,65,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,Magic number 100 used in train.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Magic number,train,67,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,Magic number 100000 used in train.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Magic number,train,68,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,Magic number 1000 used in train.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Magic number,train,69,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,Magic number 100 used in train.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Magic number,translate,148,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,Magic number 32 used in translate.
OpenNMT_OpenNMT-tf.examples.library,custom_transformer_training,,Magic number,translate,148,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/custom_transformer_training.py,Magic number 4 used in translate.
OpenNMT_OpenNMT-tf.examples.library,minimal_transformer_training,,Long statement,,1,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/library/minimal_transformer_training.py,A line with 129 chars in minimal_transformer_training exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,Long statement,extract_prediction,23,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/serving/tensorflow_serving/ende_client.py,A line with 147 chars in extract_prediction exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,Long statement,send_request,43,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/serving/tensorflow_serving/ende_client.py,A line with 247 chars in send_request exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,Long statement,translate,70,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/serving/tensorflow_serving/ende_client.py,A line with 336 chars in translate exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,Magic number,send_request,42,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/serving/tensorflow_serving/ende_client.py,Magic number 5.0 used in send_request.
OpenNMT_OpenNMT-tf.examples.serving.tensorflow_serving,ende_client,,Magic number,translate,69,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/examples/serving/tensorflow_serving/ende_client.py,Magic number 5.0 used in translate.
OpenNMT_OpenNMT-tf.opennmt,config,,Complex method,load_model,83 - 134,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,"Method 'load_model' has a cyclomatic complexity of 8, exceeding the max of 6."
OpenNMT_OpenNMT-tf.opennmt,config,,Complex method,convert_to_v2_config,199 - 240,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,"Method 'convert_to_v2_config' has a cyclomatic complexity of 7, exceeding the max of 6."
OpenNMT_OpenNMT-tf.opennmt,config,,Complex method,_convert_to_v2_step_accumulation,325 - 345,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,"Method '_convert_to_v2_step_accumulation' has a cyclomatic complexity of 7, exceeding the max of 6."
OpenNMT_OpenNMT-tf.opennmt,config,,Long identifier,_convert_to_v2_step_accumulation,325,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,Identifier'_convert_to_v2_step_accumulation' exceeds the maximum length of 30 characters.
OpenNMT_OpenNMT-tf.opennmt,config,,Long statement,load_model_module,20,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,A line with 287 chars in load_model_module exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.opennmt,config,,Long statement,load_model_from_file,47,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,A line with 307 chars in load_model_from_file exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.opennmt,config,,Long statement,load_model_from_catalog,67,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,A line with 365 chars in load_model_from_catalog exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.opennmt,config,,Long statement,load_model,86,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,A line with 733 chars in load_model exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.opennmt,config,,Long statement,load_model,119,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,A line with 128 chars in load_model exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.opennmt,config,,Long statement,load_model,129,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,A line with 126 chars in load_model exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.opennmt,config,,Long statement,load_config,138,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,A line with 331 chars in load_config exceeds the maximum length of 120 characters.
OpenNMT_OpenNMT-tf.opennmt,config,,Long statement,try_prefix_paths,177,/Volumes/BrokeExt/NICHE/OpenNMT_OpenNMT-tf/opennmt/config.py,A line with 262 chars in try_prefix_paths exceeds the maximum length of 120 characters.
