Package,Module,Class,Smell,Function/Method,Line no,File,Details
PetrochukM_PyTorch-NLP,setup,,Long statement,,28,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/setup.py,A line with 1104 chars in setup exceeds the maximum length of 120 characters.
PetrochukM_PyTorch-NLP.docs,conf,,Long statement,,40,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/docs/conf.py,A line with 197 chars in conf exceeds the maximum length of 120 characters.
PetrochukM_PyTorch-NLP.docs,conf,,Long statement,,165,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/docs/conf.py,A line with 154 chars in conf exceeds the maximum length of 120 characters.
PetrochukM_PyTorch-NLP.examples.awd-lstm-lm,main,,Complex method,train,193 - 243,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/examples/awd-lstm-lm/main.py,"Method 'train' has a cyclomatic complexity of 8, exceeding the max of 6."
PetrochukM_PyTorch-NLP.examples.awd-lstm-lm,main,,Long method,train,193 - 243,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/examples/awd-lstm-lm/main.py,Method 'train' is too long (50 lines).
PetrochukM_PyTorch-NLP.examples.awd-lstm-lm,main,,Long statement,train,234,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/examples/awd-lstm-lm/main.py,A line with 312 chars in train exceeds the maximum length of 120 characters.
PetrochukM_PyTorch-NLP.examples.awd-lstm-lm,main,,Long statement,,32,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/examples/awd-lstm-lm/main.py,A line with 128 chars in main exceeds the maximum length of 120 characters.
PetrochukM_PyTorch-NLP.examples.awd-lstm-lm,main,,Long statement,,37,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/examples/awd-lstm-lm/main.py,A line with 132 chars in main exceeds the maximum length of 120 characters.
PetrochukM_PyTorch-NLP.examples.awd-lstm-lm,main,,Long statement,,49,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/examples/awd-lstm-lm/main.py,A line with 139 chars in main exceeds the maximum length of 120 characters.
PetrochukM_PyTorch-NLP.examples.awd-lstm-lm,main,,Long statement,,54,/Volumes/BrokeExt/NICHE/PetrochukM_PyTorch-NLP/examples/awd-lstm-lm/main.py,A line with 158 chars in main exceeds the maximum length of 120 characters.
