Package,Module,Class,Smell,Function/Method,Line no,File,Details
PhoenixDL_rising,setup,,Long statement,,41,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/setup.py,A line with 781 chars in setup exceeds the maximum length of 120 characters.
PhoenixDL_rising,versioneer,,Complex method,get_root,296 - 333,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'get_root' has a cyclomatic complexity of 7, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,git_get_keywords,949 - 974,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'git_get_keywords' has a cyclomatic complexity of 9, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,git_versions_from_keywords,978 - 1035,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'git_versions_from_keywords' has a cyclomatic complexity of 11, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,git_pieces_from_vcs,1040 - 1122,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'git_pieces_from_vcs' has a cyclomatic complexity of 9, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,do_vcs_install,1125 - 1160,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'do_vcs_install' has a cyclomatic complexity of 11, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,render,1370 - 1404,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'render' has a cyclomatic complexity of 9, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,get_versions,1412 - 1487,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'get_versions' has a cyclomatic complexity of 12, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,get_cmdclass,1496 - 1673,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'get_cmdclass' has a cyclomatic complexity of 8, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,do_setup,1720 - 1799,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'do_setup' has a cyclomatic complexity of 11, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Complex method,scan_setup_py,1802 - 1836,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,"Method 'scan_setup_py' has a cyclomatic complexity of 9, exceeding the max of 6."
PhoenixDL_rising,versioneer,,Empty catch block,get_root,331,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Empty catch block found in get_root.
PhoenixDL_rising,versioneer,,Empty catch block,git_get_keywords,972,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Empty catch block found in git_get_keywords.
PhoenixDL_rising,versioneer,,Empty catch block,do_vcs_install,1153,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Empty catch block found in do_vcs_install.
PhoenixDL_rising,versioneer,,Empty catch block,get_versions,1456,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Empty catch block found in get_versions.
PhoenixDL_rising,versioneer,,Empty catch block,get_versions,1476,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Empty catch block found in get_versions.
PhoenixDL_rising,versioneer,,Empty catch block,get_versions,1448,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Empty catch block found in get_versions.
PhoenixDL_rising,versioneer,,Empty catch block,get_versions,1467,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Empty catch block found in get_versions.
PhoenixDL_rising,versioneer,,Empty catch block,do_setup,1776,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Empty catch block found in do_setup.
PhoenixDL_rising,versioneer,,Long method,git_versions_from_keywords,978 - 1035,/Volumes/BrokeExt/NICHE/PhoenixDL_rising/versioneer.py,Method 'git_versions_from_keywords' is too long (55 lines).
