Package,Module,Class,Smell,Function/Method,Line no,File,Details
RussTedrake_underactuated.book.figures,autapse_dash,,Long statement,update_figure,51,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/autapse_dash.py,A line with 248 chars in update_figure exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,autapse_dash,,Long statement,,10,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/autapse_dash.py,A line with 424 chars in autapse_dash exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,cart_pole_swingup_lyapunov,,Long statement,,16,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/cart_pole_swingup_lyapunov.py,A line with 311 chars in cart_pole_swingup_lyapunov exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,cart_pole_swingup_lyapunov,,Long statement,,42,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/cart_pole_swingup_lyapunov.py,A line with 281 chars in cart_pole_swingup_lyapunov exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,cart_pole_swingup_lyapunov,,Long statement,,57,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/cart_pole_swingup_lyapunov.py,A line with 319 chars in cart_pole_swingup_lyapunov exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,cart_pole_swingup_lyapunov,,Long statement,,83,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/cart_pole_swingup_lyapunov.py,A line with 287 chars in cart_pole_swingup_lyapunov exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,double_integrator_mintime_cost_to_go,,Long statement,,17,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/double_integrator_mintime_cost_to_go.py,A line with 291 chars in double_integrator_mintime_cost_to_go exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,double_integrator_mintime_cost_to_go,,Long statement,,41,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/double_integrator_mintime_cost_to_go.py,A line with 249 chars in double_integrator_mintime_cost_to_go exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,logistic_map,,Long statement,,68,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/logistic_map.py,A line with 130 chars in logistic_map exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,vanderpol_staircase,VanDerPolOscillator,Long statement,__init__,19,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/vanderpol_staircase.py,A line with 173 chars in __init__ exceeds the maximum length of 120 characters.
RussTedrake_underactuated.book.figures,vanderpol_staircase,,Magic number,staircase,75,/Volumes/BrokeExt/NICHE/RussTedrake_underactuated/book/figures/vanderpol_staircase.py,Magic number 3 used in staircase.
