Package,Module,Class,Smell,Function/Method,Line no,File,Details
Sujit-O_pykg2vec,setup,,Long statement,,20,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/setup.py,A line with 1052 chars in setup exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.docs.source,conf,,Long statement,,48,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/docs/source/conf.py,A line with 213 chars in conf exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.docs.source,conf,,Long statement,,248,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/docs/source/conf.py,A line with 180 chars in conf exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.docs.source,conf,,Long statement,,278,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/docs/source/conf.py,A line with 165 chars in conf exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.docs.source,conf,,Long statement,,292,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/docs/source/conf.py,A line with 232 chars in conf exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.examples,experiment,,Long statement,,1,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/examples/experiment.py,A line with 364 chars in experiment exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.examples,inference,,Long statement,,1,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/examples/inference.py,A line with 989 chars in inference exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.examples,kgpipeline,,Long statement,,1,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/examples/kgpipeline.py,A line with 556 chars in kgpipeline exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.examples,train,,Long statement,,1,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/examples/train.py,A line with 1941 chars in train exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.examples,tune_model,,Long statement,,1,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/examples/tune_model.py,A line with 1674 chars in tune_model exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,HyperparameterLoader,Complex method,__init__,120 - 136,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,"Method '__init__' has a cyclomatic complexity of 7, exceeding the max of 6."
Sujit-O_pykg2vec.pykg2vec,common,HyperparameterLoader,Complex method,_load_hp_yaml,154 - 172,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,"Method '_load_hp_yaml' has a cyclomatic complexity of 7, exceeding the max of 6."
Sujit-O_pykg2vec.pykg2vec,common,HyperparameterLoader,Complex method,_config_tuning_space,193 - 241,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,"Method '_config_tuning_space' has a cyclomatic complexity of 22, exceeding the max of 6."
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long method,__init__,42 - 102,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,Method '__init__' is too long (58 lines).
Sujit-O_pykg2vec.pykg2vec,common,HyperparameterLoader,Long method,_config_tuning_space,193 - 241,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,Method '_config_tuning_space' is too long (47 lines).
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,47,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 123 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,50,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 131 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,51,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 131 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,52,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 149 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,56,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 134 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,57,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 135 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,58,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 133 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,59,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 160 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,60,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 145 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,61,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 190 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,62,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 147 chars in __init__ exceeds the maximum length of 120 characters.
Sujit-O_pykg2vec.pykg2vec,common,KGEArgParser,Long statement,__init__,63,/Volumes/BrokeExt/NICHE/Sujit-O_pykg2vec/pykg2vec/common.py,A line with 161 chars in __init__ exceeds the maximum length of 120 characters.
