Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
UKPLab_sentence-transformers.docs,conf,,48,9,3,3,25,25,1,0,0
UKPLab_sentence-transformers.examples.applications.clustering,agglomerative,,0,0,0,0,7,7,-1,0,1
UKPLab_sentence-transformers.examples.applications.clustering,fast_clustering,,0,0,0,0,9,9,-1,0,1
UKPLab_sentence-transformers.examples.applications.clustering,kmeans,,0,0,0,0,7,7,-1,0,1
UKPLab_sentence-transformers.examples.applications.computing-embeddings,computing_embeddings,,0,0,0,0,3,3,-1,0,1
UKPLab_sentence-transformers.examples.applications.computing-embeddings,computing_embeddings_multi_gpu,,0,0,0,0,4,4,-1,0,1
UKPLab_sentence-transformers.examples.applications.computing-embeddings,computing_embeddings_streaming,,0,0,0,0,9,9,-1,0,1
UKPLab_sentence-transformers.examples.applications.cross-encoder,cross-encoder_reranking,,0,0,0,0,19,19,-1,0,2
UKPLab_sentence-transformers.examples.applications.cross-encoder,cross-encoder_usage,,0,0,0,0,7,7,-1,0,1
UKPLab_sentence-transformers.examples.applications.embedding-quantization,semantic_search_faiss,,0,0,0,0,12,12,-1,0,1
UKPLab_sentence-transformers.examples.applications.embedding-quantization,semantic_search_faiss_benchmark,,0,0,0,0,11,11,-1,0,1
UKPLab_sentence-transformers.examples.applications.embedding-quantization,semantic_search_recommended,,35,1,1,1,12,12,0,0,1
UKPLab_sentence-transformers.examples.applications.embedding-quantization,semantic_search_usearch,,0,0,0,0,12,12,-1,0,1
UKPLab_sentence-transformers.examples.applications.embedding-quantization,semantic_search_usearch_benchmark,,0,0,0,0,11,11,-1,0,1
UKPLab_sentence-transformers.examples.applications.image-search,example,,0,0,0,0,9,9,-1,0,0
UKPLab_sentence-transformers.examples.applications.parallel-sentence-mining,bitext_mining,,0,0,0,0,43,43,-1,0,1
UKPLab_sentence-transformers.examples.applications.parallel-sentence-mining,bitext_mining_utils,,34,7,4,4,9,9,0.5,0,0
UKPLab_sentence-transformers.examples.applications.parallel-sentence-mining,bucc2018,,0,0,0,0,68,68,-1,0,1
UKPLab_sentence-transformers.examples.applications.retrieve_rerank,in_document_search_crossencoder,,0,0,0,0,11,11,-1,0,1
UKPLab_sentence-transformers.examples.applications.semantic-search,semantic_search,,0,0,0,0,8,8,-1,0,1
UKPLab_sentence-transformers.examples.applications.semantic-search,semantic_search_publications,,13,2,1,1,6,6,0,0,1
UKPLab_sentence-transformers.examples.applications.semantic-search,semantic_search_quora_annoy,,0,0,0,0,25,25,-1,0,1
UKPLab_sentence-transformers.examples.applications.semantic-search,semantic_search_quora_elasticsearch,,0,0,0,0,22,22,-1,0,1
UKPLab_sentence-transformers.examples.applications.semantic-search,semantic_search_quora_faiss,,0,0,0,0,26,26,-1,0,1
UKPLab_sentence-transformers.examples.applications.semantic-search,semantic_search_quora_hnswlib,,0,0,0,0,24,24,-1,0,1
UKPLab_sentence-transformers.examples.applications.semantic-search,semantic_search_quora_pytorch,,0,0,0,0,15,15,-1,0,1
UKPLab_sentence-transformers.examples.applications.semantic-search,semantic_search_wikipedia_qa,,0,0,0,0,14,14,-1,0,1
UKPLab_sentence-transformers.examples.applications.text-summarization,LexRank,,69,17,6,5,8,8,0,0,0
UKPLab_sentence-transformers.examples.applications.text-summarization,text-summarization,,0,0,0,0,7,7,-1,0,1
UKPLab_sentence-transformers.examples.evaluation,evaluation_inference_speed,,0,0,0,0,9,9,-1,0,1
UKPLab_sentence-transformers.examples.evaluation,evaluation_stsbenchmark,,0,0,0,0,7,7,-1,0,2
UKPLab_sentence-transformers.examples.evaluation,evaluation_translation_matching,,0,0,0,0,10,10,-1,0,1
UKPLab_sentence-transformers.examples.training.adaptive_layer,adaptive_layer_nli,,0,0,0,0,16,16,-1,0,4
UKPLab_sentence-transformers.examples.training.adaptive_layer,adaptive_layer_sts,,0,0,0,0,15,15,-1,0,4
UKPLab_sentence-transformers.examples.training.avg_word_embeddings,training_stsbenchmark_avg_word_embeddings,,0,0,0,0,19,19,-1,0,4
