Package,Module,Class,Function,LOC,CC,PC
aiqm_torchani,setup,,cuda_extension,51,15,1
aiqm_torchani,setup,,cuaev_kwargs,18,2,0
aiqm_torchani.examples,ase_interface,,printenergy,5,1,1
aiqm_torchani.examples,jit,CustomModule,__init__,3,1,0
aiqm_torchani.examples,jit,CustomModule,forward,13,6,4
aiqm_torchani.examples,neurochem_trainer,,my_tqdm,2,1,0
aiqm_torchani.examples,nnp_training,,init_params,4,2,1
aiqm_torchani.examples,nnp_training,,validate,15,2,0
aiqm_torchani.examples,nnp_training_force,,init_params,4,2,1
aiqm_torchani.examples,nnp_training_force,,validate,15,2,0
aiqm_torchani.tests,common_aev_test,_TestAEVBase,setUp,7,1,0
aiqm_torchani.tests,common_aev_test,_TestAEVBase,assertAEVEqual,8,2,3
aiqm_torchani.tests,test_aev,TestAEVConstructor,testCoverLinearly,17,2,0
aiqm_torchani.tests,test_aev,TestIsolated,setUp,7,1,0
aiqm_torchani.tests,test_aev,TestIsolated,testCO2,18,4,0
aiqm_torchani.tests,test_aev,TestIsolated,testH2,18,4,0
aiqm_torchani.tests,test_aev,TestIsolated,testH,12,3,0
aiqm_torchani.tests,test_aev,TestAEV,testIsomers,12,2,0
aiqm_torchani.tests,test_aev,TestAEV,testNoNan,5,1,0
aiqm_torchani.tests,test_aev,TestAEV,testPadding,24,3,0
aiqm_torchani.tests,test_aev,TestAEVJIT,setUp,3,1,0
aiqm_torchani.tests,test_aev,TestPBCSeeEachOther,setUp,3,1,0
aiqm_torchani.tests,test_aev,TestPBCSeeEachOther,testTranslationalInvariancePBC,16,2,0
aiqm_torchani.tests,test_aev,TestPBCSeeEachOther,testPBCConnersSeeEachOther,21,2,0
aiqm_torchani.tests,test_aev,TestPBCSeeEachOther,testPBCSurfaceSeeEachOther,16,2,0
aiqm_torchani.tests,test_aev,TestPBCSeeEachOther,testPBCEdgesSeeEachOther,19,3,0
aiqm_torchani.tests,test_aev,TestPBCSeeEachOther,testNonRectangularPBCConnersSeeEachOther,13,1,0
aiqm_torchani.tests,test_aev,TestAEVOnBoundary,setUp,17,1,0
aiqm_torchani.tests,test_aev,TestAEVOnBoundary,assertInCell,5,1,1
aiqm_torchani.tests,test_aev,TestAEVOnBoundary,assertNotInCell,5,1,1
aiqm_torchani.tests,test_aev,TestAEVOnBoundary,testCornerSurfaceAndEdge,11,4,0
aiqm_torchani.tests,test_aev,TestAEVOnBenzenePBC,setUp,12,1,0
aiqm_torchani.tests,test_aev,TestAEVOnBenzenePBC,testRepeat,14,2,0
aiqm_torchani.tests,test_aev,TestAEVOnBenzenePBC,testManualMirror,10,1,0
aiqm_torchani.tests,test_aev_benzene_md,TestAEVBenzeneMD,testBenzeneMD,15,2,0
aiqm_torchani.tests,test_aev_nist,TestAEVNIST,testNIST,13,2,0
aiqm_torchani.tests,test_aev_tripeptide_md,TestAEVTripeptideMD,testTripeptideMD,12,2,0
aiqm_torchani.tests,test_al,TestALAtomic,setUp,16,1,0
aiqm_torchani.tests,test_al,TestALAtomic,testAverageAtomicEnergies,8,1,0
aiqm_torchani.tests,test_al,TestALAtomic,testAtomicEnergies,13,2,0
aiqm_torchani.tests,test_al,TestALQBC,testMemberEnergies,15,1,0
aiqm_torchani.tests,test_al,TestALQBC,testQBC,23,1,0
aiqm_torchani.tests,test_ase,TestASE,setUp,2,1,0
aiqm_torchani.tests,test_ase,TestASE,testWithNumericalForceWithPBCEnabled,9,1,0
aiqm_torchani.tests,test_ase,TestASE,testWithNumericalStressWithPBCEnabled,16,1,0
aiqm_torchani.tests,test_ase,TestASEWithPTI,setUp,3,1,0
aiqm_torchani.tests,test_ase,TestASEWithPTI,testEqualEnsemblePTI,8,1,0
aiqm_torchani.tests,test_ase,TestASEWithPTI,testEqualOneModelPTI,8,1,0
aiqm_torchani.tests,test_ase,,get_numeric_force,6,3,2
aiqm_torchani.tests,test_cuaev,TestCUAEVNoGPU,testSimple,6,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEVNoGPU,testAEVComputer,9,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEVNoGPU,testPickle,11,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,setUp,16,1,1
aiqm_torchani.tests,test_cuaev,TestCUAEV,_double_backward_1_test,18,1,2
aiqm_torchani.tests,test_cuaev,TestCUAEV,_double_backward_2_test,30,1,2
aiqm_torchani.tests,test_cuaev,TestCUAEV,testSimple,17,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testMultiGPU,7,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testPickleCorrectness,13,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testSimpleBackward,24,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testSimpleDoubleBackward_1,17,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testSimpleDoubleBackward_2,17,1,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testTripeptideMD,10,2,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testTripeptideMDBackward,18,2,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testTripeptideMDDoubleBackward_2,8,2,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testNIST,10,2,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testNISTBackward,18,2,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testNISTDoubleBackward_2,8,2,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testVeryDenseMolecule,13,2,0
aiqm_torchani.tests,test_cuaev,TestCUAEV,testVeryDenseMoleculeBackward,21,2,0
aiqm_torchani.tests,test_data,TestData,testTensorShape,13,2,0
aiqm_torchani.tests,test_data,TestData,testNoUnnecessaryPadding,6,2,0
aiqm_torchani.tests,test_data,TestData,testReEnter,56,13,0
aiqm_torchani.tests,test_data,TestData,testShapeInference,10,1,0
aiqm_torchani.tests,test_data,TestData,testSAE,8,1,0
aiqm_torchani.tests,test_data,TestData,testDataloader,6,2,0
aiqm_torchani.tests,test_energies,TestANI2x,setUp,3,1,0
