Package,Module,Class,Smell,Function/Method,Line no,File,Details
albumentations-team_albumentations,setup,,Empty catch block,choose_requirement,33,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/setup.py,Empty catch block found in choose_requirement.
albumentations-team_albumentations,setup,,Long statement,,6,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/setup.py,A line with 198 chars in setup exceeds the maximum length of 120 characters.
albumentations-team_albumentations,setup,,Long statement,,18,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/setup.py,A line with 224 chars in setup exceeds the maximum length of 120 characters.
albumentations-team_albumentations,setup,,Long statement,,42,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/setup.py,A line with 185 chars in setup exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations,check_version,,Empty catch block,parse_version,46,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/check_version.py,Empty catch block found in parse_version.
albumentations-team_albumentations.albumentations,check_version,,Long statement,compare_versions,53,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/check_version.py,A line with 281 chars in compare_versions exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations,check_version,,Long statement,parse_version_parts,84,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/check_version.py,A line with 263 chars in parse_version_parts exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations,check_version,,Long statement,check_for_updates,113,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/check_version.py,A line with 274 chars in check_for_updates exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Complex method,shift_hsv,88 - 127,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"Method 'shift_hsv' has a cyclomatic complexity of 8, exceeding the max of 6."
albumentations-team_albumentations.albumentations.augmentations,functional,,Complex method,to_gray,1396 - 1423,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"Method 'to_gray' has a cyclomatic complexity of 7, exceeding the max of 6."
albumentations-team_albumentations.albumentations.augmentations,functional,,Complex method,superpixels,1627 - 1688,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"Method 'superpixels' has a cyclomatic complexity of 9, exceeding the max of 6."
albumentations-team_albumentations.albumentations.augmentations,functional,,Complex method,slic,2000 - 2066,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"Method 'slic' has a cyclomatic complexity of 7, exceeding the max of 6."
albumentations-team_albumentations.albumentations.augmentations,functional,,Complex method,generate_plasma_pattern,2519 - 2588,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"Method 'generate_plasma_pattern' has a cyclomatic complexity of 7, exceeding the max of 6."
albumentations-team_albumentations.albumentations.augmentations,functional,,Long identifier,get_safe_brightness_contrast_params,2133,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,Identifier'get_safe_brightness_contrast_params' exceeds the maximum length of 30 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long identifier,apply_plasma_brightness_contrast,2593,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,Identifier'apply_plasma_brightness_contrast' exceeds the maximum length of 30 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long method,superpixels,1627 - 1688,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,Method 'superpixels' is too long (49 lines).
albumentations-team_albumentations.albumentations.augmentations,functional,,Long method,slic,2000 - 2066,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,Method 'slic' is too long (43 lines).
albumentations-team_albumentations.albumentations.augmentations,functional,,Long method,generate_noise,2166 - 2229,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,Method 'generate_noise' is too long (49 lines).
albumentations-team_albumentations.albumentations.augmentations,functional,,Long method,generate_plasma_pattern,2519 - 2588,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,Method 'generate_plasma_pattern' is too long (43 lines).
albumentations-team_albumentations.albumentations.augmentations,functional,,Long parameter list,add_rain,739 - 785,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"add_rain has 8 parameters, exceeding the max of 5."
albumentations-team_albumentations.albumentations.augmentations,functional,,Long parameter list,chromatic_aberration,1780 - 1825,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"chromatic_aberration has 6 parameters, exceeding the max of 5."
albumentations-team_albumentations.albumentations.augmentations,functional,,Long parameter list,_distort_channel,1828 - 1849,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"_distort_channel has 6 parameters, exceeding the max of 5."
albumentations-team_albumentations.albumentations.augmentations,functional,,Long parameter list,generate_noise,2166 - 2229,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"generate_noise has 7 parameters, exceeding the max of 5."
albumentations-team_albumentations.albumentations.augmentations,functional,,Long parameter list,square_step,2467 - 2487,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"square_step has 7 parameters, exceeding the max of 5."
albumentations-team_albumentations.albumentations.augmentations,functional,,Long parameter list,diamond_step,2491 - 2515,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,"diamond_step has 7 parameters, exceeding the max of 5."
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,shift_hsv,103,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 135 chars in shift_hsv exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,solarize,132,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 544 chars in solarize exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,posterize,168,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 1589 chars in posterize exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,equalize,306,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 1927 chars in equalize exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,move_tone_curve,369,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 461 chars in move_tone_curve exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,clahe,424,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 1355 chars in clahe exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,image_compression,481,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 261 chars in image_compression exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,add_snow_bleach,542,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 2277 chars in add_snow_bleach exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,generate_snow_textures,609,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 287 chars in generate_snow_textures exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,add_snow_texture,636,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 2488 chars in add_snow_texture exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,add_rain,749,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 888 chars in add_rain exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,get_fog_particle_radiuses,794,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 391 chars in get_fog_particle_radiuses exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,add_fog,822,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 499 chars in add_fog exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,add_sun_flare_overlay,871,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 2651 chars in add_sun_flare_overlay exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,add_sun_flare_physics_based,967,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 3133 chars in add_sun_flare_physics_based exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,add_sun_flare_physics_based,1038,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 162 chars in add_sun_flare_physics_based exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,add_shadow,1087,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 508 chars in add_shadow exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,iso_noise,1167,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 669 chars in iso_noise exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,to_gray_weighted_average,1210,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 470 chars in to_gray_weighted_average exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,to_gray_from_lab,1234,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 1271 chars in to_gray_from_lab exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,to_gray_desaturation,1268,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 296 chars in to_gray_desaturation exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,to_gray_average,1287,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 1193 chars in to_gray_average exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,to_gray_max,1320,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 1297 chars in to_gray_max exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,to_gray_pca,1356,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 946 chars in to_gray_pca exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,grayscale_to_multichannel,1430,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 632 chars in grayscale_to_multichannel exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,downscale,1463,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 128 chars in downscale exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,fancy_pca,1490,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 1454 chars in fancy_pca exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,pixel_dropout,1736,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 308 chars in pixel_dropout exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,_distort_channel,1836,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 178 chars in _distort_channel exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,slic,2006,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 502 chars in slic exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,shot_noise,2076,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 1968 chars in shot_noise exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,get_safe_brightness_contrast_params,2138,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 424 chars in get_safe_brightness_contrast_params exceeds the maximum length of 120 characters.
albumentations-team_albumentations.albumentations.augmentations,functional,,Long statement,sample_uniform,2286,/Volumes/BrokeExt/NICHE/albumentations-team_albumentations/albumentations/augmentations/functional.py,A line with 497 chars in sample_uniform exceeds the maximum length of 120 characters.
