Package,Module,Class,Smell,Function/Method,Line no,File,Details
arogozhnikov_hep_ml,setup,,Long statement,,8,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/setup.py,A line with 845 chars in setup exceeds the maximum length of 120 characters.
arogozhnikov_hep_ml.docsrc,conf,,Long statement,,237,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/docsrc/conf.py,A line with 121 chars in conf exceeds the maximum length of 120 characters.
arogozhnikov_hep_ml.docsrc,conf,,Long statement,,281,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/docsrc/conf.py,A line with 155 chars in conf exceeds the maximum length of 120 characters.
arogozhnikov_hep_ml.hep_ml,commonutils,,Long identifier,compute_knn_indices_of_same_class,217,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/hep_ml/commonutils.py,Identifier'compute_knn_indices_of_same_class' exceeds the maximum length of 30 characters.
arogozhnikov_hep_ml.hep_ml,commonutils,,Long statement,map_on_cluster,38,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/hep_ml/commonutils.py,A line with 398 chars in map_on_cluster exceeds the maximum length of 120 characters.
arogozhnikov_hep_ml.hep_ml,commonutils,,Long statement,sigmoid_function,63,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/hep_ml/commonutils.py,A line with 250 chars in sigmoid_function exceeds the maximum length of 120 characters.
arogozhnikov_hep_ml.hep_ml,commonutils,,Long statement,generate_sample,76,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/hep_ml/commonutils.py,A line with 262 chars in generate_sample exceeds the maximum length of 120 characters.
arogozhnikov_hep_ml.hep_ml,commonutils,,Long statement,check_uniform_label,94,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/hep_ml/commonutils.py,A line with 184 chars in check_uniform_label exceeds the maximum length of 120 characters.
arogozhnikov_hep_ml.hep_ml,commonutils,,Long statement,train_test_split,106,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/hep_ml/commonutils.py,A line with 252 chars in train_test_split exceeds the maximum length of 120 characters.
arogozhnikov_hep_ml.hep_ml,commonutils,,Long statement,weighted_quantile,128,/Volumes/BrokeExt/NICHE/arogozhnikov_hep_ml/hep_ml/commonutils.py,A line with 479 chars in weighted_quantile exceeds the maximum length of 120 characters.
