Package,Module,Class,Smell,Function/Method,Line no,File,Details
asappresearch_flambe,setup,,Long statement,,15,/Volumes/BrokeExt/NICHE/asappresearch_flambe/setup.py,A line with 141 chars in setup exceeds the maximum length of 120 characters.
asappresearch_flambe,setup,,Long statement,,34,/Volumes/BrokeExt/NICHE/asappresearch_flambe/setup.py,A line with 430 chars in setup exceeds the maximum length of 120 characters.
asappresearch_flambe.docs,conf,,Long statement,,43,/Volumes/BrokeExt/NICHE/asappresearch_flambe/docs/conf.py,A line with 205 chars in conf exceeds the maximum length of 120 characters.
asappresearch_flambe.docs,conf,,Long statement,,208,/Volumes/BrokeExt/NICHE/asappresearch_flambe/docs/conf.py,A line with 140 chars in conf exceeds the maximum length of 120 characters.
asappresearch_flambe.flambe,__init__,,Long statement,,38,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/__init__.py,A line with 303 chars in __init__ exceeds the maximum length of 120 characters.
asappresearch_flambe.flambe,logo,,Long statement,,1,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/logo.py,A line with 502 chars in logo exceeds the maximum length of 120 characters.
asappresearch_flambe.flambe,logo,,Long statement,,15,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/logo.py,A line with 652 chars in logo exceeds the maximum length of 120 characters.
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Complex method,load_all_instances,193 - 264,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,"Method 'load_all_instances' has a cyclomatic complexity of 10, exceeding the max of 6."
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Complex method,_existing_cluster,266 - 302,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,"Method '_existing_cluster' has a cyclomatic complexity of 9, exceeding the max of 6."
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Complex method,parse,679 - 710,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,"Method 'parse' has a cyclomatic complexity of 8, exceeding the max of 6."
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Complex method,create_cloudwatch_events,815 - 851,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,"Method 'create_cloudwatch_events' has a cyclomatic complexity of 7, exceeding the max of 6."
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Long method,load_all_instances,193 - 264,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,Method 'load_all_instances' is too long (67 lines).
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Long method,_generic_launch_instances,504 - 605,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,Method '_generic_launch_instances' is too long (58 lines).
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Long parameter list,__init__,115 - 170,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,"__init__ has 20 parameters, exceeding the max of 5."
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Long statement,_get_boto_session,173,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,A line with 483 chars in _get_boto_session exceeds the maximum length of 120 characters.
asappresearch_flambe.flambe.cluster,aws,AWSCluster,Long statement,load_all_instances,194,/Volumes/BrokeExt/NICHE/asappresearch_flambe/flambe/cluster/aws.py,A line with 128 chars in load_all_instances exceeds the maximum length of 120 characters.
