Package,Module,Class,Smell,Function/Method,Line no,File,Details
baldassarreFe_deep-koalarization,setup,,Long statement,,13,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/setup.py,A line with 980 chars in setup exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization,evaluate,,Long statement,,16,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/evaluate.py,A line with 121 chars in evaluate exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization,fusion_layer,FusionLayer,Magic number,compute_output_shape,15,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/fusion_layer.py,Magic number 2 used in compute_output_shape.
baldassarreFe_deep-koalarization.src.koalarization,fusion_layer,FusionLayer,Magic number,compute_output_shape,22,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/fusion_layer.py,Magic number 3 used in compute_output_shape.
baldassarreFe_deep-koalarization.src.koalarization,fusion_layer,FusionLayer,Magic number,compute_output_shape,22,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/fusion_layer.py,Magic number 3 used in compute_output_shape.
baldassarreFe_deep-koalarization.src.koalarization,network_definition,,Long statement,,1,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/network_definition.py,A line with 264 chars in network_definition exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization,train,,Long statement,,40,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/train.py,A line with 137 chars in train exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization,training_utils,,Long statement,evaluation_pipeline,58,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/training_utils.py,A line with 147 chars in evaluation_pipeline exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization,training_utils,,Long statement,lab_to_rgb,133,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/training_utils.py,A line with 123 chars in lab_to_rgb exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization,training_utils,,Magic number,plot_evaluation,97,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/training_utils.py,Magic number 5 used in plot_evaluation.
baldassarreFe_deep-koalarization.src.koalarization,training_utils,,Magic number,l_to_rgb,129,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/training_utils.py,Magic number 255 used in l_to_rgb.
baldassarreFe_deep-koalarization.src.koalarization,training_utils,,Magic number,lab_to_rgb,140,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/training_utils.py,Magic number 127 used in lab_to_rgb.
baldassarreFe_deep-koalarization.src.koalarization.dataset,download,ImagenetDownloader,Complex method,_image_urls_generator,109 - 133,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/dataset/download.py,"Method '_image_urls_generator' has a cyclomatic complexity of 7, exceeding the max of 6."
baldassarreFe_deep-koalarization.src.koalarization.dataset,download,,Long statement,_parse_args,176,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/dataset/download.py,A line with 144 chars in _parse_args exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization.dataset,download,ImagenetDownloader,Long statement,__init__,33,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/dataset/download.py,A line with 234 chars in __init__ exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization.dataset,download,ImagenetDownloader,Long statement,__init__,46,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/dataset/download.py,A line with 180 chars in __init__ exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization.dataset,download,ImagenetDownloader,Long statement,download_images,69,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/dataset/download.py,A line with 288 chars in download_images exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization.dataset,download,ImagenetDownloader,Long statement,_download_img,86,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/dataset/download.py,A line with 208 chars in _download_img exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization.dataset,download,ImagenetDownloader,Long statement,_image_urls_generator,110,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/dataset/download.py,A line with 190 chars in _image_urls_generator exceeds the maximum length of 120 characters.
baldassarreFe_deep-koalarization.src.koalarization.dataset,download,ImagenetDownloader,Long statement,_encode_image_name,137,/Volumes/BrokeExt/NICHE/baldassarreFe_deep-koalarization/src/koalarization/dataset/download.py,A line with 150 chars in _encode_image_name exceeds the maximum length of 120 characters.
