Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
brainiak_brainiak.docs,conf,,0,0,0,0,26,26,-1,0,0
brainiak_brainiak.docs.examples.fcma.FCMA_script,fcma_classify,,0,0,0,0,45,45,-1,0,1
brainiak_brainiak.docs.examples.fcma.FCMA_script,fcma_voxel_selection_cv,,0,0,0,0,32,32,-1,0,1
brainiak_brainiak.docs.examples.fcma.sim_info,simualte_FCMA_dat,,0,0,0,0,42,42,-1,0,0
brainiak_brainiak.docs.examples.htfa,helpers,,189,20,12,12,11,11,0.67,0,1
brainiak_brainiak.docs.examples.real-time,finalize,,0,0,0,0,0,0,-1,0,0
brainiak_brainiak.docs.examples.real-time,initialize,,0,0,0,0,0,0,-1,0,0
brainiak_brainiak.docs.examples.real-time,sample,,143,9,2,2,26,26,0,0,0
brainiak_brainiak.examples.eventseg,simulated_data,,18,4,2,2,23,23,1,0,0
brainiak_brainiak.examples.factoranalysis,get_tfa_input_from_nifti,,28,5,1,1,5,5,0,0,0
brainiak_brainiak.examples.factoranalysis,htfa_cv_example,,29,3,3,3,83,83,0,0,1
brainiak_brainiak.examples.factoranalysis,latent_factor_from_htfa,,0,0,0,0,18,18,-1,0,1
brainiak_brainiak.examples.factoranalysis,latent_factor_from_tfa,,0,0,0,0,12,12,-1,0,1
brainiak_brainiak.examples.fcma,classification,,93,6,5,5,21,21,1,0,1
brainiak_brainiak.examples.fcma,corr_comp,,0,0,0,0,20,20,-1,0,0
brainiak_brainiak.examples.fcma,generate_fcma_data,,0,0,0,0,39,39,-1,0,0
brainiak_brainiak.examples.fcma,mvpa_classification,,0,0,0,0,25,25,-1,0,0
brainiak_brainiak.examples.fcma,mvpa_voxel_selection,,0,0,0,0,23,23,-1,0,2
brainiak_brainiak.examples.fcma,voxel_selection,,0,0,0,0,24,24,-1,0,1
brainiak_brainiak.examples.funcalign,searchlight_srm_example,,42,12,2,2,24,24,0,0,2
brainiak_brainiak.examples.funcalign,srm_image_prediction_example,,22,2,1,1,36,36,0,0,0
brainiak_brainiak.examples.funcalign,srm_image_prediction_example_distributed,,22,2,1,1,36,36,0,0,0
brainiak_brainiak.examples.funcalign,sssrm_image_prediction_example,,0,0,0,0,31,31,-1,0,0
brainiak_brainiak.examples.hyperparamopt,hpo_example,,12,2,2,2,15,15,0,0,0
brainiak_brainiak.examples.isc,isfc,,0,0,0,0,18,18,-1,0,0
brainiak_brainiak.examples.searchlight,example_searchlight,,6,1,1,1,19,19,0,0,1
brainiak_brainiak.examples.searchlight,genre_searchlight_example,,15,1,1,1,22,22,0,0,1
brainiak_brainiak.src.brainiak,__init__,,0,0,0,0,0,0,-1,0,0
brainiak_brainiak.src.brainiak,image,,47,12,3,3,3,2,0,0,0
