Package,Module,Class,Smell,Function/Method,Line no,File,Details
cgre-aachen_gempy,setup,,Long statement,,34,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/setup.py,A line with 1347 chars in setup exceeds the maximum length of 120 characters.
cgre-aachen_gempy.docs.source,conf,,Long statement,,56,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/docs/source/conf.py,A line with 390 chars in conf exceeds the maximum length of 120 characters.
cgre-aachen_gempy.docs.source,conf,,Long statement,,223,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/docs/source/conf.py,A line with 156 chars in conf exceeds the maximum length of 120 characters.
cgre-aachen_gempy.docs.source,make_external_gallery,,Long method,make_example_gallery,66 - 115,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/docs/source/make_external_gallery.py,Method 'make_example_gallery' is too long (43 lines).
cgre-aachen_gempy.docs.source,make_external_gallery,,Long statement,format_icon,11,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/docs/source/make_external_gallery.py,A line with 145 chars in format_icon exceeds the maximum length of 120 characters.
cgre-aachen_gempy.docs.source,make_external_gallery,,Long statement,make_example_gallery,71,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/docs/source/make_external_gallery.py,A line with 197 chars in make_example_gallery exceeds the maximum length of 120 characters.
cgre-aachen_gempy.docs.source,make_external_gallery,,Long statement,,1,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/docs/source/make_external_gallery.py,A line with 195 chars in make_external_gallery exceeds the maximum length of 120 characters.
cgre-aachen_gempy.docs.source,make_external_gallery,,Long statement,,36,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/docs/source/make_external_gallery.py,A line with 1682 chars in make_external_gallery exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,a01_horizontal_stratigraphic,,Long statement,,1,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/a01_horizontal_stratigraphic.py,A line with 247 chars in a01_horizontal_stratigraphic exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,a01_horizontal_stratigraphic,,Long statement,,21,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/a01_horizontal_stratigraphic.py,A line with 326 chars in a01_horizontal_stratigraphic exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,b02_fold,,Long statement,,1,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/b02_fold.py,A line with 217 chars in b02_fold exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,b02_fold,,Long statement,,23,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/b02_fold.py,A line with 288 chars in b02_fold exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,c03_recumbent_fold,,Long statement,,1,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/c03_recumbent_fold.py,A line with 221 chars in c03_recumbent_fold exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,c03_recumbent_fold,,Long statement,,23,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/c03_recumbent_fold.py,A line with 300 chars in c03_recumbent_fold exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,d04_pinchout,,Long statement,,1,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/d04_pinchout.py,A line with 234 chars in d04_pinchout exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,d04_pinchout,,Long statement,,23,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/d04_pinchout.py,A line with 299 chars in d04_pinchout exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,e05_fault,,Long statement,,1,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/e05_fault.py,A line with 206 chars in e05_fault exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,e05_fault,,Long statement,,24,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/e05_fault.py,A line with 271 chars in e05_fault exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,f06_unconformity,,Long statement,,1,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/f06_unconformity.py,A line with 214 chars in f06_unconformity exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,f06_unconformity,,Long statement,,23,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/f06_unconformity.py,A line with 278 chars in f06_unconformity exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,f06_unconformity,,Long statement,,33,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/f06_unconformity.py,A line with 122 chars in f06_unconformity exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,g07_combination,,Long statement,,1,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/g07_combination.py,A line with 220 chars in g07_combination exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,g07_combination,,Long statement,,22,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/g07_combination.py,A line with 302 chars in g07_combination exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,g07_combination,,Long statement,,33,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/g07_combination.py,A line with 147 chars in g07_combination exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,g07_combination,,Long statement,,63,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/g07_combination.py,A line with 156 chars in g07_combination exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long method,create_example,43 - 135,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,Method 'create_example' is too long (74 lines).
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long statement,create_example,44,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,A line with 514 chars in create_example exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long statement,create_example,55,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,A line with 121 chars in create_example exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long statement,create_example,61,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,A line with 391 chars in create_example exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long statement,create_example,80,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,A line with 176 chars in create_example exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long statement,create_example,90,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,A line with 181 chars in create_example exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long statement,create_example,104,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,A line with 151 chars in create_example exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long statement,create_example,112,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,A line with 195 chars in create_example exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.geometries,h08_more_examples,,Long statement,create_example,125,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/geometries/h08_more_examples.py,A line with 128 chars in create_example exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Alesmodel,,Long statement,,2,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Alesmodel.py,A line with 548 chars in Alesmodel exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Alesmodel,,Long statement,,32,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Alesmodel.py,A line with 284 chars in Alesmodel exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Alesmodel,,Long statement,,54,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Alesmodel.py,A line with 265 chars in Alesmodel exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Alesmodel,,Long statement,,83,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Alesmodel.py,A line with 262 chars in Alesmodel exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Alesmodel,,Long statement,,95,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Alesmodel.py,A line with 126 chars in Alesmodel exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Alesmodel,,Long statement,,149,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Alesmodel.py,A line with 146 chars in Alesmodel exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,34,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 158 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,44,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 121 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,76,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 127 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,109,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 219 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,116,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 349 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,127,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 154 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,132,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 211 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,140,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 237 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,182,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 134 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,185,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 199 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,201,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 152 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Claudius,,Long statement,,223,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Claudius.py,A line with 127 chars in Claudius exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Greenstone,,Long statement,,19,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Greenstone.py,A line with 364 chars in Greenstone exceeds the maximum length of 120 characters.
cgre-aachen_gempy.examples.examples.real,Greenstone,,Long statement,,36,/Volumes/BrokeExt/NICHE/cgre-aachen_gempy/examples/examples/real/Greenstone.py,A line with 210 chars in Greenstone exceeds the maximum length of 120 characters.
