Package,Module,Class,Smell,Function/Method,Line no,File,Details
chuyangliu_snake,run,,Long statement,main,21,/Volumes/BrokeExt/NICHE/chuyangliu_snake/run.py,A line with 140 chars in main exceeds the maximum length of 120 characters.
chuyangliu_snake.snake,game,Game,Complex conditional,_write_logs,262,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,"A conditional in _write_logs has 4 conditions, more than the recommended maximum 3 conditions."
chuyangliu_snake.snake,game,Game,Complex method,_game_main_normal,194 - 209,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,"Method '_game_main_normal' has a cyclomatic complexity of 7, exceeding the max of 6."
chuyangliu_snake.snake,game,Game,Complex method,_write_logs,248 - 277,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,"Method '_write_logs' has a cyclomatic complexity of 9, exceeding the max of 6."
chuyangliu_snake.snake,game,Game,Empty catch block,_run_dqn_train,173,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Empty catch block found in _run_dqn_train.
chuyangliu_snake.snake,game,GameConf,Long statement,__init__,67,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,A line with 285 chars in __init__ exceeds the maximum length of 120 characters.
chuyangliu_snake.snake,game,Game,Long statement,run,107,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,A line with 368 chars in run exceeds the maximum length of 120 characters.
chuyangliu_snake.snake,game,GameConf,Magic number,__init__,32,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Magic number 8 used in __init__.
chuyangliu_snake.snake,game,GameConf,Magic number,__init__,34,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Magic number 160 used in __init__.
chuyangliu_snake.snake,game,GameConf,Magic number,__init__,36,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Magic number 155 used in __init__.
chuyangliu_snake.snake,game,GameConf,Magic number,__init__,39,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Magic number 0.25 used in __init__.
chuyangliu_snake.snake,game,GameConf,Magic number,__init__,46,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Magic number 50 used in __init__.
chuyangliu_snake.snake,game,GameConf,Magic number,__init__,47,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Magic number 200 used in __init__.
chuyangliu_snake.snake,game,GameConf,Magic number,__init__,64,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Magic number 9 used in __init__.
chuyangliu_snake.snake,game,GameConf,Magic number,__init__,61,/Volumes/BrokeExt/NICHE/chuyangliu_snake/snake/game.py,Magic number 3 used in __init__.
