Package,Module,Class,Function,LOC,CC,PC
cmu-db_ottertune.client.driver,fabfile,,check_disk_usage,11,3,0
cmu-db_ottertune.client.driver,fabfile,,check_memory_usage,2,1,0
cmu-db_ottertune.client.driver,fabfile,,create_controller_config,26,6,0
cmu-db_ottertune.client.driver,fabfile,,restart_database,37,9,0
cmu-db_ottertune.client.driver,fabfile,,drop_database,9,3,0
cmu-db_ottertune.client.driver,fabfile,,create_database,9,3,0
cmu-db_ottertune.client.driver,fabfile,,create_user,9,3,0
cmu-db_ottertune.client.driver,fabfile,,drop_user,9,3,0
cmu-db_ottertune.client.driver,fabfile,,reset_conf,11,3,1
cmu-db_ottertune.client.driver,fabfile,,change_conf,43,13,1
cmu-db_ottertune.client.driver,fabfile,,load_oltpbench,10,2,0
cmu-db_ottertune.client.driver,fabfile,,run_oltpbench,10,2,0
cmu-db_ottertune.client.driver,fabfile,,run_oltpbench_bg,10,2,0
cmu-db_ottertune.client.driver,fabfile,,run_controller,7,1,1
cmu-db_ottertune.client.driver,fabfile,,signal_controller,7,1,0
cmu-db_ottertune.client.driver,fabfile,,save_dbms_result,10,3,0
cmu-db_ottertune.client.driver,fabfile,,save_next_config,6,2,2
cmu-db_ottertune.client.driver,fabfile,,free_cache,8,3,0
cmu-db_ottertune.client.driver,fabfile,,upload_result,31,10,3
cmu-db_ottertune.client.driver,fabfile,,get_result,58,9,3
cmu-db_ottertune.client.driver,fabfile,,download_debug_info,15,2,1
cmu-db_ottertune.client.driver,fabfile,,add_udm,4,2,1
cmu-db_ottertune.client.driver,fabfile,,upload_batch,14,4,3
cmu-db_ottertune.client.driver,fabfile,,dump_database,33,9,0
cmu-db_ottertune.client.driver,fabfile,,clean_recovery,4,1,0
cmu-db_ottertune.client.driver,fabfile,,restore_database,23,7,0
cmu-db_ottertune.client.driver,fabfile,,is_ready_db,17,3,1
cmu-db_ottertune.client.driver,fabfile,,_ready_to_start_oltpbench,7,2,0
cmu-db_ottertune.client.driver,fabfile,,_ready_to_start_controller,7,2,0
cmu-db_ottertune.client.driver,fabfile,,_ready_to_shut_down_controller,13,3,0
cmu-db_ottertune.client.driver,fabfile,,clean_logs,2,1,0
cmu-db_ottertune.client.driver,fabfile,,clean_oltpbench_results,2,1,0
cmu-db_ottertune.client.driver,fabfile,,clean_controller_results,2,1,0
cmu-db_ottertune.client.driver,fabfile,,_set_oltpbench_property,29,9,2
cmu-db_ottertune.client.driver,fabfile,,set_oltpbench_config,33,10,0
cmu-db_ottertune.client.driver,fabfile,,loop,44,9,1
cmu-db_ottertune.client.driver,fabfile,,set_dynamic_knobs,31,8,2
cmu-db_ottertune.client.driver,fabfile,,run_loops,34,9,1
cmu-db_ottertune.client.driver,fabfile,,monitor,7,2,1
cmu-db_ottertune.client.driver,fabfile,,monitor_tune,10,2,1
cmu-db_ottertune.client.driver,fabfile,,rename_batch,16,5,1
cmu-db_ottertune.client.driver,fabfile,,_http_content_to_json,10,3,1
cmu-db_ottertune.client.driver,fabfile,,_modify_website_object,32,10,3
cmu-db_ottertune.client.driver,fabfile,,create_website_user,2,1,0
cmu-db_ottertune.client.driver,fabfile,,delete_website_user,2,1,0
cmu-db_ottertune.client.driver,fabfile,,create_website_project,2,1,0
cmu-db_ottertune.client.driver,fabfile,,edit_website_project,2,1,0
cmu-db_ottertune.client.driver,fabfile,,create_website_session,2,1,0
cmu-db_ottertune.client.driver,fabfile,,edit_website_session,2,1,0
cmu-db_ottertune.client.driver,fabfile,,wait_pipeline_data_ready,16,3,2
cmu-db_ottertune.client.driver,fabfile,,integration_tests_simple,40,1,0
cmu-db_ottertune.client.driver,fabfile,,task_status_ui_test,14,1,0
cmu-db_ottertune.client.driver,fabfile,,simulate_db_run,21,2,2
cmu-db_ottertune.client.driver,fabfile,,integration_tests,71,10,0
cmu-db_ottertune.client.driver,utils,,load_driver_conf,34,10,0
cmu-db_ottertune.client.driver,utils,,parse_bool,4,2,1
cmu-db_ottertune.client.driver,utils,,get_content,9,3,1
cmu-db_ottertune.client.driver,utils,,run,33,9,3
cmu-db_ottertune.client.driver,utils,,sudo,28,10,4
cmu-db_ottertune.client.driver,utils,,get,26,7,3
cmu-db_ottertune.client.driver,utils,,put,26,7,3
cmu-db_ottertune.client.driver,utils,,run_sql_script,13,4,1
cmu-db_ottertune.client.driver,utils,,file_exists,4,1,1
cmu-db_ottertune.client.driver,utils,,dir_exists,4,1,1
cmu-db_ottertune.client.driver.userDefinedMetrics,user_defined_metrics,,get_udm,11,1,0
cmu-db_ottertune.client.driver.userDefinedMetrics,user_defined_metrics,,write_udm,6,1,0
cmu-db_ottertune.script,query_and_get,,main,23,5,0
cmu-db_ottertune.script.formatting,formatter,,format_file,5,3,3
cmu-db_ottertune.script.formatting,formatter,,update_file_header,11,2,4
cmu-db_ottertune.script.formatting,formatter,,format_java_file,24,5,3
cmu-db_ottertune.script.formatting,formatter,,format_python_file,19,4,3
cmu-db_ottertune.script.formatting,formatter,,format_dir,5,3,3
cmu-db_ottertune.script.formatting,formatter,,main,39,9,0
cmu-db_ottertune.script.validators,source_validator,,format_message,8,2,4
cmu-db_ottertune.script.validators,source_validator,,validate_validator,13,6,2
cmu-db_ottertune.script.validators,source_validator,,validate_file,24,6,1
cmu-db_ottertune.script.validators,source_validator,,validate_dir,25,9,1
cmu-db_ottertune.script.validators,source_validator,,get_git_files,24,6,1
cmu-db_ottertune.script.validators,source_validator,,check_pylint,28,4,2
cmu-db_ottertune.script.validators,source_validator,,check_pycodestyle,42,5,2
cmu-db_ottertune.script.validators,source_validator,,check_java_checkstyle,20,3,2
cmu-db_ottertune.script.validators,source_validator,,check_illegal_patterns,24,6,2
cmu-db_ottertune.script.validators,source_validator,,check_header,24,4,2
cmu-db_ottertune.script.validators,source_validator,,main,63,16,0
cmu-db_ottertune.server.analysis,base,ModelBase,_reset,2,1,0
cmu-db_ottertune.server.analysis,cluster,KMeans,__init__,5,1,0
cmu-db_ottertune.server.analysis,cluster,KMeans,cluster_inertia_,3,1,0
cmu-db_ottertune.server.analysis,cluster,KMeans,cluster_labels_,3,1,0
cmu-db_ottertune.server.analysis,cluster,KMeans,cluster_centers_,3,1,0
cmu-db_ottertune.server.analysis,cluster,KMeans,_reset,5,1,0
cmu-db_ottertune.server.analysis,cluster,KMeans,fit,40,5,4
cmu-db_ottertune.server.analysis,cluster,KMeans,get_closest_samples,5,2,0
cmu-db_ottertune.server.analysis,cluster,KMeans,get_memberships,8,2,0
cmu-db_ottertune.server.analysis,cluster,KMeansClusters,__init__,5,1,0
cmu-db_ottertune.server.analysis,cluster,KMeansClusters,_reset,5,1,0
cmu-db_ottertune.server.analysis,cluster,KMeansClusters,fit,18,4,5
cmu-db_ottertune.server.analysis,cluster,KSelection,__init__,3,1,0
cmu-db_ottertune.server.analysis,cluster,KSelection,_reset,3,1,0
cmu-db_ottertune.server.analysis,cluster,KSelection,name_,2,1,0
cmu-db_ottertune.server.analysis,cluster,KSelection,save,7,2,1
cmu-db_ottertune.server.analysis,cluster,GapStatistic,__init__,5,1,0
cmu-db_ottertune.server.analysis,cluster,GapStatistic,name_,2,1,0
cmu-db_ottertune.server.analysis,cluster,GapStatistic,_reset,5,1,0
cmu-db_ottertune.server.analysis,cluster,GapStatistic,fit,41,7,3
cmu-db_ottertune.server.analysis,cluster,GapStatistic,bounding_box,5,1,1
cmu-db_ottertune.server.analysis,cluster,GapStatistic,Wk,6,1,3
cmu-db_ottertune.server.analysis,cluster,DetK,__init__,3,1,0
cmu-db_ottertune.server.analysis,cluster,DetK,name_,2,1,0
cmu-db_ottertune.server.analysis,cluster,DetK,_reset,3,1,0
cmu-db_ottertune.server.analysis,cluster,DetK,fit,27,6,2
cmu-db_ottertune.server.analysis,cluster,Silhouette,__init__,3,1,0
cmu-db_ottertune.server.analysis,cluster,Silhouette,name_,2,1,0
cmu-db_ottertune.server.analysis,cluster,Silhouette,_reset,3,1,0
cmu-db_ottertune.server.analysis,cluster,Silhouette,fit,14,3,2
cmu-db_ottertune.server.analysis,cluster,,create_kselection_model,11,2,1
cmu-db_ottertune.server.analysis,constraints,ParamConstraintHelper,__init__,14,5,5
cmu-db_ottertune.server.analysis,constraints,ParamConstraintHelper,apply_constraints,21,6,3
cmu-db_ottertune.server.analysis,constraints,ParamConstraintHelper,_handle_scaling,8,3,2
cmu-db_ottertune.server.analysis,constraints,ParamConstraintHelper,_handle_rescaling,6,2,2
cmu-db_ottertune.server.analysis,constraints,ParamConstraintHelper,randomize_categorical_features,32,5,3
cmu-db_ottertune.server.analysis,factor_analysis,FactorAnalysis,__init__,7,1,0
cmu-db_ottertune.server.analysis,factor_analysis,FactorAnalysis,_reset,7,1,0
cmu-db_ottertune.server.analysis,factor_analysis,FactorAnalysis,fit,24,4,4
cmu-db_ottertune.server.analysis,gp,GPRNP,__init__,16,2,6
cmu-db_ottertune.server.analysis,gp,GPRNP,__repr__,5,2,0
cmu-db_ottertune.server.analysis,gp,GPRNP,__str__,2,1,0
cmu-db_ottertune.server.analysis,gp,GPRNP,_reset,6,1,0
cmu-db_ottertune.server.analysis,gp,GPRNP,check_X_y,8,2,2
cmu-db_ottertune.server.analysis,gp,GPRNP,check_fitted,4,3,0
cmu-db_ottertune.server.analysis,gp,GPRNP,check_array,3,1,1
cmu-db_ottertune.server.analysis,gp,GPRNP,check_output,5,2,1
cmu-db_ottertune.server.analysis,gp,GPRNP,fit,21,4,3
cmu-db_ottertune.server.analysis,gp,GPRNP,predict,39,5,1
cmu-db_ottertune.server.analysis,gp,GPRNP,get_params,7,1,1
cmu-db_ottertune.server.analysis,gp,GPRNP,set_params,4,2,0
cmu-db_ottertune.server.analysis,gp_tf,GPRResult,__init__,3,1,2
cmu-db_ottertune.server.analysis,gp_tf,GPRGDResult,__init__,4,1,4
cmu-db_ottertune.server.analysis,gp_tf,GPR,__init__,21,2,9
cmu-db_ottertune.server.analysis,gp_tf,GPR,build_graph,118,11,0
cmu-db_ottertune.server.analysis,gp_tf,GPR,__repr__,5,2,0
cmu-db_ottertune.server.analysis,gp_tf,GPR,__str__,2,1,0
cmu-db_ottertune.server.analysis,gp_tf,GPR,check_X_y,8,2,2
cmu-db_ottertune.server.analysis,gp_tf,GPR,check_fitted,4,3,0
cmu-db_ottertune.server.analysis,gp_tf,GPR,check_array,3,1,1
cmu-db_ottertune.server.analysis,gp_tf,GPR,check_output,5,2,1
cmu-db_ottertune.server.analysis,gp_tf,GPR,fit,42,3,2
cmu-db_ottertune.server.analysis,gp_tf,GPR,predict,66,6,1
cmu-db_ottertune.server.analysis,gp_tf,GPR,get_params,8,1,1
cmu-db_ottertune.server.analysis,gp_tf,GPR,set_params,4,2,0
cmu-db_ottertune.server.analysis,gp_tf,GPR,_reset,9,1,0
cmu-db_ottertune.server.analysis,gp_tf,GPRGD,__init__,17,1,14
cmu-db_ottertune.server.analysis,gp_tf,GPRGD,fit,50,6,4
cmu-db_ottertune.server.analysis,gp_tf,GPRGD,predict,114,14,4
cmu-db_ottertune.server.analysis,gp_tf,GPRGD,calculate_sigma_multiplier,10,3,3
cmu-db_ottertune.server.analysis,gp_tf,,euclidean_mat,12,3,3
cmu-db_ottertune.server.analysis,gp_tf,,gd_tf,73,4,7
cmu-db_ottertune.server.analysis,gp_tf,,main,2,1,0
cmu-db_ottertune.server.analysis,gp_tf,,create_random_matrices,8,1,3
cmu-db_ottertune.server.analysis,lasso,LassoPath,__init__,5,1,0
