Package,Module,Class,Function,LOC,CC,PC
cmusatyalab_OpenTPOD.opentpod,conftest,,media_storage,2,1,2
cmusatyalab_OpenTPOD.opentpod,conftest,,user,2,1,0
cmusatyalab_OpenTPOD.opentpod,conftest,,request_factory,2,1,0
cmusatyalab_OpenTPOD.opentpod,middleware,DisableCSRFMiddleware,__init__,2,1,1
cmusatyalab_OpenTPOD.opentpod,middleware,DisableCSRFMiddleware,__call__,4,1,1
cmusatyalab_OpenTPOD.opentpod.contrib.sites.migrations,0003_set_site_domain_and_name,,update_site_forward,9,1,2
cmusatyalab_OpenTPOD.opentpod.contrib.sites.migrations,0003_set_site_domain_and_name,,update_site_backward,5,1,2
cmusatyalab_OpenTPOD.opentpod.cvat_ui_adapter,views,,render_cvat_annotation_ui,4,3,1
cmusatyalab_OpenTPOD.opentpod.object_detector,datasets,,_cvat_get_frame_path,7,1,2
cmusatyalab_OpenTPOD.opentpod.object_detector,datasets,,dump_cvat_task_annotations,19,3,5
cmusatyalab_OpenTPOD.opentpod.object_detector,datasets,,fix_cvat_tfrecord,19,3,2
cmusatyalab_OpenTPOD.opentpod.object_detector,datasets,,get_label_map_from_cvat_tfrecord_zip,13,3,1
cmusatyalab_OpenTPOD.opentpod.object_detector,datasets,,dump_metadata,3,1,2
cmusatyalab_OpenTPOD.opentpod.object_detector,datasets,,_dump_labelmap_file,10,2,2
cmusatyalab_OpenTPOD.opentpod.object_detector,datasets,,dump_detector_annotations,25,4,5
cmusatyalab_OpenTPOD.opentpod.object_detector,datasets,,split_train_eval_tfrecord,29,4,1
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Status,choices,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Status,__str__,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,TrainSet,__str__,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Detector,__str__,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Detector,get_dir,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Detector,get_training_data_dir,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Detector,get_model_dir,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Detector,get_export_file_path,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Detector,get_container_name,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Detector,get_train_config,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,models,Detector,get_detector_object,6,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector,serializers,DetectorSerializer,_fix_owner,4,2,1
cmusatyalab_OpenTPOD.opentpod.object_detector,serializers,DetectorSerializer,create,13,1,1
cmusatyalab_OpenTPOD.opentpod.object_detector,tasks,,_train,26,2,5
cmusatyalab_OpenTPOD.opentpod.object_detector,tasks,,export,3,1,1
cmusatyalab_OpenTPOD.opentpod.object_detector,tasks,,train,11,1,4
cmusatyalab_OpenTPOD.opentpod.object_detector,views,DetectorViewSet,get_queryset,7,2,0
cmusatyalab_OpenTPOD.opentpod.object_detector,views,DetectorViewSet,perform_create,10,1,1
cmusatyalab_OpenTPOD.opentpod.object_detector,views,DetectorViewSet,perform_destroy,3,1,1
cmusatyalab_OpenTPOD.opentpod.object_detector,views,DetectorViewSet,dnn_types,4,1,1
cmusatyalab_OpenTPOD.opentpod.object_detector,views,DetectorViewSet,training_configs,7,2,2
cmusatyalab_OpenTPOD.opentpod.object_detector,views,DetectorViewSet,model,32,4,2
cmusatyalab_OpenTPOD.opentpod.object_detector,views,DetectorViewSet,visualization,5,1,3
cmusatyalab_OpenTPOD.opentpod.object_detector,views,,task_data,11,3,3
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,__init__,Status,choices,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,__init__,Status,__str__,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,__init__,,get,4,1,2
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,pytorch_detectron2,,load_dataset,5,1,3
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,pytorch_detectron2,,_visualize_training_samples,7,2,2
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,pytorch_detectron2,,finetune,16,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,pytorch_detectron2,,infer,16,2,3
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,pytorch_detectron2,,benchmark_speed,10,2,1
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,utils,,get_cache_entry,6,1,1
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,utils,,download_and_extract_url_tarball_to_cache_dir,10,1,2
cmusatyalab_OpenTPOD.opentpod.object_detector.provider,utils,,_find_open_port,6,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector.provider.tfod,base,TFODDetector,__init__,12,1,1
cmusatyalab_OpenTPOD.opentpod.object_detector.provider.tfod,base,TFODDetector,training_parameters,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector.provider.tfod,base,TFODDetector,pretrained_model_cache_entry,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector.provider.tfod,base,TFODDetector,pretrained_model_url,2,1,0
cmusatyalab_OpenTPOD.opentpod.object_detector.provider.tfod,base,TFODDetector,pipeline_config_template,2,1,0
