Package,Module,Class,Smell,Function/Method,Line no,File,Details
commaai_openpilot,conftest,,Long statement,,13,/Volumes/BrokeExt/NICHE/commaai_openpilot/conftest.py,A line with 196 chars in conftest exceeds the maximum length of 120 characters.
commaai_openpilot.cereal,services,,Long statement,,12,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/services.py,A line with 2652 chars in services exceeds the maximum length of 120 characters.
commaai_openpilot.cereal.messaging,__init__,SubMaster,Long parameter list,__init__,148 - 191,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,"__init__ has 7 parameters, exceeding the max of 5."
commaai_openpilot.cereal.messaging,__init__,SubMaster,Long statement,__init__,176,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,A line with 124 chars in __init__ exceeds the maximum length of 120 characters.
commaai_openpilot.cereal.messaging,__init__,FrequencyTracker,Magic number,__init__,109,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 0.8 used in __init__.
commaai_openpilot.cereal.messaging,__init__,FrequencyTracker,Magic number,__init__,110,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 1.2 used in __init__.
commaai_openpilot.cereal.messaging,__init__,FrequencyTracker,Magic number,__init__,102,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 2 used in __init__.
commaai_openpilot.cereal.messaging,__init__,FrequencyTracker,Magic number,__init__,104,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 2 used in __init__.
commaai_openpilot.cereal.messaging,__init__,FrequencyTracker,Magic number,record_recv_time,119,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 1e-05 used in record_recv_time.
commaai_openpilot.cereal.messaging,__init__,SubMaster,Magic number,_check_avg_freq,197,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 0.99 used in _check_avg_freq.
commaai_openpilot.cereal.messaging,__init__,SubMaster,Magic number,update,199,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 100 used in update.
commaai_openpilot.cereal.messaging,__init__,SubMaster,Magic number,update_msgs,228,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 1e-05 used in update_msgs.
commaai_openpilot.cereal.messaging,__init__,SubMaster,Magic number,update_msgs,230,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 10.0 used in update_msgs.
commaai_openpilot.cereal.messaging,__init__,PubMaster,Magic number,wait_for_readers_to_update,260,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/__init__.py,Magic number 0.05 used in wait_for_readers_to_update.
commaai_openpilot.cereal.messaging.tests,test_messaging,,Magic number,random_socks,20,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/tests/test_messaging.py,Magic number 10 used in random_socks.
commaai_openpilot.cereal.messaging.tests,test_messaging,,Magic number,random_bytes,23,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/tests/test_messaging.py,Magic number 1000 used in random_bytes.
commaai_openpilot.cereal.messaging.tests,test_messaging,TestMessaging,Magic number,test_new_message,71,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/tests/test_messaging.py,Magic number 0.1 used in test_new_message.
commaai_openpilot.cereal.messaging.tests,test_messaging,TestMessaging,Magic number,test_recv_one_retry,164,/Volumes/BrokeExt/NICHE/commaai_openpilot/cereal/messaging/tests/test_messaging.py,Magic number 0.1 used in test_recv_one_retry.
