Package,Module,Class,Function,LOC,CC,PC
cornell-zhang_heterocl,setup,CustomBuild,finalize_options,8,2,0
cornell-zhang_heterocl,setup,CustomBuild,run,4,1,0
cornell-zhang_heterocl,setup,CMakeBuild,initialize_options,2,1,0
cornell-zhang_heterocl,setup,CMakeBuild,finalize_options,2,1,0
cornell-zhang_heterocl,setup,CMakeBuild,build_llvm,34,3,0
cornell-zhang_heterocl,setup,CMakeBuild,build_hcl_dialect,28,3,0
cornell-zhang_heterocl,setup,CMakeBuild,install_hcl_dialect,10,2,0
cornell-zhang_heterocl,setup,CMakeBuild,run,20,4,0
cornell-zhang_heterocl,setup,NoopBuildExtension,build_extension,2,1,1
cornell-zhang_heterocl,setup,,parse_requirements,3,2,1
cornell-zhang_heterocl,setup,,setup,32,1,0
cornell-zhang_heterocl.heterocl,build_module,,_mlir_lower_pipeline,11,2,1
cornell-zhang_heterocl.heterocl,build_module,,lower,5,1,6
cornell-zhang_heterocl.heterocl,build_module,,build,25,6,4
cornell-zhang_heterocl.heterocl,build_module,,separate_host_xcel,69,15,2
cornell-zhang_heterocl.heterocl,build_module,,generate_kernel_header,28,3,1
cornell-zhang_heterocl.heterocl,build_module,,build_fpga_kernel,86,3,3
cornell-zhang_heterocl.heterocl,build_module,,build_llvm,69,9,2
cornell-zhang_heterocl.heterocl,context,UniqueName,__init__,2,1,0
cornell-zhang_heterocl.heterocl,context,UniqueName,reset,3,2,1
cornell-zhang_heterocl.heterocl,context,UniqueName,get,24,3,3
cornell-zhang_heterocl.heterocl,context,GlobalContext,__init__,4,1,0
cornell-zhang_heterocl.heterocl,context,GlobalContext,get_context,2,1,0
cornell-zhang_heterocl.heterocl,context,GlobalContext,set_context,4,1,0
cornell-zhang_heterocl.heterocl,context,GlobalContext,get_location,2,1,0
cornell-zhang_heterocl.heterocl,context,GlobalContext,exit_context,2,1,0
cornell-zhang_heterocl.heterocl,debug,HCLError,__init__,4,2,2
cornell-zhang_heterocl.heterocl,debug,DTypeError,__init__,2,1,1
cornell-zhang_heterocl.heterocl,debug,APIError,__init__,2,1,1
cornell-zhang_heterocl.heterocl,debug,DSLError,__init__,2,1,1
cornell-zhang_heterocl.heterocl,debug,TensorError,__init__,2,1,1
cornell-zhang_heterocl.heterocl,debug,DeviceError,__init__,2,1,1
cornell-zhang_heterocl.heterocl,debug,AssertError,__init__,2,1,1
cornell-zhang_heterocl.heterocl,debug,,hcl_excepthook,15,5,3
cornell-zhang_heterocl.heterocl,devices,Memory,__init__,5,1,4
cornell-zhang_heterocl.heterocl,devices,Memory,__getitem__,9,3,1
cornell-zhang_heterocl.heterocl,devices,Memory,__str__,2,1,0
cornell-zhang_heterocl.heterocl,devices,DRAM,__init__,4,1,2
cornell-zhang_heterocl.heterocl,devices,HBM,__init__,4,1,2
cornell-zhang_heterocl.heterocl,devices,PLRAM,__init__,4,1,2
cornell-zhang_heterocl.heterocl,devices,BRAM,__init__,3,1,0
cornell-zhang_heterocl.heterocl,devices,LUTRAM,__init__,3,1,0
cornell-zhang_heterocl.heterocl,devices,URAM,__init__,3,1,0
cornell-zhang_heterocl.heterocl,devices,Device,__init__,10,2,3
cornell-zhang_heterocl.heterocl,devices,Device,__getattr__,5,1,1
cornell-zhang_heterocl.heterocl,devices,Device,set_backend,5,2,1
cornell-zhang_heterocl.heterocl,devices,Device,get_dev_id,2,1,0
cornell-zhang_heterocl.heterocl,devices,Device,set_dev_id,4,2,1
cornell-zhang_heterocl.heterocl,devices,DevMemoryPair,__init__,3,1,2
cornell-zhang_heterocl.heterocl,devices,DevMemoryPair,dev,2,1,0
cornell-zhang_heterocl.heterocl,devices,DevMemoryPair,mem,2,1,0
cornell-zhang_heterocl.heterocl,devices,DevMemoryPair,__getitem__,9,3,1
cornell-zhang_heterocl.heterocl,devices,DevMemoryPair,__str__,2,1,0
cornell-zhang_heterocl.heterocl,devices,CPU,__init__,8,3,2
cornell-zhang_heterocl.heterocl,devices,CPU,__repr__,2,1,0
cornell-zhang_heterocl.heterocl,devices,FPGA,__init__,8,3,2
cornell-zhang_heterocl.heterocl,devices,FPGA,__repr__,2,1,0
