Package,Module,Class,Function,LOC,CC,PC
cpnota_autonomous-learning-library.all.agents,_agent,Agent,act,3,1,1
cpnota_autonomous-learning-library.all.agents,_multiagent,Multiagent,act,3,1,1
cpnota_autonomous-learning-library.all.agents,_parallel_agent,ParallelAgent,act,3,1,1
cpnota_autonomous-learning-library.all.agents,a2c,A2C,__init__,15,2,8
cpnota_autonomous-learning-library.all.agents,a2c,A2C,act,6,1,1
cpnota_autonomous-learning-library.all.agents,a2c,A2C,_train,31,2,1
cpnota_autonomous-learning-library.all.agents,a2c,A2C,_make_buffer,8,1,0
cpnota_autonomous-learning-library.all.agents,a2c,A2CTestAgent,__init__,3,1,2
cpnota_autonomous-learning-library.all.agents,a2c,A2CTestAgent,act,2,1,1
cpnota_autonomous-learning-library.all.agents,c51,C51,__init__,13,1,9
cpnota_autonomous-learning-library.all.agents,c51,C51,act,6,1,1
cpnota_autonomous-learning-library.all.agents,c51,C51,eval,2,1,1
cpnota_autonomous-learning-library.all.agents,c51,C51,_choose_action,4,1,1
cpnota_autonomous-learning-library.all.agents,c51,C51,_should_explore,5,2,0
cpnota_autonomous-learning-library.all.agents,c51,C51,_best_actions,3,1,1
cpnota_autonomous-learning-library.all.agents,c51,C51,_train,21,2,0
cpnota_autonomous-learning-library.all.agents,c51,C51,_should_train,6,2,0
cpnota_autonomous-learning-library.all.agents,c51,C51,_compute_target_dist,5,1,2
cpnota_autonomous-learning-library.all.agents,c51,C51,_kl,4,1,2
cpnota_autonomous-learning-library.all.agents,c51,C51TestAgent,__init__,4,1,3
cpnota_autonomous-learning-library.all.agents,c51,C51TestAgent,act,5,1,1
cpnota_autonomous-learning-library.all.agents,ddpg,DDPG,__init__,20,1,9
cpnota_autonomous-learning-library.all.agents,ddpg,DDPG,act,6,1,1
cpnota_autonomous-learning-library.all.agents,ddpg,DDPG,eval,2,1,1
cpnota_autonomous-learning-library.all.agents,ddpg,DDPG,_choose_action,6,1,1
cpnota_autonomous-learning-library.all.agents,ddpg,DDPG,_train,20,2,0
cpnota_autonomous-learning-library.all.agents,ddpg,DDPG,_should_train,6,2,0
cpnota_autonomous-learning-library.all.agents,ddpg,DDPGTestAgent,__init__,2,1,1
cpnota_autonomous-learning-library.all.agents,ddpg,DDPGTestAgent,act,2,1,1
cpnota_autonomous-learning-library.all.agents,ddqn,DDQN,__init__,12,1,8
cpnota_autonomous-learning-library.all.agents,ddqn,DDQN,act,6,1,1
cpnota_autonomous-learning-library.all.agents,ddqn,DDQN,eval,2,1,1
cpnota_autonomous-learning-library.all.agents,ddqn,DDQN,_train,20,2,0
cpnota_autonomous-learning-library.all.agents,ddqn,DDQN,_should_train,6,2,0
cpnota_autonomous-learning-library.all.agents,dqn,DQN,__init__,12,1,8
cpnota_autonomous-learning-library.all.agents,dqn,DQN,act,6,1,1
cpnota_autonomous-learning-library.all.agents,dqn,DQN,eval,2,1,1
cpnota_autonomous-learning-library.all.agents,dqn,DQN,_train,17,2,0
cpnota_autonomous-learning-library.all.agents,dqn,DQN,_should_train,6,2,0
cpnota_autonomous-learning-library.all.agents,dqn,DQNTestAgent,__init__,2,1,1
cpnota_autonomous-learning-library.all.agents,dqn,DQNTestAgent,act,2,1,1
cpnota_autonomous-learning-library.all.agents,independent,IndependentMultiagent,__init__,2,1,1
cpnota_autonomous-learning-library.all.agents,independent,IndependentMultiagent,act,2,1,1
cpnota_autonomous-learning-library.all.agents,ppo,PPO,__init__,20,2,13
cpnota_autonomous-learning-library.all.agents,ppo,PPO,act,6,1,1
cpnota_autonomous-learning-library.all.agents,ppo,PPO,eval,2,1,1
