Package,Module,Class,Smell,Function/Method,Line no,File,Details
deepmedic_deepmedic,plotTrainingProgress,,Complex method,getRegExprForParsingMetric,168 - 190,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,"Method 'getRegExprForParsingMetric' has a cyclomatic complexity of 9, exceeding the max of 6."
deepmedic_deepmedic,plotTrainingProgress,,Complex method,parseDetailedMetricsFromThisLog,298 - 371,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,"Method 'parseDetailedMetricsFromThisLog' has a cyclomatic complexity of 12, exceeding the max of 6."
deepmedic_deepmedic,plotTrainingProgress,,Complex method,plotProgressBasic,399 - 469,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,"Method 'plotProgressBasic' has a cyclomatic complexity of 7, exceeding the max of 6."
deepmedic_deepmedic,plotTrainingProgress,,Complex method,plotProgressDetailed,471 - 555,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,"Method 'plotProgressDetailed' has a cyclomatic complexity of 9, exceeding the max of 6."
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseLogFileAndGetVariablesOfInterest,75,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'parseLogFileAndGetVariablesOfInterest' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseVariablesOfTrainingSessionsFromListOfLogs,82,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'parseVariablesOfTrainingSessionsFromListOfLogs' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseVariablesOfTrainingSessionsFromListOfLogs,82,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'listOfSubepochsPerEpFromEachLog' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseVariablesOfTrainingSessionsFromListOfLogs,82,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'listOfEpochsPerFullInferFromEachLog' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,makeHelperVariablesPerExperiment,103,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'makeHelperVariablesPerExperiment' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,getStringOfTheListThatForSureStartsInThisLineButMayEndInAnother,112,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'getStringOfTheListThatForSureStartsInThisLineButMayEndInAnother' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,getAListOfStringNumbersAfterSplittingThemFromAStringListWithStringNumbers,139,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'getAListOfStringNumbersAfterSplittingThemFromAStringListWithStringNumbers' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,getFirstLineInLogWithCertainPattern,155,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'getFirstLineInLogWithCertainPattern' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,getListOfAccNumbersFromListOfStrNumbersAvoidingNotAppl,193,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'getListOfAccNumbersFromListOfStrNumbersAvoidingNotAppl' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,applyMovingAverageToAllButDscFullSeg,228,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'applyMovingAverageToAllButDscFullSeg' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseBasicMetricsFromThisLog,250,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'sentencesToLookForEachClassAndMetric' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseBasicMetricsFromThisLog,250,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'measurementsForEachClassAndMetric' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseBasicMetricsFromThisLog,250,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'previousMeasurementForEachClassAndMetric' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseDetailedMetricsFromThisLog,298,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'parseDetailedMetricsFromThisLog' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseDetailedMetricsFromThisLog,298,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'sentencesToLookForEachClassAndMetric' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseDetailedMetricsFromThisLog,298,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'measurementsForEachClassAndMetric' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,parseDetailedMetricsFromThisLog,298,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'previousMeasurementForEachClassAndMetric' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,optimizedParseMetricsFromLogs,374,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'measuredMetricsFromAllExperiments' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,optimizedParseMetricsFromLogs,374,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'measuredMetricsFromAllExperiments' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,,26,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'NUM_EPS_BETWEEN_FULLINF_PATTERN' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,,196,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'stringNumberStrippedOfWhiteSpace' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,,198,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'previousValueOfTheVariableInTheTimeSerie' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,,284,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'previousMeasurementForClassAndMetric' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long identifier,,578,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Identifier'measuredMetricsFromAllExperiments' exceeds the maximum length of 30 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long method,parseDetailedMetricsFromThisLog,298 - 371,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Method 'parseDetailedMetricsFromThisLog' is too long (62 lines).
deepmedic_deepmedic,plotTrainingProgress,,Long method,plotProgressBasic,399 - 469,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Method 'plotProgressBasic' is too long (66 lines).
deepmedic_deepmedic,plotTrainingProgress,,Long method,plotProgressDetailed,471 - 555,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,Method 'plotProgressDetailed' is too long (88 lines).
deepmedic_deepmedic,plotTrainingProgress,,Long parameter list,plotProgressDetailed,471 - 555,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,"plotProgressDetailed has 6 parameters, exceeding the max of 5."
deepmedic_deepmedic,plotTrainingProgress,,Long statement,setupArgParser,44,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 293 chars in setupArgParser exceeds the maximum length of 120 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long statement,setupArgParser,46,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 234 chars in setupArgParser exceeds the maximum length of 120 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long statement,setupArgParser,47,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 955 chars in setupArgParser exceeds the maximum length of 120 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long statement,setupArgParser,48,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 809 chars in setupArgParser exceeds the maximum length of 120 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long statement,setupArgParser,49,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 303 chars in setupArgParser exceeds the maximum length of 120 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long statement,setupArgParser,50,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 172 chars in setupArgParser exceeds the maximum length of 120 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long statement,getEpochsBetweenFullInf,64,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 134 chars in getEpochsBetweenFullInf exceeds the maximum length of 120 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long statement,parseVariablesOfTrainingSessionsFromListOfLogs,86,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 122 chars in parseVariablesOfTrainingSessionsFromListOfLogs exceeds the maximum length of 120 characters.
deepmedic_deepmedic,plotTrainingProgress,,Long statement,getStringOfTheListThatForSureStartsInThisLineButMayEndInAnother,119,/Volumes/BrokeExt/NICHE/deepmedic_deepmedic/plotTrainingProgress.py,A line with 127 chars in getStringOfTheListThatForSureStartsInThisLineButMayEndInAnother exceeds the maximum length of 120 characters.
