Package,Module,Class,Function,LOC,CC,PC
deepmipt_DeepPavlov,setup,,read_requirements,12,3,0
deepmipt_DeepPavlov,setup,,readme,6,1,0
deepmipt_DeepPavlov.deeppavlov,__init__,,train_model,3,1,4
deepmipt_DeepPavlov.deeppavlov,__init__,,evaluate_model,3,1,4
deepmipt_DeepPavlov.deeppavlov,deep,,main,26,13,0
deepmipt_DeepPavlov.deeppavlov,download,,get_config_downloads,17,5,1
deepmipt_DeepPavlov.deeppavlov,download,,get_configs_downloads,10,4,1
deepmipt_DeepPavlov.deeppavlov,download,,check_md5,42,8,3
deepmipt_DeepPavlov.deeppavlov,download,,download_resource,14,3,3
deepmipt_DeepPavlov.deeppavlov,download,,download_resources,11,5,1
deepmipt_DeepPavlov.deeppavlov,download,,deep_download,14,4,1
deepmipt_DeepPavlov.deeppavlov,download,,main,5,1,1
deepmipt_DeepPavlov.deeppavlov,paramsearch,,get_best_params,5,1,4
deepmipt_DeepPavlov.deeppavlov,paramsearch,,main,68,13,0
deepmipt_DeepPavlov.deeppavlov,settings,,main,10,3,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,__iter__,2,1,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,__len__,2,1,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,__init__,9,2,1
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,_asdict,10,4,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,__getitem__,7,3,1
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,__dir__,2,1,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,_ipython_key_completions_,2,1,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,__str__,2,1,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,__repr__,2,1,0
deepmipt_DeepPavlov.deeppavlov.configs,__init__,Struct,_repr_pretty_,7,2,2
deepmipt_DeepPavlov.deeppavlov.configs,__init__,,_build_configs_tree,11,4,0
deepmipt_DeepPavlov.deeppavlov.core.commands,infer,,build_model,29,10,5
deepmipt_DeepPavlov.deeppavlov.core.commands,infer,,interact_model,15,5,1
deepmipt_DeepPavlov.deeppavlov.core.commands,infer,,predict_on_stream,28,11,3
deepmipt_DeepPavlov.deeppavlov.core.commands,train,,read_data_by_config,23,6,1
deepmipt_DeepPavlov.deeppavlov.core.commands,train,,get_iterator_from_config,5,1,2
deepmipt_DeepPavlov.deeppavlov.core.commands,train,,train_evaluate_model_from_config,39,14,2
deepmipt_DeepPavlov.deeppavlov.core.commands,utils,,_parse_config_property,11,1,3
deepmipt_DeepPavlov.deeppavlov.core.commands,utils,,_get_variables_from_config,18,6,1
