Package,Module,Class,Function,LOC,CC,PC
eleurent_rl-agents.rl_agents,configuration,Configurable,__init__,7,2,1
eleurent_rl-agents.rl_agents,configuration,Configurable,update_config,2,1,1
eleurent_rl-agents.rl_agents,configuration,Configurable,default_config,4,1,1
eleurent_rl-agents.rl_agents,configuration,Configurable,rec_update,9,3,2
eleurent_rl-agents.rl_agents,configuration,Serializable,to_dict,9,4,0
eleurent_rl-agents.rl_agents,configuration,Serializable,from_dict,7,4,1
eleurent_rl-agents.rl_agents,configuration,,serialize,14,4,1
eleurent_rl-agents.rl_agents,utils,,constrain,2,1,3
eleurent_rl-agents.rl_agents,utils,,not_zero,7,1,2
eleurent_rl-agents.rl_agents,utils,,wrap_to_pi,2,1,1
eleurent_rl-agents.rl_agents,utils,,remap,7,2,4
eleurent_rl-agents.rl_agents,utils,,pos,2,1,1
eleurent_rl-agents.rl_agents,utils,,neg,2,1,1
eleurent_rl-agents.rl_agents,utils,,near_split,8,2,3
eleurent_rl-agents.rl_agents,utils,,zip_with_singletons,4,1,0
eleurent_rl-agents.rl_agents,utils,,kullback_leibler,11,4,2
eleurent_rl-agents.rl_agents,utils,,bernoulli_kullback_leibler,13,5,2
eleurent_rl-agents.rl_agents,utils,,d_bernoulli_kullback_leibler_dq,4,1,2
eleurent_rl-agents.rl_agents,utils,,kl_upper_bound,11,1,5
eleurent_rl-agents.rl_agents,utils,,newton_iteration,41,18,9
eleurent_rl-agents.rl_agents,utils,,binary_search,36,7,6
eleurent_rl-agents.rl_agents,utils,,binary_search_theta,24,6,7
eleurent_rl-agents.rl_agents,utils,,theta_func,3,1,4
eleurent_rl-agents.rl_agents,utils,,d_theta_dl_func,4,1,3
eleurent_rl-agents.rl_agents,utils,,max_expectation_under_constraint,37,7,5
eleurent_rl-agents.rl_agents,utils,,all_argmax,5,1,1
eleurent_rl-agents.rl_agents,utils,,random_argmax,5,1,1
eleurent_rl-agents.rl_agents,utils,,random_dist,3,1,1
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,__init__,13,2,2
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,default_config,48,1,1
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,act,8,1,1
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,record,6,2,6
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,update,6,1,0
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,reset,20,2,0
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,set_time,2,1,1
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,seed,4,1,1
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,save,3,1,1
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,load,6,2,1
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,eval,5,1,0
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,agent,BFTQAgent,memory,2,1,0
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,__init__,20,2,3
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,push,19,4,7
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,run,8,2,0
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,_epoch,8,1,0
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,_zip_batch,18,1,0
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,compute_targets,13,2,5
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,boostrap_next_values,21,2,3
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,compute_next_values,16,2,1
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,compute_all_frontiers,20,3,2
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,compute_all_optimal_mixtures,11,2,2
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,_fit,15,3,4
eleurent_rl-agents.rl_agents.agents.budgeted_ftq,bftq,BudgetedFittedQ,_compute_loss,11,1,4
