Package,Module,Class,Smell,Function/Method,Line no,File,Details
eleurent_rl-agents,setup,,Long statement,,3,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/setup.py,A line with 750 chars in setup exceeds the maximum length of 120 characters.
eleurent_rl-agents.rl_agents,configuration,,Long statement,serialize,81,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/configuration.py,A line with 614 chars in serialize exceeds the maximum length of 120 characters.
eleurent_rl-agents.rl_agents,configuration,Configurable,Long statement,default_config,25,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/configuration.py,A line with 149 chars in default_config exceeds the maximum length of 120 characters.
eleurent_rl-agents.rl_agents,configuration,Configurable,Long statement,rec_update,33,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/configuration.py,A line with 160 chars in rec_update exceeds the maximum length of 120 characters.
eleurent_rl-agents.rl_agents,utils,,Complex method,newton_iteration,150 - 203,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,"Method 'newton_iteration' has a cyclomatic complexity of 18, exceeding the max of 6."
eleurent_rl-agents.rl_agents,utils,,Complex method,binary_search,206 - 249,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,"Method 'binary_search' has a cyclomatic complexity of 7, exceeding the max of 6."
eleurent_rl-agents.rl_agents,utils,,Complex method,max_expectation_under_constraint,292 - 342,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,"Method 'max_expectation_under_constraint' has a cyclomatic complexity of 7, exceeding the max of 6."
eleurent_rl-agents.rl_agents,utils,,Long identifier,d_bernoulli_kullback_leibler_dq,110,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,Identifier'd_bernoulli_kullback_leibler_dq' exceeds the maximum length of 30 characters.
eleurent_rl-agents.rl_agents,utils,,Long identifier,max_expectation_under_constraint,292,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,Identifier'max_expectation_under_constraint' exceeds the maximum length of 30 characters.
eleurent_rl-agents.rl_agents,utils,,Long method,newton_iteration,150 - 203,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,Method 'newton_iteration' is too long (41 lines).
eleurent_rl-agents.rl_agents,utils,,Long parameter list,newton_iteration,150 - 203,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,"newton_iteration has 9 parameters, exceeding the max of 5."
eleurent_rl-agents.rl_agents,utils,,Long parameter list,binary_search,206 - 249,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,"binary_search has 6 parameters, exceeding the max of 5."
eleurent_rl-agents.rl_agents,utils,,Long parameter list,binary_search_theta,253 - 276,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,"binary_search_theta has 7 parameters, exceeding the max of 5."
eleurent_rl-agents.rl_agents,utils,,Long statement,near_split,44,/Volumes/BrokeExt/NICHE/eleurent_rl-agents/rl_agents/utils.py,A line with 330 chars in near_split exceeds the maximum length of 120 characters.
