Package,Module,Class,Function,LOC,CC,PC
f-dangel_backpack.backpack,__init__,backpack,__init__,21,5,0
f-dangel_backpack.backpack,__init__,backpack,__enter__,9,1,0
f-dangel_backpack.backpack,__init__,backpack,__exit__,6,1,3
f-dangel_backpack.backpack,__init__,disable,__enter__,3,1,0
f-dangel_backpack.backpack,__init__,disable,__exit__,3,1,3
f-dangel_backpack.backpack,__init__,disable,should_store_io,3,1,0
f-dangel_backpack.backpack,__init__,,hook_store_io,10,5,3
f-dangel_backpack.backpack,__init__,,memory_cleanup,8,3,1
f-dangel_backpack.backpack,__init__,,hook_run_extensions,21,6,3
f-dangel_backpack.backpack,__init__,,extend,15,5,3
f-dangel_backpack.backpack,__init__,,_register_hooks,4,1,1
f-dangel_backpack.backpack,context,CTX,set_active_exts,3,1,1
f-dangel_backpack.backpack,context,CTX,get_active_exts,3,1,0
f-dangel_backpack.backpack,context,CTX,add_hook_handle,3,1,1
f-dangel_backpack.backpack,context,CTX,remove_hooks,4,2,0
f-dangel_backpack.backpack,context,CTX,is_extension_active,3,1,0
f-dangel_backpack.backpack,context,CTX,get_debug,3,1,0
f-dangel_backpack.backpack,context,CTX,set_debug,3,1,1
f-dangel_backpack.backpack,context,CTX,get_extension_hook,3,1,0
f-dangel_backpack.backpack,context,CTX,set_extension_hook,3,1,1
f-dangel_backpack.backpack,context,CTX,set_retain_graph,3,1,1
f-dangel_backpack.backpack,context,CTX,get_retain_graph,3,1,0
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPoolNDDerivatives,check_parameters,13,3,1
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPoolNDDerivatives,get_avg_pool_parameters,13,2,1
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPool1dDerivatives,__init__,2,1,0
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPool2dDerivatives,__init__,2,1,0
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPool3dDerivatives,__init__,2,1,0
f-dangel_backpack.backpack.core.derivatives,avgpool1d,AvgPool1DDerivatives,__init__,2,1,0
f-dangel_backpack.backpack.core.derivatives,avgpool2d,AvgPool2DDerivatives,__init__,2,1,0
f-dangel_backpack.backpack.core.derivatives,avgpool3d,AvgPool3DDerivatives,__init__,2,1,0
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,__init__,4,1,1
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,check_parameters,5,1,1
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,get_avg_pool_parameters,3,1,1
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,hessian_is_zero,2,1,1
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,ea_jac_t_mat_jac_prod,15,1,4
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,_jac_mat_prod,6,1,4
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,__make_single_channel,4,1,2
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,__apply_jacobian_of,14,1,2
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,__check_jmp_out_as_pool,4,1,3
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,_jac_t_mat_prod,5,1,5
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,__apply_jacobian_t_of,17,1,2
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,jac_mat_prod,3,1,4
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,_jac_mat_prod,2,1,4
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,jac_t_mat_prod,3,1,5
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,_jac_t_mat_prod,2,1,5
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,ea_jac_t_mat_jac_prod,3,1,4
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,hessian_is_zero,3,1,1
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,hessian_is_diagonal,3,1,1
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,hessian_diagonal,3,1,3
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,hessian_is_psd,3,1,0
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,residual_mat_prod,3,1,4
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,_residual_mat_prod,2,1,4
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,_reshape_like,3,1,2
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,reshape_like_input,6,2,4
f-dangel_backpack.backpack.core.derivatives,basederivatives,BaseDerivatives,reshape_like_output,3,1,3
