Package,Module,Class,Smell,Function/Method,Line no,File,Details
f-dangel_backpack.backpack,__init__,,Long statement,hook_store_io,158,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 364 chars in hook_store_io exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,,Long statement,memory_cleanup,179,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 165 chars in memory_cleanup exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,,Long statement,hook_run_extensions,197,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 214 chars in hook_run_extensions exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,,Long statement,extend,230,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 591 chars in extend exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,,Long statement,_register_hooks,265,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 123 chars in _register_hooks exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,backpack,Long statement,__init__,29,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 1173 chars in __init__ exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,backpack,Long statement,__init__,55,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 167 chars in __init__ exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,backpack,Long statement,__exit__,90,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 184 chars in __exit__ exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,disable,Long statement,__exit__,136,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 184 chars in __exit__ exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,__init__,disable,Long statement,should_store_io,147,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/__init__.py,A line with 176 chars in should_store_io exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,context,CTX,Long statement,add_hook_handle,41,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/context.py,A line with 130 chars in add_hook_handle exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,context,CTX,Long statement,is_extension_active,57,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/context.py,A line with 226 chars in is_extension_active exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,context,CTX,Long statement,get_extension_hook,87,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/context.py,A line with 139 chars in get_extension_hook exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack,context,CTX,Long statement,set_extension_hook,96,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/context.py,A line with 142 chars in set_extension_hook exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPoolNDDerivatives,Long statement,check_parameters,17,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/adaptive_avg_pool_nd.py,A line with 474 chars in check_parameters exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPoolNDDerivatives,Long statement,check_parameters,41,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/adaptive_avg_pool_nd.py,A line with 144 chars in check_parameters exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPoolNDDerivatives,Long statement,get_avg_pool_parameters,49,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/adaptive_avg_pool_nd.py,A line with 312 chars in get_avg_pool_parameters exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPoolNDDerivatives,Magic number,check_parameters,34,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/adaptive_avg_pool_nd.py,Magic number 2 used in check_parameters.
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPoolNDDerivatives,Magic number,get_avg_pool_parameters,67,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/adaptive_avg_pool_nd.py,Magic number 2 used in get_avg_pool_parameters.
f-dangel_backpack.backpack.core.derivatives,adaptive_avg_pool_nd,AdaptiveAvgPoolNDDerivatives,Magic number,get_avg_pool_parameters,68,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/adaptive_avg_pool_nd.py,Magic number 2 used in get_avg_pool_parameters.
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,Long statement,check_parameters,25,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/avgpoolnd.py,A line with 126 chars in check_parameters exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,Long statement,get_avg_pool_parameters,31,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/avgpoolnd.py,A line with 155 chars in get_avg_pool_parameters exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,Long statement,__apply_jacobian_of,82,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/avgpoolnd.py,A line with 143 chars in __apply_jacobian_of exceeds the maximum length of 120 characters.
f-dangel_backpack.backpack.core.derivatives,avgpoolnd,AvgPoolNDDerivatives,Long statement,__apply_jacobian_t_of,122,/Volumes/BrokeExt/NICHE/f-dangel_backpack/backpack/core/derivatives/avgpoolnd.py,A line with 168 chars in __apply_jacobian_t_of exceeds the maximum length of 120 characters.
