Package,Module,Class,Function,LOC,CC,PC
facebookresearch_pyrobot,setup,,read_requirements_file,4,1,1
facebookresearch_pyrobot.docs.sphinx.source,conf,Mock,__getattr__,2,1,2
facebookresearch_pyrobot.examples.crash_detection,locobot_kobuki,,download_if_not_present,12,5,2
facebookresearch_pyrobot.examples.crash_detection,locobot_kobuki,,go_straight,5,1,3
facebookresearch_pyrobot.examples.crash_detection,locobot_kobuki,,turn_left,5,1,3
facebookresearch_pyrobot.examples.crash_detection,locobot_kobuki,,turn_right,5,1,3
facebookresearch_pyrobot.examples.crash_detection,locobot_kobuki,,main,46,10,1
facebookresearch_pyrobot.examples.crash_detection.crash_utils,data_loader,DroneCrashDataset,__init__,18,2,5
facebookresearch_pyrobot.examples.crash_detection.crash_utils,data_loader,DroneCrashDataset,__len__,2,1,0
facebookresearch_pyrobot.examples.crash_detection.crash_utils,data_loader,DroneCrashDataset,__getitem__,11,2,1
facebookresearch_pyrobot.examples.crash_detection.crash_utils,model,CrashDetectorNet,__init__,8,2,2
facebookresearch_pyrobot.examples.crash_detection.crash_utils,model,CrashDetectorNet,forward,7,1,1
facebookresearch_pyrobot.examples.crash_detection.crash_utils,model,CrashDetectorNet,_one_forward,12,1,1
facebookresearch_pyrobot.examples.crash_detection.crash_utils,model,CrashDetectorNet,load_from_pretrained_resnet18,3,1,0
facebookresearch_pyrobot.examples.crash_detection.crash_utils,test,Tester,__init__,2,1,1
facebookresearch_pyrobot.examples.crash_detection.crash_utils,test,Tester,test,5,1,1
facebookresearch_pyrobot.examples.crash_detection.crash_utils,test,Tester,convert_to_PIL,21,1,1
facebookresearch_pyrobot.examples.crash_detection.crash_utils,test,,main,15,1,0
facebookresearch_pyrobot.examples.crash_detection.crash_utils,train,Trainer,__init__,26,4,2
facebookresearch_pyrobot.examples.crash_detection.crash_utils,train,Trainer,create_model,4,2,0
facebookresearch_pyrobot.examples.crash_detection.crash_utils,train,Trainer,make_cuda_batch,5,2,1
facebookresearch_pyrobot.examples.crash_detection.crash_utils,train,Trainer,train_model,79,17,4
facebookresearch_pyrobot.examples.crash_detection.crash_utils,train,,main,32,2,0
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,__init__,20,1,4
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,reset,12,3,0
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,_process_depth,6,2,1
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,_get_z_mean,17,5,3
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,_get_3D_camera,21,3,2
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,_convert_frames,17,1,1
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,get_3D,5,1,2
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,compute_grasp,15,2,2
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,grasp,28,1,1
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,set_pose,12,3,3
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,get_grasp_angle,10,3,1
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,exit,6,1,0
facebookresearch_pyrobot.examples.grasping,locobot,Grasper,signal_handler,4,1,2
facebookresearch_pyrobot.examples.grasping,locobot,,main,14,3,1
facebookresearch_pyrobot.examples.grasping.grasp_samplers,deeper_models,IfullRobHWNet,__init__,20,4,5
facebookresearch_pyrobot.examples.grasping.grasp_samplers,deeper_models,IfullRobHWNet,forward,22,1,5
facebookresearch_pyrobot.examples.grasping.grasp_samplers,deeper_models,IfullRobHWNet,_one_forward,12,1,1
facebookresearch_pyrobot.examples.grasping.grasp_samplers,deeper_models,IfullRobHWNet,load_from_pretrained_resnet18,3,1,0
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_model,GraspModel,__init__,25,2,9
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_model,GraspModel,predict,91,10,1
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_model,GraspModel,_predict_image,20,2,3
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_model,GraspModel,display_predicted_image,9,2,0
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_model,GraspModel,save_predicted_image,6,2,1
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_model,,download_if_not_present,12,5,2
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_model,,drawRectangle,52,1,5
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_object,GraspTorchObj,__init__,12,3,2
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_object,GraspTorchObj,test_one_batch,25,2,6
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_object,GraspTorchObj,convert_cv2_patches,14,3,1
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_object,GraspTorchObj,convert_hw,4,1,1
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_object,GraspTorchObj,convert_one_hot,9,1,1
facebookresearch_pyrobot.examples.grasping.grasp_samplers,grasp_object,GraspTorchObj,convert_robot_one_hot,9,1,1
