Package,Module,Smell,Class/Module,Line no,File,Details
fepegar_torchio.src.torchio,constants,Broken modularization,constants,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/constants.py,Module 'constants' contains only data members without any method implementations.
fepegar_torchio.src.torchio,typing,Broken modularization,typing,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/typing.py,Module 'typing' contains only data members without any method implementations.
fepegar_torchio.src.torchio,utils,Insufficient modularization,utils,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,"Module 'utils' is insufficiently modularized with NOPM: 21, WMC: 57, NOM: 21."
fepegar_torchio.src.torchio.data,dataset,Wide hierarchy,SubjectsDataset,0,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/data/dataset.py,Class 'SubjectsDataset' has a wide hierarchy with 7 direct subclasses.
fepegar_torchio.src.torchio.data,image,Insufficient modularization,Image,60,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/data/image.py,"Class 'Image' is insufficiently modularized with NOPM: 38, WMC: 119, NOM: 53."
fepegar_torchio.src.torchio.data,image,Insufficient modularization,image,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/data/image.py,"Module 'image' is insufficiently modularized with NOPM: 0, WMC: 128, NOM: 0."
fepegar_torchio.src.torchio.data,image,Multifaceted abstraction,LabelMap,881,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/data/image.py,"Class 'LabelMap' has a high LCOM value of 1, indicating it may have multiple responsibilities."
fepegar_torchio.src.torchio.data,subject,Insufficient modularization,Subject,23,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/data/subject.py,"Class 'Subject' is insufficiently modularized with NOPM: 26, WMC: 63, NOM: 33."
fepegar_torchio.src.torchio.data.sampler,sampler,Broken hierarchy,RandomSampler,105,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/data/sampler/sampler.py,Class 'RandomSampler' and its superclass 'PatchSampler' may not share a proper 'IS-A' relationship.
fepegar_torchio.src.torchio.datasets,fpg,Broken hierarchy,FPG,12,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/datasets/fpg.py,Class 'FPG' and its superclass '_RawSubjectCopySubject' may not share a proper 'IS-A' relationship.
