Package,Module,Class,Smell,Function/Method,Line no,File,Details
fepegar_torchio.docs.examples,plot_3d_to_2d,,Long statement,,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_3d_to_2d.py,A line with 171 chars in plot_3d_to_2d exceeds the maximum length of 120 characters.
fepegar_torchio.docs.examples,plot_custom_z_spacing,,Long statement,,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_custom_z_spacing.py,A line with 257 chars in plot_custom_z_spacing exceeds the maximum length of 120 characters.
fepegar_torchio.docs.examples,plot_history,,Long statement,,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_history.py,A line with 329 chars in plot_history exceeds the maximum length of 120 characters.
fepegar_torchio.docs.examples,plot_history,,Long statement,,25,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_history.py,A line with 156 chars in plot_history exceeds the maximum length of 120 characters.
fepegar_torchio.docs.examples,plot_include_exclude,,Long statement,,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_include_exclude.py,A line with 215 chars in plot_include_exclude exceeds the maximum length of 120 characters.
fepegar_torchio.docs.examples,plot_include_exclude,,Long statement,,17,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_include_exclude.py,A line with 121 chars in plot_include_exclude exceeds the maximum length of 120 characters.
fepegar_torchio.docs.examples,plot_video,,Long statement,,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_video.py,A line with 262 chars in plot_video exceeds the maximum length of 120 characters.
fepegar_torchio.docs.examples,plot_video,,Magic number,read_clip,20,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_video.py,Magic number 4 used in read_clip.
fepegar_torchio.docs.examples,plot_video,,Magic number,plot_gif,42,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/examples/plot_video.py,Magic number 25 used in plot_gif.
fepegar_torchio.docs.source,conf,,Long statement,,39,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/source/conf.py,A line with 269 chars in conf exceeds the maximum length of 120 characters.
fepegar_torchio.docs.source,conf,,Long statement,,192,/Volumes/BrokeExt/NICHE/fepegar_torchio/docs/source/conf.py,A line with 142 chars in conf exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,__init__,,Long statement,,29,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/__init__.py,A line with 253 chars in __init__ exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,download,,Complex method,extract_archive,95 - 120,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/download.py,"Method 'extract_archive' has a cyclomatic complexity of 9, exceeding the max of 6."
fepegar_torchio.src.torchio,download,,Long parameter list,download_and_extract_archive,53 - 68,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/download.py,"download_and_extract_archive has 6 parameters, exceeding the max of 5."
fepegar_torchio.src.torchio,download,,Long statement,download_url,130,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/download.py,A line with 330 chars in download_url exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,download,,Long statement,,1,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/download.py,A line with 153 chars in download exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,download,,Magic number,calculate_md5,20,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/download.py,Magic number 1024 used in calculate_md5.
fepegar_torchio.src.torchio,download,,Magic number,calculate_md5,20,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/download.py,Magic number 1024 used in calculate_md5.
fepegar_torchio.src.torchio,download,,Magic number,download_url,155,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/download.py,Magic number 5 used in download_url.
fepegar_torchio.src.torchio,reference,,Long statement,,8,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/reference.py,A line with 667 chars in reference exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,reference,,Long statement,,20,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/reference.py,A line with 146 chars in reference exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,reference,,Long statement,,34,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/reference.py,A line with 123 chars in reference exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,utils,,Empty catch block,is_iterable,415,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,Empty catch block found in is_iterable.
fepegar_torchio.src.torchio,utils,,Long method,create_dummy_dataset,82 - 144,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,Method 'create_dummy_dataset' is too long (53 lines).
fepegar_torchio.src.torchio,utils,,Long parameter list,create_dummy_dataset,82 - 144,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,"create_dummy_dataset has 6 parameters, exceeding the max of 5."
fepegar_torchio.src.torchio,utils,,Long statement,to_tuple,35,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,A line with 467 chars in to_tuple exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,utils,,Long statement,get_stem,65,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,A line with 170 chars in get_stem exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,utils,,Long statement,get_batch_images_and_size,249,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,A line with 365 chars in get_batch_images_and_size exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,utils,,Long statement,get_subjects_from_batch,270,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,A line with 202 chars in get_subjects_from_batch exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,utils,,Long statement,add_images_from_batch,318,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,A line with 650 chars in add_images_from_batch exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,utils,,Long statement,guess_external_viewer,347,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,A line with 180 chars in guess_external_viewer exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,utils,,Long statement,in_torch_loader,433,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,A line with 128 chars in in_torch_loader exceeds the maximum length of 120 characters.
fepegar_torchio.src.torchio,utils,,Magic number,create_dummy_dataset,128,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,Magic number 2 used in create_dummy_dataset.
fepegar_torchio.src.torchio,utils,,Magic number,create_dummy_dataset,129,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,Magic number 255 used in create_dummy_dataset.
fepegar_torchio.src.torchio,utils,,Magic number,create_dummy_dataset,127,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,Magic number 0.33 used in create_dummy_dataset.
fepegar_torchio.src.torchio,utils,,Magic number,create_dummy_dataset,128,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,Magic number 0.66 used in create_dummy_dataset.
fepegar_torchio.src.torchio,utils,,Magic number,get_major_sitk_version,216,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,Magic number 2 used in get_major_sitk_version.
fepegar_torchio.src.torchio,utils,,Magic number,parse_spatial_shape,398,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/utils.py,Magic number 3 used in parse_spatial_shape.
fepegar_torchio.src.torchio,visualization,,Complex method,plot_volume,31 - 109,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/visualization.py,"Method 'plot_volume' has a cyclomatic complexity of 15, exceeding the max of 6."
fepegar_torchio.src.torchio,visualization,,Complex method,plot_subject,112 - 159,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/visualization.py,"Method 'plot_subject' has a cyclomatic complexity of 9, exceeding the max of 6."
fepegar_torchio.src.torchio,visualization,,Empty catch block,plot_subject,130,/Volumes/BrokeExt/NICHE/fepegar_torchio/src/torchio/visualization.py,Empty catch block found in plot_subject.
