Package,Module,Class,Smell,Function/Method,Line no,File,Details
fizyr_keras-retinanet,setup,,Long statement,,45,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/setup.py,A line with 814 chars in setup exceeds the maximum length of 120 characters.
fizyr_keras-retinanet.keras_retinanet,initializers,,Long statement,,1,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/initializers.py,A line with 588 chars in initializers exceeds the maximum length of 120 characters.
fizyr_keras-retinanet.keras_retinanet,initializers,PriorProbability,Magic number,__init__,26,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/initializers.py,Magic number 0.01 used in __init__.
fizyr_keras-retinanet.keras_retinanet,losses,,Long statement,focal,22,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,A line with 332 chars in focal exceeds the maximum length of 120 characters.
fizyr_keras-retinanet.keras_retinanet,losses,,Long statement,focal,33,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,A line with 420 chars in focal exceeds the maximum length of 120 characters.
fizyr_keras-retinanet.keras_retinanet,losses,,Long statement,smooth_l1,72,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,A line with 244 chars in smooth_l1 exceeds the maximum length of 120 characters.
fizyr_keras-retinanet.keras_retinanet,losses,,Long statement,smooth_l1,83,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,A line with 373 chars in smooth_l1 exceeds the maximum length of 120 characters.
fizyr_keras-retinanet.keras_retinanet,losses,,Long statement,smooth_l1,107,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,A line with 202 chars in smooth_l1 exceeds the maximum length of 120 characters.
fizyr_keras-retinanet.keras_retinanet,losses,,Long statement,,1,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,A line with 588 chars in losses exceeds the maximum length of 120 characters.
fizyr_keras-retinanet.keras_retinanet,losses,,Magic number,focal,21,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,Magic number 0.25 used in focal.
fizyr_keras-retinanet.keras_retinanet,losses,,Magic number,focal,21,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,Magic number 2.0 used in focal.
fizyr_keras-retinanet.keras_retinanet,losses,,Magic number,focal,21,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,Magic number 0.5 used in focal.
fizyr_keras-retinanet.keras_retinanet,losses,,Magic number,smooth_l1,71,/Volumes/BrokeExt/NICHE/fizyr_keras-retinanet/keras_retinanet/losses.py,Magic number 3.0 used in smooth_l1.
