Package,Module,Class,Smell,Function/Method,Line no,File,Details
geoopt_geoopt.docs,conf,,Long statement,,38,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/conf.py,A line with 191 chars in conf exceeds the maximum length of 120 characters.
geoopt_geoopt.docs,conf,,Long statement,,325,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/conf.py,A line with 140 chars in conf exceeds the maximum length of 120 characters.
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Complex method,add_geodesic_grid,15 - 95,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,"Method 'add_geodesic_grid' has a cyclomatic complexity of 7, exceeding the max of 6."
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Long method,add_geodesic_grid,15 - 95,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Method 'add_geodesic_grid' is too long (59 lines).
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Magic number,add_geodesic_grid,15,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Magic number 0.1 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Magic number,add_geodesic_grid,18,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Magic number 10000 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Magic number,add_geodesic_grid,44,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Magic number 4 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Magic number,add_geodesic_grid,44,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Magic number 6 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Magic number,add_geodesic_grid,45,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Magic number 2 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Magic number,add_geodesic_grid,38,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Magic number 2 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Magic number,add_geodesic_grid,54,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Magic number 2.0 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance,,Magic number,add_geodesic_grid,52,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance.py,Magic number 1.2 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance2plane,,Complex method,add_geodesic_grid,16 - 96,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance2plane.py,"Method 'add_geodesic_grid' has a cyclomatic complexity of 7, exceeding the max of 6."
geoopt_geoopt.docs.plots.extended.stereographic,distance2plane,,Long method,add_geodesic_grid,16 - 96,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance2plane.py,Method 'add_geodesic_grid' is too long (59 lines).
geoopt_geoopt.docs.plots.extended.stereographic,distance2plane,,Magic number,add_geodesic_grid,16,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance2plane.py,Magic number 0.1 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance2plane,,Magic number,add_geodesic_grid,19,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance2plane.py,Magic number 10000 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance2plane,,Magic number,add_geodesic_grid,45,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance2plane.py,Magic number 4 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance2plane,,Magic number,add_geodesic_grid,45,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance2plane.py,Magic number 6 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance2plane,,Magic number,add_geodesic_grid,46,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance2plane.py,Magic number 2 used in add_geodesic_grid.
geoopt_geoopt.docs.plots.extended.stereographic,distance2plane,,Magic number,add_geodesic_grid,39,/Volumes/BrokeExt/NICHE/geoopt_geoopt/docs/plots/extended/stereographic/distance2plane.py,Magic number 2 used in add_geodesic_grid.
