Package,Module,Class,Smell,Function/Method,Line no,File,Details
geyang_ml_logger.docs,conf,,Long statement,,30,/Volumes/BrokeExt/NICHE/geyang_ml_logger/docs/conf.py,A line with 148 chars in conf exceeds the maximum length of 120 characters.
geyang_ml_logger.docs,conf,,Long statement,,123,/Volumes/BrokeExt/NICHE/geyang_ml_logger/docs/conf.py,A line with 125 chars in conf exceeds the maximum length of 120 characters.
geyang_ml_logger.docs,conf,,Long statement,,167,/Volumes/BrokeExt/NICHE/geyang_ml_logger/docs/conf.py,A line with 189 chars in conf exceeds the maximum length of 120 characters.
geyang_ml_logger.ml_logger,full_duplex,Duplex,Long statement,__init__,31,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/full_duplex.py,A line with 196 chars in __init__ exceeds the maximum length of 120 characters.
geyang_ml_logger.ml_logger,full_duplex,Duplex,Long statement,read_buffer,74,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/full_duplex.py,A line with 138 chars in read_buffer exceeds the maximum length of 120 characters.
geyang_ml_logger.ml_logger,full_duplex,Duplex,Magic number,__init__,30,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/full_duplex.py,Magic number 10 used in __init__.
geyang_ml_logger.ml_logger,full_duplex,Duplex,Magic number,run,58,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/full_duplex.py,Magic number 0.1 used in run.
geyang_ml_logger.ml_logger,full_duplex,Duplex,Magic number,run,58,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/full_duplex.py,Magic number 0.5 used in run.
geyang_ml_logger.ml_logger,job,,Complex method,instr,106 - 252,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/job.py,"Method 'instr' has a cyclomatic complexity of 13, exceeding the max of 6."
geyang_ml_logger.ml_logger,job,,Complex method,needs_relaunch,272 - 317,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/job.py,"Method 'needs_relaunch' has a cyclomatic complexity of 11, exceeding the max of 6."
geyang_ml_logger.ml_logger,job,,Empty catch block,instr,203,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/job.py,Empty catch block found in instr.
geyang_ml_logger.ml_logger,job,,Long method,instr,106 - 252,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/job.py,Method 'instr' is too long (124 lines).
geyang_ml_logger.ml_logger,job,,Long statement,instr,107,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/job.py,A line with 628 chars in instr exceeds the maximum length of 120 characters.
geyang_ml_logger.ml_logger,job,,Long statement,instr,152,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/job.py,A line with 226 chars in instr exceeds the maximum length of 120 characters.
geyang_ml_logger.ml_logger,job,,Long statement,instr,161,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/job.py,A line with 121 chars in instr exceeds the maximum length of 120 characters.
geyang_ml_logger.ml_logger,job,,Long statement,instr,176,/Volumes/BrokeExt/NICHE/geyang_ml_logger/ml_logger/job.py,A line with 122 chars in instr exceeds the maximum length of 120 characters.
