Package,Module,Class,Function,LOC,CC,PC
google-research_meta-dataset,setup,DownloadSimCLRAugmentationCommand,initialize_options,2,1,0
google-research_meta-dataset,setup,DownloadSimCLRAugmentationCommand,finalize_options,2,1,0
google-research_meta-dataset,setup,DownloadSimCLRAugmentationCommand,run,9,2,0
google-research_meta-dataset,setup,InstallCommand,run,3,1,0
google-research_meta-dataset.meta_dataset,analyze,,compute_class_precision,7,1,3
google-research_meta-dataset.meta_dataset,analyze,,compute_episode_accuracy,4,1,2
google-research_meta-dataset.meta_dataset,analyze,,get_shot_to_precision,11,3,3
google-research_meta-dataset.meta_dataset,analyze,,get_imbalance_to_accuracy,18,3,3
google-research_meta-dataset.meta_dataset,analyze,,get_way_to_accuracy,10,2,3
google-research_meta-dataset.meta_dataset,analyze,,get_finegrainedness_split_enum,8,4,0
google-research_meta-dataset.meta_dataset,analyze,,get_synsets_from_class_ids,11,2,1
google-research_meta-dataset.meta_dataset,analyze,,get_height_to_accuracy,20,3,3
google-research_meta-dataset.meta_dataset,analyze,,summarize_values_stats,13,4,1
google-research_meta-dataset.meta_dataset,analyze,,read_data,34,13,3
google-research_meta-dataset.meta_dataset,analyze,,write_pkl,5,1,2
google-research_meta-dataset.meta_dataset,analyze,,read_pkl,8,1,1
google-research_meta-dataset.meta_dataset,analyze,,get_event_files,21,5,1
google-research_meta-dataset.meta_dataset,analyze,,get_output_path,5,1,1
google-research_meta-dataset.meta_dataset,analyze,,combine_dicts,7,3,1
google-research_meta-dataset.meta_dataset,analyze,,analyze_events,96,6,5
google-research_meta-dataset.meta_dataset,analyze,,main,9,2,1
google-research_meta-dataset.meta_dataset,distribute_utils,,_pad,9,1,3
google-research_meta-dataset.meta_dataset,distribute_utils,,aggregate,15,1,1
google-research_meta-dataset.meta_dataset,test_utils,,get_argspec,12,2,1
google-research_meta-dataset.meta_dataset,test_utils,,get_inherited_args,6,3,2
google-research_meta-dataset.meta_dataset,test_utils,,get_valid_kwargs,16,1,3
google-research_meta-dataset.meta_dataset,train,,parse_cmdline_gin_configurations,4,1,0
google-research_meta-dataset.meta_dataset,train,,operative_config_path,2,1,2
google-research_meta-dataset.meta_dataset,train,,load_operative_gin_configurations,6,1,1
google-research_meta-dataset.meta_dataset,train,,record_operative_gin_configurations,6,2,1
google-research_meta-dataset.meta_dataset,train,,main,76,17,1
google-research_meta-dataset.meta_dataset,train_flute,,main,73,15,1
google-research_meta-dataset.meta_dataset,trainer,UnexpectedSplitError,__init__,4,1,2
google-research_meta-dataset.meta_dataset,trainer,Trainer,__init__,212,35,34
google-research_meta-dataset.meta_dataset,trainer,Trainer,build_learner,103,-3,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,get_episode_info,19,3,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,create_summary_writer,17,4,0
google-research_meta-dataset.meta_dataset,trainer,Trainer,create_learner,25,4,4
google-research_meta-dataset.meta_dataset,trainer,Trainer,get_benchmark_specification,109,23,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,initialize_session,21,3,0
google-research_meta-dataset.meta_dataset,trainer,Trainer,initialize_saver,73,11,0
google-research_meta-dataset.meta_dataset,trainer,Trainer,get_batch_or_episodic_specification,5,1,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,_create_train_specification,14,3,0
google-research_meta-dataset.meta_dataset,trainer,Trainer,_create_eval_specification,9,2,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,_restrict_dataset_list_for_split,7,3,3
google-research_meta-dataset.meta_dataset,trainer,Trainer,get_num_to_take,7,3,2
google-research_meta-dataset.meta_dataset,trainer,Trainer,build_data,19,4,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,_build_vtab_episode,22,0,0
google-research_meta-dataset.meta_dataset,trainer,Trainer,_build_dumped_episode,27,0,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,_build_episode,91,10,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,_build_batch,59,6,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,get_run_fn_with_train_op,53,6,3
google-research_meta-dataset.meta_dataset,trainer,Trainer,get_updated_global_step,4,1,0
google-research_meta-dataset.meta_dataset,trainer,Trainer,train,41,9,0
google-research_meta-dataset.meta_dataset,trainer,Trainer,maybe_evaluate,13,3,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,evaluate,36,7,2
google-research_meta-dataset.meta_dataset,trainer,Trainer,add_eval_summaries,7,2,0
google-research_meta-dataset.meta_dataset,trainer,Trainer,_add_eval_summaries_split,18,5,1
google-research_meta-dataset.meta_dataset,trainer,Trainer,_get_logit_dim,19,4,3
google-research_meta-dataset.meta_dataset,trainer,,get_datasets_and_restrictions,11,4,5
google-research_meta-dataset.meta_dataset,trainer,,apply_dataset_options,3,1,1
google-research_meta-dataset.meta_dataset,trainer,,compute_class_proportions,15,1,3
google-research_meta-dataset.meta_dataset,trainer,,get_split_enum,11,4,1
google-research_meta-dataset.meta_dataset,trainer,,restore_or_log_informative_error,9,2,3
google-research_meta-dataset.meta_dataset,trainer_flute,UnexpectedSplitError,__init__,4,1,2
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,__init__,249,50,40
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,build_learner,115,2,1
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,get_episode_info,19,3,1
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,create_summary_writer,17,4,0
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,create_learner,28,4,4
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,get_benchmark_specification,109,23,1
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,initialize_session,21,3,0
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,initialize_saver,94,15,0
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,get_batch_or_episodic_specification,5,1,1
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,_create_train_specification,14,3,0
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,_create_eval_specification,13,3,1
google-research_meta-dataset.meta_dataset,trainer_flute,Trainer,_restrict_dataset_list_for_split,7,3,3
