Package,Module,Class,Smell,Function/Method,Line no,File,Details
google_automl.efficientdet,coco_metric,EvaluationMetric,Complex method,evaluate,92 - 169,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,"Method 'evaluate' has a cyclomatic complexity of 7, exceeding the max of 6."
google_automl.efficientdet,coco_metric,EvaluationMetric,Complex method,update_state,177 - 236,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,"Method 'update_state' has a cyclomatic complexity of 9, exceeding the max of 6."
google_automl.efficientdet,coco_metric,EvaluationMetric,Long method,evaluate,92 - 169,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,Method 'evaluate' is too long (67 lines).
google_automl.efficientdet,coco_metric,EvaluationMetric,Long method,update_state,177 - 236,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,Method 'update_state' is too long (48 lines).
google_automl.efficientdet,coco_metric,EvaluationMetric,Long statement,__init__,57,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 725 chars in __init__ exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,EvaluationMetric,Long statement,evaluate,93,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 333 chars in evaluate exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,EvaluationMetric,Long statement,evaluate,104,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 166 chars in evaluate exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,EvaluationMetric,Long statement,evaluate,123,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 193 chars in evaluate exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,EvaluationMetric,Long statement,update_state,178,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 580 chars in update_state exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,EvaluationMetric,Long statement,update_state,220,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 231 chars in update_state exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,EvaluationMetric,Long statement,estimator_metric_fn,240,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 974 chars in estimator_metric_fn exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,,Long statement,,15,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 151 chars in coco_metric exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,,Long statement,,29,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,A line with 144 chars in coco_metric exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric,EvaluationMetric,Magic number,update_state,215,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,Magic number 4 used in update_state.
google_automl.efficientdet,coco_metric,EvaluationMetric,Magic number,update_state,217,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,Magic number 6 used in update_state.
google_automl.efficientdet,coco_metric,EvaluationMetric,Magic number,update_state,214,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,Magic number 4 used in update_state.
google_automl.efficientdet,coco_metric,EvaluationMetric,Magic number,update_state,216,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,Magic number 3 used in update_state.
google_automl.efficientdet,coco_metric,EvaluationMetric,Magic number,update_state,216,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric.py,Magic number 2 used in update_state.
google_automl.efficientdet,coco_metric_test,CocoMetricTest,Long statement,setUp,27,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric_test.py,A line with 180 chars in setUp exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric_test,CocoMetricTest,Long statement,setUp,33,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric_test.py,A line with 128 chars in setUp exceeds the maximum length of 120 characters.
google_automl.efficientdet,coco_metric_test,CocoMetricTest,Magic number,setUp,37,/Volumes/BrokeExt/NICHE/google_automl/efficientdet/coco_metric_test.py,Magic number 2 used in setUp.
