Package,Module,Class,Function,LOC,CC,PC
google_nucleus.nucleus.examples,add_ad_to_vcf,,get_variant_ad,7,1,1
google_nucleus.nucleus.examples,add_ad_to_vcf,,main,18,4,1
google_nucleus.nucleus.examples,add_ad_to_vcf_test,AddAdToVcfTest,test_main,17,1,0
google_nucleus.nucleus.examples,apply_genotyping_prior,,recall_variant,21,6,2
google_nucleus.nucleus.examples,apply_genotyping_prior,,main,11,2,1
google_nucleus.nucleus.examples,apply_genotyping_prior_test,RecallVariantsTest,test_recall_variant,13,1,0
google_nucleus.nucleus.examples,ascii_pileup,,read_str,6,1,4
google_nucleus.nucleus.examples,ascii_pileup,,ascii_pileup,16,1,2
google_nucleus.nucleus.examples,ascii_pileup,,main,7,2,1
google_nucleus.nucleus.examples,ascii_pileup_test,AsciiPileupTest,test_read_str,4,1,0
google_nucleus.nucleus.examples,ascii_pileup_test,AsciiPileupTest,test_ascii_pileup,10,1,0
google_nucleus.nucleus.examples,count_variants,,main,19,4,1
google_nucleus.nucleus.examples,count_variants_test,CountVariantsTest,test_main,11,1,0
google_nucleus.nucleus.examples,filter_vcf,,main,12,4,1
google_nucleus.nucleus.examples,filter_vcf_test,FilterVcfTest,test_main,11,2,0
google_nucleus.nucleus.examples,print_tfrecord,,main,14,4,1
google_nucleus.nucleus.examples,validate_vcf,,validate_contigs,8,2,2
google_nucleus.nucleus.examples,validate_vcf,,validate_variant,15,3,2
google_nucleus.nucleus.examples,validate_vcf,,main,13,3,1
google_nucleus.nucleus.examples,validate_vcf_test,ValidateVcfTest,test_validate_contigs,16,1,0
google_nucleus.nucleus.examples,validate_vcf_test,ValidateVcfTest,test_validate_variant,16,1,0
google_nucleus.nucleus.examples,validate_vcf_test,ValidateVcfTest,test_main,7,1,0
google_nucleus.nucleus.io,bed,NativeBedReader,__init__,7,1,2
google_nucleus.nucleus.io,bed,NativeBedReader,query,3,1,0
google_nucleus.nucleus.io,bed,NativeBedReader,iterate,2,1,0
google_nucleus.nucleus.io,bed,NativeBedReader,__exit__,2,1,3
google_nucleus.nucleus.io,bed,BedReader,_native_reader,2,1,1
google_nucleus.nucleus.io,bed,BedReader,_record_proto,2,1,0
google_nucleus.nucleus.io,bed,NativeBedWriter,__init__,8,2,2
google_nucleus.nucleus.io,bed,NativeBedWriter,write,2,1,1
google_nucleus.nucleus.io,bed,NativeBedWriter,__exit__,2,1,3
google_nucleus.nucleus.io,bed,BedWriter,_native_writer,2,1,2
google_nucleus.nucleus.io,bed_test,BedReaderTests,test_bed_reader_on_5_columns_because_mistaken_as_fai,7,1,1
