Package,Module,Class,Function,LOC,CC,PC
greentfrapp_lucent,demo,,main,18,2,0
greentfrapp_lucent.lucent,util,,set_seed,6,1,1
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,__init__,22,8,2
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,_apply_flat,10,1,3
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,fit,3,1,1
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,fit_transform,3,1,1
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,transform,2,1,1
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,__call__,5,1,1
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,__getattr__,5,2,1
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,__dir__,11,2,0
greentfrapp_lucent.lucent.misc.io,collapse_channels,,hue_to_rgb,24,3,2
greentfrapp_lucent.lucent.misc.io,collapse_channels,,sparse_channels_to_rgb,13,2,1
greentfrapp_lucent.lucent.misc.io,collapse_channels,,collapse_channels,4,2,1
greentfrapp_lucent.lucent.misc.io,serialize_array,,_normalize_array,27,8,2
greentfrapp_lucent.lucent.misc.io,serialize_array,,_serialize_normalized_array,11,1,3
greentfrapp_lucent.lucent.misc.io,serialize_array,,serialize_array,4,1,4
greentfrapp_lucent.lucent.misc.io,serialize_array,,array_to_jsbuffer,23,3,1
greentfrapp_lucent.lucent.misc.io,showing,,_display_html,2,1,1
greentfrapp_lucent.lucent.misc.io,showing,,_image_url,9,2,5
greentfrapp_lucent.lucent.misc.io,showing,,_image_html,6,2,4
greentfrapp_lucent.lucent.misc.io,showing,,image,5,1,4
greentfrapp_lucent.lucent.misc.io,showing,,images,12,2,4
greentfrapp_lucent.lucent.misc.io,showing,,show,34,8,2
greentfrapp_lucent.lucent.misc.io,showing,,textured_mesh,141,1,3
greentfrapp_lucent.lucent.misc.io,showing,,animate_sequence,23,1,3
greentfrapp_lucent.lucent.modelzoo,util,,get_model_layers,17,5,2
greentfrapp_lucent.lucent.modelzoo.inceptionv1,InceptionV1,InceptionV1,__init__,63,2,3
greentfrapp_lucent.lucent.modelzoo.inceptionv1,InceptionV1,InceptionV1,add_layers,85,2,1
greentfrapp_lucent.lucent.modelzoo.inceptionv1,InceptionV1,InceptionV1,forward,177,1,1
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,AdditionLayer,forward,2,1,2
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,MaxPool2dLayer,forward,3,1,5
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,PadLayer,forward,4,1,3
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,ReluLayer,forward,2,1,1
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,RedirectedReLU,forward,3,1,2
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,RedirectedReLU,backward,5,1,2
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,RedirectedReluLayer,forward,2,1,1
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,SoftMaxLayer,forward,2,1,2
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,DropoutLayer,forward,2,1,4
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,CatLayer,forward,2,1,2
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,LocalResponseNormLayer,forward,2,1,5
greentfrapp_lucent.lucent.modelzoo.inceptionv1,helper_layers,AVGPoolLayer,forward,4,1,6
greentfrapp_lucent.lucent.optvis,objectives,Objective,__init__,4,1,3
greentfrapp_lucent.lucent.optvis,objectives,Objective,__call__,2,1,1
greentfrapp_lucent.lucent.optvis,objectives,Objective,__add__,10,2,1
greentfrapp_lucent.lucent.optvis,objectives,Objective,sum,7,1,1
greentfrapp_lucent.lucent.optvis,objectives,Objective,__neg__,2,1,0
greentfrapp_lucent.lucent.optvis,objectives,Objective,__sub__,2,1,1
greentfrapp_lucent.lucent.optvis,objectives,Objective,__mul__,8,2,1
greentfrapp_lucent.lucent.optvis,objectives,Objective,__truediv__,5,2,1
greentfrapp_lucent.lucent.optvis,objectives,Objective,__rmul__,2,1,1
greentfrapp_lucent.lucent.optvis,objectives,Objective,__radd__,2,1,1
greentfrapp_lucent.lucent.optvis,objectives,,wrap_objective,8,0,0
greentfrapp_lucent.lucent.optvis,objectives,,handle_batch,2,1,1
greentfrapp_lucent.lucent.optvis,objectives,,neuron,8,0,5
greentfrapp_lucent.lucent.optvis,objectives,,channel,4,0,3
greentfrapp_lucent.lucent.optvis,objectives,,neuron_weight,10,0,5
greentfrapp_lucent.lucent.optvis,objectives,,channel_weight,5,0,3
greentfrapp_lucent.lucent.optvis,objectives,,localgroup_weight,8,0,7
greentfrapp_lucent.lucent.optvis,objectives,,direction,7,0,3
greentfrapp_lucent.lucent.optvis,objectives,,direction_neuron,10,0,5
greentfrapp_lucent.lucent.optvis,objectives,,_torch_blur,10,2,2
greentfrapp_lucent.lucent.optvis,objectives,,blur_input_each_step,8,0,0
greentfrapp_lucent.lucent.optvis,objectives,,channel_interpolate,13,1,4
greentfrapp_lucent.lucent.optvis,objectives,,alignment,13,2,2
greentfrapp_lucent.lucent.optvis,objectives,,diversity,12,0,1
greentfrapp_lucent.lucent.optvis,objectives,,as_objective,10,2,1
greentfrapp_lucent.lucent.optvis,objectives_util,,_make_arg_str,4,2,1
greentfrapp_lucent.lucent.optvis,objectives_util,,_extract_act_pos,5,1,3
greentfrapp_lucent.lucent.optvis,objectives_util,,_T_handle_batch,8,0,2
greentfrapp_lucent.lucent.optvis,render,ModuleHook,__init__,4,1,1
greentfrapp_lucent.lucent.optvis,render,ModuleHook,hook_fn,3,1,3
greentfrapp_lucent.lucent.optvis,render,ModuleHook,close,2,1,0
greentfrapp_lucent.lucent.optvis,render,,render_vis,79,22,14
greentfrapp_lucent.lucent.optvis,render,,tensor_to_img_array,6,3,1
greentfrapp_lucent.lucent.optvis,render,,view,12,4,1
greentfrapp_lucent.lucent.optvis,render,,export,11,3,2
greentfrapp_lucent.lucent.optvis,render,,hook_model,24,5,3
greentfrapp_lucent.lucent.optvis,transform,,jitter,7,0,1
greentfrapp_lucent.lucent.optvis,transform,,pad,6,1,3
greentfrapp_lucent.lucent.optvis,transform,,random_scale,12,0,1
greentfrapp_lucent.lucent.optvis,transform,,random_rotate,17,1,2
greentfrapp_lucent.lucent.optvis,transform,,compose,6,1,1
greentfrapp_lucent.lucent.optvis,transform,,_roundup,2,1,1
greentfrapp_lucent.lucent.optvis,transform,,_rads2angle,6,2,2
greentfrapp_lucent.lucent.optvis,transform,,normalize,5,0,0
greentfrapp_lucent.lucent.optvis,transform,,preprocess_inceptionv1,2,1,0
greentfrapp_lucent.lucent.optvis.param,color,,_linear_decorrelate_color,5,1,1
greentfrapp_lucent.lucent.optvis.param,color,,to_valid_rgb,7,1,2
