Package,Module,Class,Smell,Function/Method,Line no,File,Details
greentfrapp_lucent,setup,,Long statement,,9,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/setup.py,A line with 1354 chars in setup exceeds the maximum length of 120 characters.
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,Complex method,__init__,40 - 73,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/channel_reducer.py,"Method '__init__' has a cyclomatic complexity of 8, exceeding the max of 6."
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,Long statement,__init__,41,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/channel_reducer.py,A line with 531 chars in __init__ exceeds the maximum length of 120 characters.
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,Long statement,_apply_flat,77,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/channel_reducer.py,A line with 204 chars in _apply_flat exceeds the maximum length of 120 characters.
greentfrapp_lucent.lucent.misc,channel_reducer,,Long statement,,16,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/channel_reducer.py,A line with 222 chars in channel_reducer exceeds the maximum length of 120 characters.
greentfrapp_lucent.lucent.misc,channel_reducer,,Long statement,,25,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/channel_reducer.py,A line with 150 chars in channel_reducer exceeds the maximum length of 120 characters.
greentfrapp_lucent.lucent.misc,channel_reducer,ChannelReducer,Magic number,__init__,40,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/channel_reducer.py,Magic number 3 used in __init__.
greentfrapp_lucent.lucent.misc.io,collapse_channels,,Magic number,hue_to_rgb,36,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/collapse_channels.py,Magic number 360 used in hue_to_rgb.
greentfrapp_lucent.lucent.misc.io,collapse_channels,,Magic number,hue_to_rgb,26,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/collapse_channels.py,Magic number 360 used in hue_to_rgb.
greentfrapp_lucent.lucent.misc.io,collapse_channels,,Magic number,hue_to_rgb,26,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/collapse_channels.py,Magic number 360 used in hue_to_rgb.
greentfrapp_lucent.lucent.misc.io,collapse_channels,,Magic number,hue_to_rgb,44,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/collapse_channels.py,Magic number 2 used in hue_to_rgb.
greentfrapp_lucent.lucent.misc.io,collapse_channels,,Magic number,sparse_channels_to_rgb,66,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/collapse_channels.py,Magic number 0.0001 used in sparse_channels_to_rgb.
greentfrapp_lucent.lucent.misc.io,collapse_channels,,Magic number,sparse_channels_to_rgb,60,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/collapse_channels.py,Magic number 360 used in sparse_channels_to_rgb.
greentfrapp_lucent.lucent.misc.io,serialize_array,,Complex method,_normalize_array,31 - 78,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/serialize_array.py,"Method '_normalize_array' has a cyclomatic complexity of 8, exceeding the max of 6."
greentfrapp_lucent.lucent.misc.io,serialize_array,,Long statement,_normalize_array,32,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/serialize_array.py,A line with 460 chars in _normalize_array exceeds the maximum length of 120 characters.
greentfrapp_lucent.lucent.misc.io,serialize_array,,Long statement,_serialize_normalized_array,82,/Volumes/BrokeExt/NICHE/greentfrapp_lucent/lucent/misc/io/serialize_array.py,A line with 360 chars in _serialize_normalized_array exceeds the maximum length of 120 characters.
