Package,Module,Class,Smell,Function/Method,Line no,File,Details
henrysky_astroNN.docs.source,conf,,Long statement,,45,/Volumes/BrokeExt/NICHE/henrysky_astroNN/docs/source/conf.py,A line with 228 chars in conf exceeds the maximum length of 120 characters.
henrysky_astroNN.docs.source,conf,,Long statement,,166,/Volumes/BrokeExt/NICHE/henrysky_astroNN/docs/source/conf.py,A line with 150 chars in conf exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,__init__,,Long statement,,11,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/__init__.py,A line with 128 chars in __init__ exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,config,,Complex method,config_path,12 - 107,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,"Method 'config_path' has a cyclomatic complexity of 16, exceeding the max of 6."
henrysky_astroNN.src.astroNN,config,,Empty catch block,config_path,52,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,Empty catch block found in config_path.
henrysky_astroNN.src.astroNN,config,,Empty catch block,config_path,58,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,Empty catch block found in config_path.
henrysky_astroNN.src.astroNN,config,,Empty catch block,config_path,62,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,Empty catch block found in config_path.
henrysky_astroNN.src.astroNN,config,,Empty catch block,config_path,66,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,Empty catch block found in config_path.
henrysky_astroNN.src.astroNN,config,,Long method,config_path,12 - 107,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,Method 'config_path' is too long (85 lines).
henrysky_astroNN.src.astroNN,config,,Long statement,config_path,13,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,A line with 278 chars in config_path exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,config,,Long statement,config_path,102,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,A line with 126 chars in config_path exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,config,,Long statement,magic_num_reader,111,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,A line with 220 chars in magic_num_reader exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,config,,Long statement,multiprocessing_flag_reader,132,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,A line with 249 chars in multiprocessing_flag_reader exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,config,,Long statement,envvar_warning_flag_reader,154,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,A line with 253 chars in envvar_warning_flag_reader exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,config,,Long statement,custom_model_path_reader,176,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,A line with 214 chars in custom_model_path_reader exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,config,,Long statement,cpu_gpu_reader,215,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,A line with 209 chars in cpu_gpu_reader exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN,config,,Magic number,config_path,31,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,Magic number 2 used in config_path.
henrysky_astroNN.src.astroNN,config,,Magic number,config_path,36,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,Magic number 9999.0 used in config_path.
henrysky_astroNN.src.astroNN,config,,Magic number,config_path,68,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/config.py,Magic number 2 used in config_path.
henrysky_astroNN.src.astroNN.apogee,apogee_shared,,Complex method,apogee_default_dr,26 - 70,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/apogee/apogee_shared.py,"Method 'apogee_default_dr' has a cyclomatic complexity of 11, exceeding the max of 6."
henrysky_astroNN.src.astroNN.apogee,apogee_shared,,Empty catch block,apogee_default_dr,61,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/apogee/apogee_shared.py,Empty catch block found in apogee_default_dr.
henrysky_astroNN.src.astroNN.apogee,apogee_shared,,Long statement,apogee_env,10,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/apogee/apogee_shared.py,A line with 178 chars in apogee_env exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN.apogee,apogee_shared,,Long statement,apogee_default_dr,27,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/apogee/apogee_shared.py,A line with 318 chars in apogee_default_dr exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN.apogee,apogee_shared,,Long statement,apogeeid_digit,74,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/apogee/apogee_shared.py,A line with 338 chars in apogeeid_digit exceeds the maximum length of 120 characters.
henrysky_astroNN.src.astroNN.apogee,apogee_shared,,Magic number,apogee_default_dr,38,/Volumes/BrokeExt/NICHE/henrysky_astroNN/src/astroNN/apogee/apogee_shared.py,Magic number 15 used in apogee_default_dr.
