Package,Module,Class,Smell,Function/Method,Line no,File,Details
huggingface_neuralcoref,setup,,Long method,setup_package,170 - 236,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/setup.py,Method 'setup_package' is too long (67 lines).
huggingface_neuralcoref,setup,,Long statement,setup_package,196,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/setup.py,A line with 127 chars in setup_package exceeds the maximum length of 120 characters.
huggingface_neuralcoref,setup,,Long statement,setup_package,201,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/setup.py,A line with 1102 chars in setup_package exceeds the maximum length of 120 characters.
huggingface_neuralcoref,setup,,Long statement,,2,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/setup.py,A line with 1422 chars in setup exceeds the maximum length of 120 characters.
huggingface_neuralcoref,setup,,Magic number,is_new_osx,54,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/setup.py,Magic number 7 used in is_new_osx.
huggingface_neuralcoref,setup,,Magic number,setup_package,181,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/setup.py,Magic number 9 used in setup_package.
huggingface_neuralcoref.bin,cythonize,,Complex method,process_pyx,40 - 79,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/bin/cythonize.py,"Method 'process_pyx' has a cyclomatic complexity of 8, exceeding the max of 6."
huggingface_neuralcoref.bin,cythonize,,Complex method,check_changes,128 - 147,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/bin/cythonize.py,"Method 'check_changes' has a cyclomatic complexity of 7, exceeding the max of 6."
huggingface_neuralcoref.bin,cythonize,,Empty catch block,process_pyx,49,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/bin/cythonize.py,Empty catch block found in process_pyx.
huggingface_neuralcoref.bin,cythonize,,Empty catch block,load_hashes,94,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/bin/cythonize.py,Empty catch block found in load_hashes.
huggingface_neuralcoref.bin,cythonize,,Long statement,,2,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/bin/cythonize.py,A line with 883 chars in cythonize exceeds the maximum length of 120 characters.
huggingface_neuralcoref.examples,server,AllResource,Long statement,on_get,33,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/examples/server.py,A line with 188 chars in on_get exceeds the maximum length of 120 characters.
huggingface_neuralcoref.neuralcoref,file_utils,,Complex method,get_from_cache,169 - 225,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,"Method 'get_from_cache' has a cyclomatic complexity of 7, exceeding the max of 6."
huggingface_neuralcoref.neuralcoref,file_utils,,Long method,get_from_cache,169 - 225,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,Method 'get_from_cache' is too long (47 lines).
huggingface_neuralcoref.neuralcoref,file_utils,,Long statement,url_to_filename,39,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,A line with 158 chars in url_to_filename exceeds the maximum length of 120 characters.
huggingface_neuralcoref.neuralcoref,file_utils,,Long statement,filename_to_url,57,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,A line with 167 chars in filename_to_url exceeds the maximum length of 120 characters.
huggingface_neuralcoref.neuralcoref,file_utils,,Long statement,cached_path,81,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,A line with 278 chars in cached_path exceeds the maximum length of 120 characters.
huggingface_neuralcoref.neuralcoref,file_utils,,Long statement,get_from_cache,170,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,A line with 159 chars in get_from_cache exceeds the maximum length of 120 characters.
huggingface_neuralcoref.neuralcoref,file_utils,,Long statement,,1,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,A line with 180 chars in file_utils exceeds the maximum length of 120 characters.
huggingface_neuralcoref.neuralcoref,file_utils,,Magic number,s3_request,132,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,Magic number 404 used in s3_request.
huggingface_neuralcoref.neuralcoref,file_utils,,Magic number,get_from_cache,185,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/file_utils.py,Magic number 200 used in get_from_cache.
huggingface_neuralcoref.neuralcoref.train,algorithm,Model,Complex method,__init__,27 - 45,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/train/algorithm.py,"Method '__init__' has a cyclomatic complexity of 7, exceeding the max of 6."
huggingface_neuralcoref.neuralcoref.train,algorithm,Coref,Complex method,run_coref_on_mentions,163 - 203,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/train/algorithm.py,"Method 'run_coref_on_mentions' has a cyclomatic complexity of 9, exceeding the max of 6."
huggingface_neuralcoref.neuralcoref.train,algorithm,Coref,Complex method,run_coref_on_utterances,205 - 237,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/train/algorithm.py,"Method 'run_coref_on_utterances' has a cyclomatic complexity of 9, exceeding the max of 6."
huggingface_neuralcoref.neuralcoref.train,algorithm,Coref,Complex method,get_resolved_utterances,297 - 319,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/train/algorithm.py,"Method 'get_resolved_utterances' has a cyclomatic complexity of 10, exceeding the max of 6."
huggingface_neuralcoref.neuralcoref.train,algorithm,Coref,Complex method,get_clusters,332 - 366,/Volumes/BrokeExt/NICHE/huggingface_neuralcoref/neuralcoref/train/algorithm.py,"Method 'get_clusters' has a cyclomatic complexity of 13, exceeding the max of 6."
