Package,Module,Class,Smell,Function/Method,Line no,File,Details
idealo_image-super-resolution,setup,,Long statement,,3,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/setup.py,A line with 292 chars in setup exceeds the maximum length of 120 characters.
idealo_image-super-resolution,setup,,Long statement,,11,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/setup.py,A line with 917 chars in setup exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR,assistant,,Long method,run,14 - 80,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/assistant.py,Method 'run' is too long (65 lines).
idealo_image-super-resolution.ISR,assistant,,Long statement,run,49,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/assistant.py,A line with 965 chars in run exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR,assistant,,Long statement,run,72,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/assistant.py,A line with 253 chars in run exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,cut_vgg19,Cut_VGG19,Long statement,_cut_vgg,34,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/cut_vgg19.py,A line with 132 chars in _cut_vgg exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,cut_vgg19,Cut_VGG19,Magic number,__init__,23,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/cut_vgg19.py,Magic number 2 used in __init__.
idealo_image-super-resolution.ISR.models,cut_vgg19,Cut_VGG19,Magic number,__init__,23,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/cut_vgg19.py,Magic number 3 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,26,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 3 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,30,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 64 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,30,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 128 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,30,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 128 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,30,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 256 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,30,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 256 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,30,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 512 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,30,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 512 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,31,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 2 used in __init__.
idealo_image-super-resolution.ISR.models,discriminator,Discriminator,Magic number,__init__,31,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/discriminator.py,Magic number 2 used in __init__.
idealo_image-super-resolution.ISR.models,imagemodel,ImageModel,Long statement,predict,18,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/imagemodel.py,A line with 682 chars in predict exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,imagemodel,ImageModel,Long statement,predict,36,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/imagemodel.py,A line with 121 chars in predict exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,imagemodel,ImageModel,Long statement,predict,50,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/imagemodel.py,A line with 141 chars in predict exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,imagemodel,ImageModel,Magic number,predict,17,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/imagemodel.py,Magic number 10 used in predict.
idealo_image-super-resolution.ISR.models,imagemodel,ImageModel,Magic number,predict,17,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/imagemodel.py,Magic number 2 used in predict.
idealo_image-super-resolution.ISR.models,imagemodel,ImageModel,Magic number,predict,48,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/imagemodel.py,Magic number 3 used in predict.
idealo_image-super-resolution.ISR.models,imagemodel,ImageModel,Magic number,predict,49,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/imagemodel.py,Magic number 3 used in predict.
idealo_image-super-resolution.ISR.models,rdn,RDN,Long method,_build_rdn,198 - 244,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,Method '_build_rdn' is too long (41 lines).
idealo_image-super-resolution.ISR.models,rdn,RDN,Long parameter list,__init__,78 - 109,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,"__init__ has 7 parameters, exceeding the max of 5."
idealo_image-super-resolution.ISR.models,rdn,RDN,Long statement,_upsampling_block,114,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,A line with 138 chars in _upsampling_block exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,rdn,RDN,Long statement,_pixel_shuffle,126,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,A line with 138 chars in _pixel_shuffle exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,rdn,RDN,Long statement,_RDBs,162,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,A line with 237 chars in _RDBs exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,rdn,RDN,Long statement,_RDBs,175,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,A line with 134 chars in _RDBs exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,rdn,RDN,Long statement,_build_rdn,200,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,A line with 128 chars in _build_rdn exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,rdn,RDN,Long statement,_build_rdn,207,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,A line with 122 chars in _build_rdn exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,rdn,RDN,Long statement,_build_rdn,224,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,A line with 125 chars in _build_rdn exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,rdn,RDN,Long statement,_build_rdn,236,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,A line with 121 chars in _build_rdn exceeds the maximum length of 120 characters.
idealo_image-super-resolution.ISR.models,rdn,,Magic number,get_network,43,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,Magic number 3 used in get_network.
idealo_image-super-resolution.ISR.models,rdn,,Magic number,get_network,44,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,Magic number 3 used in get_network.
idealo_image-super-resolution.ISR.models,rdn,RDN,Magic number,__init__,82,/Volumes/BrokeExt/NICHE/idealo_image-super-resolution/ISR/models/rdn.py,Magic number 3 used in __init__.
